Common Name,Species,Class,Lumbar,B3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,25357.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,-20359.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,12349.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,24851.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,24563.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,-9010.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,-28237.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,39.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,42.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,117.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,28511.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,-14566.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,29644.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,44630.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,30727.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-16248.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,32908.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,-737.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,16119.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,22240.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,46520.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,-14790.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,37641.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,-28395.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,-14537.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,-14258.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,-14961.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,-22813.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,-14737.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,29480.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,-14822.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,-14800.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,30100.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,2265.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,-27778.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,25892.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,32743.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,11344.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,22993.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,-30844.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,-59818.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,29868.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,2166.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,21392.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,-31875.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,38503.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,58932.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,28767.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,-33715.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,2329.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,44169.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,-15760.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,2630.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,-28809.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,-35157.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,28554.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,30876.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,31897.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,-18004.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,-31113.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,53750.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,32457.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,3525.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,28116.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,26110.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,27983.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,-17699.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,-30333.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,2317.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,20314.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,31166.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,29722.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,19550.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,20338.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,20391.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,29070.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,21185.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,30349.0,0,0,0,1,0
