Common Name,Species,Class,Thoracic,D8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,10638.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,10984.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,26250.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,49807.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,-1776.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,9742.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,3990.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,4974.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,4981.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,5723.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,10195.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,4733.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,3812.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,4753.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,4792.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,10628.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,4886.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,10409.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,10099.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,12979.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,4814.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,11609.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,4647.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,11504.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,7738.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,5109.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,4407.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,10619.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,9242.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,11608.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,4743.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,4768.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,4754.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,4770.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,8942.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,5047.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,6711.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,5632.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,14530.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,26050.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,9664.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,7434.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,9572.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,8507.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,10065.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,3759.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,3516.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,3709.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,3964.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,3802.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,9669.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,4749.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,4254.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,8727.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,8977.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,5540.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,12637.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,11983.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,34720.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,12414.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,6770.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,8182.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,9990.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,16323.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,5058.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,5086.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,9322.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,4066.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,9897.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,9443.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,8733.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,8021.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,3904.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,5685.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,7430.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,7176.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,7349.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,8087.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,7725.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,7949.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,8011.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,8484.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,7206.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,7069.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,5490.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,5525.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,6182.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,9858.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,351.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,6867.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,8033.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,5351.999999999999,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,5164.38836865451,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,4699.3855720248475,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,6948.797846875167,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,4272.500000000001,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,6386.834188765327,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,6628.709120448806,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,6040.712819442417,68,9,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,7647.499999999999,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,12.0,8900.670253373237,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,11.380898550881753,9395.262041811991,87,4,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,12.999999999999998,8211.5,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,12.999999999999998,10363.851468843264,82,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.109629454486011,9831.208195010993,80,7,0,0,0
