Common Name,Species,Class,Sacral,B6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,13951.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,5304.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,23495.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,13708.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,70769.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,5765.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,3001.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,2614.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,8095.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,2438.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,2441.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,8530.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,14893.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,9056.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,14583.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,15085.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,2812.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,15821.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,4468.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,4029.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,3931.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,14934.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,8063.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,2118.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,2692.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,2658.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,2659.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,6207.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,4927.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,8700.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,15266.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,2233.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,2223.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,14978.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,2258.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,2820.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,2481.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,15695.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,2328.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,1939.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,16434.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,9903.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,9042.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,1731.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,152.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,20040.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,10714.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,19406.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,16593.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,17518.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,17209.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,9510.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,6903.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,13272.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,15630.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,11353.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,11007.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,13390.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,2961.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,12789.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,4992.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,12160.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,8246.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,11764.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,12007.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,12.0,8262.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,12.5,12399.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,12.0,12324.0,0,0,0,1,0
Razorbill,Alca torda,Aves,17.0,12423.0,0,0,0,1,0
