Common Name,Species,Class,Cervical,D10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,11674.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,11784.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,15315.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,13914.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,2500.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,11849.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,11602.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,7580.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,19037.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,1826.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,6456.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,6461.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,-7782.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,11998.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,2465.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,-2056.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,-359.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,13787.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,448.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,17381.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,-946.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,12820.0,0,1,0,0,0
