Common Name,Species,Class,Sacral,A1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,19507.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,22776.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,26263.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,15958.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,10057.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,4870.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,10508.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,4370.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,4375.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,10207.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,8388.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,8394.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,10189.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,4750.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,756.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,9626.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,3674.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,4282.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,4181.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,4665.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,9965.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,3285.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,4216.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,9906.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,7995.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,11156.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,9464.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,9430.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,9952.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,4263.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,9692.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,9690.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,10313.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,-2695.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,10470.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,4335.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,10121.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,8521.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,5318.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,10504.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,8561.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,9353.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,8770.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,8812.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,10539.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,4076.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,10777.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,4390.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,4371.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,3915.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,4929.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,13111.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,12331.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,13648.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,3859.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,39280.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,16349.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,32800.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,15933.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,5280.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,6721.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,4339.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,4120.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,7543.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,7978.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,7379.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,12.0,6878.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,12.5,6844.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,12.0,7400.0,0,0,0,1,0
Razorbill,Alca torda,Aves,17.0,6851.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,15.0,6959.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,15.0,10354.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,13.0,7412.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,9590.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,10069.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,2.0,7965.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,2402.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,2.0,9029.0,0,0,1,0,0
Common Toad+Asiatic Toad,Bufo bufo+Bufo gargarizans,Amphibia+Amphibia,1.0,21141.5,37,0,0,0,2
Common Toad+Asiatic Toad+Common Frog,Bufo bufo+Bufo gargarizans+Rana temporaria,Amphibia+Amphibia+Amphibia,1.0,23643.931895843674,36,0,0,0,3
African Clawed Frog+Western Clawed Frog,Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia,1.0,16153.5,35,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,20488.526521686752,34,0,0,0,5
European Fire-Bellied Toad+Painted Frog,Bombina bombina+Discoglossus pictus,Amphibia+Amphibia,1.0,24366.5,43,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,21980.2306079186,33,0,0,0,7
