Common Name,Species,Class,Caudal,D1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,79035.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,120788.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,30682.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,21417.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,13921.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,13767.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,18891.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,20846.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,12866.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,10310.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,21417.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,13974.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,31893.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,21432.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,12725.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,15322.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,14709.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,20062.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,26848.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,15570.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,14138.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,14453.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,38346.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,24398.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,13555.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,17122.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,11505.0,0,1,0,0,0
Chicken,Gallus gallus,Aves,6.0,35314.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,36787.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,36565.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,16641.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,46225.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,22083.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,8231.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,470570.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,223504.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,48598.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,45239.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,22058.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,26355.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,18447.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,26515.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,20420.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,21087.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,26034.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,45837.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,25096.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,24542.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,24502.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,29271.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,24497.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,28518.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,28950.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,23181.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,16894.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,8391.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,89781.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,120421.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,57390.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,16856.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,16328.999999999998,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,15204.74095109897,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,16193.826073309716,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,14183.26663234923,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,22933.5,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,22313.994716803918,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,19333.073771000374,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,19854.95187917533,94,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,16972.542283778414,92,11,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,17942.15091779717,98,12,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,17369.846433157447,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,16639.13763660386,71,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,15.827089592722418,24333.825819458354,46,2,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,14878.759966050062,67,2,0,0,0
Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,9.284569185616926,19498.186222595443,32,4,0,0,0
Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.026365567206108,22328.889988910414,106,5,0,0,0
Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,14.280206798603656,18769.65110030252,103,8,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,16.16758935800223,18333.449647444235,31,20,0,0,0
