Common Name,Species,Class,Thoracic,B2,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,47900.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,2128.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,4970.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,58211.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,5054.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,3996.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,3712.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,5335.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,5320.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,16976.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,9919.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,5360.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,63767.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,32335.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,30714.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,3785.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,2881.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,33539.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,3779.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,36001.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,3947.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,3333.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,2349.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,30771.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,3727.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,3735.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,3793.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,3702.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,6389.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,3625.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,1227.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,3844.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,47586.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,3841.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,3987.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,48158.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,5487.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,3825.0,0,1,0,0,0
