Common Name,Species,Class,Thoracic,D9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,8800.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,8553.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,11803.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,8011.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,2846.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,8050.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,-10798.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,2330.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,2339.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,2653.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,8051.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,2682.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,2322.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,1746.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,9263.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,2445.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,8836.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,1786.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,15911.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,8242.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,8291.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,2544.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,15347.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,-10749.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,12926.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,2926.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,2850.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,2657.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,8285.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,9046.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,8261.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,2387.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,2782.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,731.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,259.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,15642.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,7806.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,3464.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,3510.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,2893.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,7476.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,8127.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,10549.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,8162.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,8018.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,8180.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,8073.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,2350.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,3411.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,1652.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,2888.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,2054.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,8742.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,7879.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,1937.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,8584.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,9458.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,8266.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,2727.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,13181.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,11948.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,17445.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,10506.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,3699.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,17513.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,18361.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,16331.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,5583.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,16327.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,5853.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,2973.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,8526.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,7857.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,8114.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,8018.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,4494.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,3820.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,8826.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,8027.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,8238.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,8936.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,6819.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,8872.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,8898.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,7314.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,8163.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,4853.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,2660.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,2724.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,6295.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,9522.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,13550.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,6051.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,5895.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,2496.0,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,2413.6097068694407,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,-2817.569028928482,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,2030.2422643238094,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,2502.0,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,4482.994582264043,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,3427.3047867108703,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,2900.250253215942,68,9,0,0,0
