Common Name,Species,Class,Caudal,C5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,1929.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,2863.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,6762.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,18430.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,1797.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,2889.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,1748.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,3315.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,1202.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,1507.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,18079.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,1869.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,2332.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,15138.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,2335.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,2408.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,2126.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,12379.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,17141.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,-13935.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,18471.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,72.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,18625.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,2242.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,18203.0,0,1,0,0,0
