Common Name,Species,Class,Thoracic,A1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,19507.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,22776.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,26263.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,15958.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,4370.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,4375.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,10207.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,8388.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,8394.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,10189.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,4750.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,756.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,3939.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,9626.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,3674.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,4282.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,9368.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,4181.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,12390.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,8495.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,4665.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,9965.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,3285.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,4216.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,9906.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,7995.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,11156.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,9464.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,9430.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,9952.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,4263.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,9692.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,9690.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,10313.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,-2695.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,10470.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,4335.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,10121.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,8521.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,5318.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,4352.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,10504.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,8561.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,9353.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,8770.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,8812.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,10539.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,4076.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,7952.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,10777.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,9956.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,4390.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,12813.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,4371.0,0,0,0,1,0
