Common Name,Species,Class,Sacral,A9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,4522.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,4529.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,12422.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,14618.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,11884.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,4180.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,11997.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,6453.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,5355.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,18376.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,11241.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,11244.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,19024.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,6246.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,3690.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,12958.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,3005.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,4761.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,15848.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,5049.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,11955.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,5065.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,1335.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,13010.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,16122.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,30459.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,17757.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,16160.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,12709.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,3398.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,11898.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,17423.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,17839.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,1242.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,12037.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,5727.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,11574.0,0,1,0,0,0
