Common Name,Species,Class,Thoracic,B1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,70253.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,46566.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,115305.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,25946.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,16053.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,9674.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,8900.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,9204.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,9204.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,13537.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,10785.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,13075.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,13917.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,12771.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,9097.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,9383.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,13007.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,9333.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,13743.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,9249.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,9189.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,9208.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,15546.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,8650.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,11123.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,11284.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,11726.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,9224.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,8823.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,12030.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,11708.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,16583.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,9897.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,11754.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,17035.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,555.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,9375.0,0,1,0,0,0
