Common Name,Species,Class,Caudal,D9
(Fox)-(Ermine),(Vulpes vulpes)-(Mustela erminea),(Mammalia)-(Mammalia),0.4211693151426613,565.3145132502372
(Lion)-(Leopard),(Panthera leo)-(Panthera pardus),(Mammalia)-(Mammalia),0.0,-129.05320503470548
(Cat)-(Lion+Leopard),(Felis catus)-(Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia),-0.2115419992637557,-2812.2393382123682
(Fox+Ermine)-(Cat+Lion+Leopard),(Vulpes vulpes+Mustela erminea)-(Felis catus+Panthera leo+Panthera pardus),(Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-0.2800395510366502,1003.5052998250302
(Fox+Ermine+Cat+Lion+Leopard)-(Horse),(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus)-(Equus caballus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),0.37812338095830605,-1.8445304830159623
(North Pacific Minke Whale)-(Orca),(Balaenoptera acutorostrata scammoni)-(Orcinus orca),(Mammalia)-(Mammalia),-0.5666641441745818,778.3795137853405
(North Pacific Minke Whale+Orca)-(Cattle),(Balaenoptera acutorostrata scammoni+Orcinus orca)-(Bos taurus),(Mammalia+Mammalia)-(Mammalia),0.06553366736112283,-330.3905045267673
(North Pacific Minke Whale+Orca+Cattle)-(Wild Boar),(Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus)-(Sus scrofa),(Mammalia+Mammalia+Mammalia)-(Mammalia),-0.012475728869073853,1806.696878909379
(North Pacific Minke Whale+Orca+Cattle+Wild Boar)-(Alpaca),(Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa)-(Vicugna pacos),(Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),1.0192960843322783,-889.3132135623214
(Fox+Ermine+Cat+Lion+Leopard+Horse)-(North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca),(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus)-(Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.0785998601481177,-184.52340360861876
(Western European Hedgehog)-(Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca),(Erinaceus europaeus)-(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.6526285959025915,41.78439182256084
(Guinea Pig)-(House Mouse),(Cavia porcellus)-(Mus musculus),(Mammalia)-(Mammalia),-2.0779918684157073,477.3444177732082
(Rabbit)-(Guinea Pig+House Mouse),(Oryctolagus cuniculus)-(Cavia porcellus+Mus musculus),(Mammalia)-(Mammalia+Mammalia),-0.705882161822247,-228.19407149906448
(Rhesus Monkey)-(Pig-Tailed Macaque),(Macaca mulatta)-(Macaca nemestrina),(Mammalia)-(Mammalia),-0.722229712050665,-5555.02983023769
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),0.6207711542669869,636.600818700795
(Rhesus Monkey+Pig-Tailed Macaque)-(Human+Chimpanzee),(Macaca mulatta+Macaca nemestrina)-(Homo sapiens+Pan troglodytes),(Mammalia+Mammalia)-(Mammalia+Mammalia),1.7879038796381774,674.85332641695
(Common Marmoset)-(Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee),(Callithrix jacchus)-(Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),1.1631124553261656,492.03493230826535
(Rabbit+Guinea Pig+House Mouse)-(Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee),(Oryctolagus cuniculus+Cavia porcellus+Mus musculus)-(Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.203272476557369,-119.83567948054966
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca)-(Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos)-(Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.4780125819386379,-332.6940978953635
(African Bush Elephant)-(Linne'S Two-Toed Sloth),(Loxodonta africana)-(Choloepus didactylus),(Mammalia)-(Mammalia),1.1498051245456848,312.0283656735852
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee)-(African Bush Elephant+Linne'S Two-Toed Sloth),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes)-(Loxodonta africana+Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),0.4982902175579664,-233.60635766622892
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),-0.8275314991313601,63.823366870506156
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee+African Bush Elephant+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes+Loxodonta africana+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),-0.06146322858658846,64.01564112982734
(Golden Pheasant)-(Common Pheasant),(Chrysolophus pictus)-(Phasianus colchicus),(Aves)-(Aves),-0.19253189751253447,-444.5561513564421
(Chicken)-(Golden Pheasant+Common Pheasant),(Gallus gallus)-(Chrysolophus pictus+Phasianus colchicus),(Aves)-(Aves+Aves),0.06204550654002743,439.4683228230143
(Black Swan)-(Mute Swan),(Cygnus atratus)-(Cygnus olor),(Aves)-(Aves),-0.7071067811865475,-114.55129855222069
(Bar-Headed Goose)-(Swan Goose),(Anser indicus)-(Anser cygnoides),(Aves)-(Aves),-0.3434200392942413,-1751.4422004006306
(Black Swan+Mute Swan)-(Bar-Headed Goose+Swan Goose),(Cygnus atratus+Cygnus olor)-(Anser indicus+Anser cygnoides),(Aves+Aves)-(Aves+Aves),0.47709147802920593,409.6625491344115
(Eastern Spot-Billed Duck)-(Mallard),(Anas zonorhyncha)-(Anas platyrhynchos),(Aves)-(Aves),-0.09947787782771403,1228.7507469279237
(Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose)-(Eastern Spot-Billed Duck+Mallard),(Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides)-(Anas zonorhyncha+Anas platyrhynchos),(Aves+Aves+Aves+Aves)-(Aves+Aves),0.0934063330501808,181.89966673900196
(Chicken+Golden Pheasant+Common Pheasant)-(Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard),(Gallus gallus+Chrysolophus pictus+Phasianus colchicus)-(Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos),(Aves+Aves+Aves)-(Aves+Aves+Aves+Aves+Aves+Aves),-0.07958454331932754,218.38976975021453
(Steller'S Sea Eagle)-(Oriental Scops Owl),(Haliaeetus pelagicus)-(Otus sunia),(Aves)-(Aves),0.16852815890835982,56.79398955211726
(Barn Swallow)-(White Or Black-Backed Wagtail),(Hirundo rustica)-(Motacilla alba alba),(Aves)-(Aves),0.0,56.29598402347082
(Kakapo)-(Budgerigar),(Strigops habroptila)-(Melopsittacus undulatus),(Aves)-(Aves),0.10862264133160876,93.74133946917836
(Barn Swallow+White Or Black-Backed Wagtail)-(Kakapo+Budgerigar),(Hirundo rustica+Motacilla alba alba)-(Strigops habroptila+Melopsittacus undulatus),(Aves+Aves)-(Aves+Aves),-0.05046723227279391,-651.7843048031322
(Steller'S Sea Eagle+Oriental Scops Owl)-(Barn Swallow+White Or Black-Backed Wagtail+Kakapo+Budgerigar),(Haliaeetus pelagicus+Otus sunia)-(Hirundo rustica+Motacilla alba alba+Strigops habroptila+Melopsittacus undulatus),(Aves+Aves)-(Aves+Aves+Aves+Aves),0.09110658385083513,-150.37138888990012
(Eurasian Woodcock)-(Common Snipe),(Scolopax rusticola)-(Gallinago gallinago),(Aves)-(Aves),0.12447236361031917,-26.263668721777346
