Common Name,Species,Class,Cervical,D1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,79035.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,89857.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,120788.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,30682.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,13237.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,136173.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,71582.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,21417.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,19756.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,13921.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,14123.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,13767.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,18891.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,20846.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,12866.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,12164.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,10310.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,21417.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,8583.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,51746.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,13974.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,35838.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,31893.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,21432.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,13157.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,20795.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,12725.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,20414.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,15322.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,15347.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,14709.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,20062.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,30932.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,26848.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,15476.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,15570.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,14138.0,0,1,0,0,0
