Common Name,Species,Class,Lumbar,C8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,7072.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,15900.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,7877.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,20882.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,11753.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,11898.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,6039.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,6614.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,6648.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,7746.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,1079.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,6441.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,13841.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,5950.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,13877.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,6329.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,6292.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,6295.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,17772.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,12600.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,12595.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,6265.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,12796.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,5841.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,-2680.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,5647.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,26348.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,17797.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,12282.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,12246.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,5648.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,12272.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,5484.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,12376.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,5737.0,0,1,0,0,0
