Common Name,Species,Class,Caudal,D4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,28770.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,42330.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,22813.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,21717.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,4300.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,17683.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,16685.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,23416.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,16532.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,4182.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,33941.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,4190.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,30102.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,23406.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,16783.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,14045.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,36229.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,34622.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,18855.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,4122.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,36302.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,24193.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,17280.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,19815.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,14878.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,18522.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,16532.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,15989.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,18066.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,18235.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,24250.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,13232.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,15077.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,22154.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,45289.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,14530.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,16204.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,22778.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,22623.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,14085.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,594724.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,148100.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,28291.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,18723.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,23826.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,20575.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,15915.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,17880.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,16774.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,15192.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,18896.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,18521.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,18507.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,18959.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,18850.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,18845.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,18902.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,18265.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,18319.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,15585.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,18177.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,18213.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,23835.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,32948.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,29466.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,19974.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,17184.0,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,11168.653826394991,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,16442.954610408466,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,12253.269575534878,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,17146.0,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,19728.819229309007,80,3,0,0,0
Alpaca+North Pacific Minke Whale+Orca+Cattle,Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia+Mammalia,18.38390132187431,24270.25388572277,94,4,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+Alpaca+North Pacific Minke Whale+Orca+Cattle,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.070075279522193,17724.284651516326,92,10,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+Alpaca+North Pacific Minke Whale+Orca+Cattle,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.59105789576547,18623.10166008325,98,11,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,25072.128203468106,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,22114.416728640503,71,3,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,11743.24062836284,67,2,0,0,0
Human+Chimpanzee+Pig-Tailed Macaque,Homo sapiens+Pan troglodytes+Macaca nemestrina,Mammalia+Mammalia+Mammalia,9.523328742476991,23153.968439731914,32,3,0,0,0
Common Marmoset+Human+Chimpanzee+Pig-Tailed Macaque,Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia,13.22274297073612,27630.751264766775,106,4,0,0,0
Rabbit+Guinea Pig+House Mouse+Common Marmoset+Human+Chimpanzee+Pig-Tailed Macaque,Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,14.355298797210299,24175.237780797073,103,7,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+Alpaca+North Pacific Minke Whale+Orca+Cattle+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Human+Chimpanzee+Pig-Tailed Macaque,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,16.043778018918864,21278.02998800779,31,18,0,0,0
African Bush Elephant+Linne'S Two-Toed Sloth,Loxodonta africana+Choloepus didactylus,Mammalia+Mammalia,12.000000000000002,20736.5,30,2,0,0,0
