Common Name,Species,Class,Thoracic,B3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,25357.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,-20359.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,12349.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,24851.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,24563.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,-9010.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,-28237.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,39.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,42.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,117.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,28511.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,-14566.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,29644.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,44630.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,30727.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,-16248.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,-29010.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,32908.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,-706.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,-737.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,16119.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,22240.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,46520.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,-14790.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,37641.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,-28395.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,-14537.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,-14258.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,-14961.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,-22813.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,-14737.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,29480.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,-14822.0,0,1,0,0,0
