Common Name,Species,Class,Sacral,B7
(Atlantic Puffin)-(Common Murre+Common Tern+Razorbill),(Fratercula arctica)-(Uria aalge+Sterna hirundo+Alca torda),(Aves)-(Aves+Aves+Aves),-1.7940811668417282,-1878.486201357884
(Ruff+Eurasian Woodcock+Common Snipe)-(Atlantic Puffin+Common Murre+Common Tern+Razorbill),(Calidris pugnax+Scolopax rusticola+Gallinago gallinago)-(Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda),(Aves+Aves+Aves)-(Aves+Aves+Aves+Aves),-0.7851460533579164,1047.7257368839578
(European Golden-Plover)-(Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill),(Pluvialis apricaria)-(Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda),(Aves)-(Aves+Aves+Aves+Aves+Aves+Aves+Aves),0.10343098418439034,-1769.5581374370568
(Royal Penguin)-(Emperor Penguin),(Eudyptes schlegeli)-(Aptenodytes forsteri),(Aves)-(Aves),2.0,-6132.0
(Royal Penguin+Emperor Penguin)-(White Stork),(Eudyptes schlegeli+Aptenodytes forsteri)-(Ciconia ciconia),(Aves+Aves)-(Aves),1.0000000000000018,-2930.0
(Eurasian Coot)-(Royal Penguin+Emperor Penguin+White Stork),(Fulica atra)-(Eudyptes schlegeli+Aptenodytes forsteri+Ciconia ciconia),(Aves)-(Aves+Aves+Aves),1.4593018382882832,-4299.754386184672
(European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill)-(Eurasian Coot+Royal Penguin+Emperor Penguin+White Stork),(Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda)-(Fulica atra+Eudyptes schlegeli+Aptenodytes forsteri+Ciconia ciconia),(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves)-(Aves+Aves+Aves+Aves),-1.0921415601329567,-1628.6926485673512
(Steller'S Sea Eagle+Oriental Scops Owl+Barn Swallow+White Or Black-Backed Wagtail)-(European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+Royal Penguin+Emperor Penguin+White Stork),(Haliaeetus pelagicus+Otus sunia+Hirundo rustica+Motacilla alba alba)-(Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Eudyptes schlegeli+Aptenodytes forsteri+Ciconia ciconia),(Aves+Aves+Aves+Aves)-(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves),-1.3088130455825358,902.0518060897793
(Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Swan Goose+Eastern Spot-Billed Duck)-(Steller'S Sea Eagle+Oriental Scops Owl+Barn Swallow+White Or Black-Backed Wagtail+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+Royal Penguin+Emperor Penguin+White Stork),(Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser cygnoides+Anas zonorhyncha)-(Haliaeetus pelagicus+Otus sunia+Hirundo rustica+Motacilla alba alba+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Eudyptes schlegeli+Aptenodytes forsteri+Ciconia ciconia),(Aves+Aves+Aves+Aves+Aves+Aves+Aves)-(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves),2.5213113859571514,-1151.5421564634894
(Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Swan Goose+Eastern Spot-Billed Duck+Steller'S Sea Eagle+Oriental Scops Owl+Barn Swallow+White Or Black-Backed Wagtail+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+Royal Penguin+Emperor Penguin+White Stork)-(Emu),(Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser cygnoides+Anas zonorhyncha+Haliaeetus pelagicus+Otus sunia+Hirundo rustica+Motacilla alba alba+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Eudyptes schlegeli+Aptenodytes forsteri+Ciconia ciconia)-(Dromaius novaehollandiae),(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves)-(Aves),-1.1006628259429583,3938.031113258695
