Common Name,Species,Class,Thoracic,A5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,107.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,1183.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,10278.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,5435.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,1624.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,83.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,6677.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,6665.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,6673.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,9406.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,1689.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,-1273.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,1701.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,9597.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,-887.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,-130.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,6886.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,151.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,6708.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,26156.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,25.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,9085.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,-8427.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,-256.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,7008.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,10843.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,6918.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,27122.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,11036.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,1590.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,6695.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,6722.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,6867.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,91.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,7036.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,1286.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,6399.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,7143.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,106.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,1989.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,6777.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,10655.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,6536.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,10799.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,6872.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,11397.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,1126.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,6282.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,9319.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,6950.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,1911.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,6793.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,2001.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,9.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,1830.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,6297.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,6402.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,6775.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,333.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,7593.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,1957.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,8433.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,105.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,6819.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,3870.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,3912.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,6201.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,4505.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,2595.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,5114.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,3483.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,7454.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,5129.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,1990.0,0,0,0,1,0
