Common Name,Species,Class,Cervical,C12,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,296724.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,269060.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,111084.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,60213.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,16383.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,58272.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,32358.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,16621.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,17841.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,7861.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,9189.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,9184.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,11281.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,9559.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,8165.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,17538.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,6396.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,30702.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,7804.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,8116.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,6051.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,20377.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,9518.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,17481.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,17783.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,17525.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,8166.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,17741.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,6821.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,8720.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,8012.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,18135.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,17371.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,19903.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,20150.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,8359.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,17693.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,8346.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,18625.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,8950.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,17510.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,11859.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,11698.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,9961.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,17051.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,10396.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,9065.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,16734.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,15360.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,15136.0,0,0,0,1,0
