Common Name,Species,Class,Sacral,B1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,70253.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,46566.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,115305.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,25946.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,69206.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,34929.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,50525.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,16053.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,9674.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,8900.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,9204.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,9204.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,13537.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,10785.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,13917.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,12771.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,9097.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,13007.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,9249.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,9189.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,9208.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,15546.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,8650.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,11123.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,11284.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,11726.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,9224.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,8823.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,12030.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,11708.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,16583.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,9897.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,11754.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,17035.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,555.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,9375.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,16957.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,19938.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,9016.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,6575.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,12547.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,9024.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,6130.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,8947.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,7847.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,7579.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,11129.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,11895.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,15065.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,16910.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,16997.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,7667.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,10013.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,574751.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,374030.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,149922.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,718491.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,6591.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,16754.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,8018.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,12072.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,9985.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,15818.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,15419.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,12.0,7749.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,12.5,13581.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,12.0,14550.0,0,0,0,1,0
Razorbill,Alca torda,Aves,17.0,14588.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,15.0,9507.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,15.0,8236.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,13.0,14448.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,15957.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,10266.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,2.0,38848.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,27264.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,2.0,30269.0,0,0,1,0,0
Axolotl+Iberian Ribbed Newt,Ambystoma mexicanum+Pleurodeles waltl,Amphibia+Amphibia,1.0,474390.5,25,0,0,0,2
Common Toad+Asiatic Toad,Bufo bufo+Bufo gargarizans,Amphibia+Amphibia,1.0,58409.5,37,0,0,0,2
Common Toad+Asiatic Toad+Common Frog,Bufo bufo+Bufo gargarizans+Rana temporaria,Amphibia+Amphibia+Amphibia,1.0,86209.3855667234,36,0,0,0,3
Common Toad+Asiatic Toad+Common Frog+Western Clawed Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus tropicalis,Amphibia+Amphibia+Amphibia+Amphibia,1.0,63073.166321579454,34,0,0,0,4
European Fire-Bellied Toad+Painted Frog,Bombina bombina+Discoglossus pictus,Amphibia+Amphibia,1.0,434206.5,43,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,210867.78621800957,33,0,0,0,6
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,312023.3075771168,51,0,0,0,8
Gaboon Caecilian+Tiny Cayenne Caecilian,Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia,0.0,42727.0,14,0,0,0,2
Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia,0.0,53887.472333447826,13,0,0,0,3
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog+Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus tropicalis+Bombina bombina+Discoglossus pictus+Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,0.6350757712609151,217823.2869909014,50,0,0,0,11
Tiger+Lion,Panthera tigris+Panthera leo,Mammalia+Mammalia,3.0,9204.0,57,2,0,0,0
Cat+Tiger+Lion,Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia,2.594116280685876,9080.611349328507,60,3,0,0,0
Suricate+Cat+Tiger+Lion,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia+Mammalia,2.775571002548826,9345.89218578624,56,4,0,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,2.5000000000000004,12161.000000000002,63,2,0,0,0
Suricate+Cat+Tiger+Lion+Fox+Ermine,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Vulpes vulpes+Mustela erminea,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.6334901097657366,10797.325855601603,47,6,0,0,0
Suricate+Cat+Tiger+Lion+Fox+Ermine+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Vulpes vulpes+Mustela erminea+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.4034131589244434,11812.284229343715,68,7,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,4.5,10934.0,73,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,4.0,9198.5,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,4.451463339033721,9221.298898621202,82,3,0,0,0
Cattle+Goat+Sheep+Orca,Bos taurus+Capra hircus+Ovis aries+Orcinus orca,Mammalia+Mammalia+Mammalia+Mammalia,2.4803038241696975,10897.651185065923,80,4,0,0,0
Cattle+Goat+Sheep+Orca+Wild Boar,Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.9727216531717295,12403.82713542878,79,5,0,0,0
