Common Name,Species,Class,Caudal,D10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,11674.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,15315.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,13914.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,7580.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,1826.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,6461.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,-7782.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,11998.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,2465.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,-359.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,13787.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,-946.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,12544.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,12604.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,607.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,7602.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,-2743.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,12957.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,12522.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,1099.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,4998.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,7045.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,12934.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,13014.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,7493.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,7807.0,0,1,0,0,0
