Common Name,Species,Class,Lumbar,B1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,70253.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,46566.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,115305.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,25946.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,16053.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,9674.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,8900.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,9204.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,9204.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,13537.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,10785.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,13075.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,13917.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,12771.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,9097.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,13007.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,13743.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,9249.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,9189.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,9208.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,15546.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,8650.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,11123.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,11284.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,11726.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,9224.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,8823.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,12030.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,11708.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,16583.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,9897.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,11754.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,17035.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,555.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,9375.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,16957.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,19938.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,9198.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,10045.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,9016.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,6575.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,12547.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,9024.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,6130.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,8947.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,7847.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,15599.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,13388.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,11951.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,7579.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,7231.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,11129.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,9587.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,7968.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,2591.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,11895.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,15065.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,16910.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,16997.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,7667.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,10013.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,574751.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,374030.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,149922.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,718491.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,14831.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,6591.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,7404.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,16754.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,9497.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,13327.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,13493.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,8132.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,8018.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,8131.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,12072.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,9985.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,15818.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,15419.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,7749.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,13581.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,14550.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,14588.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,9507.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,8236.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,14448.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,15957.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,10266.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,38848.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,27264.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,30269.0,0,0,1,0,0
Tiger+Lion,Panthera tigris+Panthera leo,Mammalia+Mammalia,7.0,9204.0,57,2,0,0,0
Cat+Tiger+Lion,Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia,7.0,9080.611349328507,60,3,0,0,0
Suricate+Cat+Tiger+Lion,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia+Mammalia,6.552939146784259,9345.89218578624,56,4,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,11930.0,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,12503.699458226403,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4412845221283455,11145.350357526348,47,7,0,0,0
Suricate+Cat+Tiger+Lion+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.989410042470479,12014.323638483544,68,8,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,10934.0,73,2,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,11.549999999999999,13375.0,87,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,6.499999999999999,9198.5,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.274268330483138,9221.298898621202,82,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,9.074823190491458,11426.2381440536,80,5,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,8.101405899701717,12632.391733207758,79,6,0,0,0
Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.799013210435044,12166.09566218429,94,8,0,0,0
Suricate+Cat+Tiger+Lion+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.864985813867535,12087.758471645195,92,16,0,0,0
