Common Name,Species,Class,Thoracic,A4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,6890.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,6620.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,12629.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,10703.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,10606.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,16698.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,22223.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,22211.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,37347.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,11049.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,89.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,-9655.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,17012.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,10219.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,16721.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,10293.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,15588.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,17480.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,9384.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,15499.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,-13655.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,10545.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,15880.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,18430.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,16557.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,14905.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,15386.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,16632.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,10275.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,15259.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,15156.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,15417.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,10696.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,24301.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,10368.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,15438.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,25262.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,10635.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,6775.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,16047.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,15898.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,15753.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,16313.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,16080.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,15463.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,10789.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,15082.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,16360.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,16297.0,0,0,0,1,0
