Common Name,Species,Class,Caudal,D3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,18681.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,24887.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,-24611.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,15252.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,4229.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,12345.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,-3196.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,20693.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,11450.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,5974.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,24763.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,12242.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,20497.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,41786.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,33954.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,9867.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,-17167.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,22273.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,36690.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,-697.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,-3127.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,20398.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,37486.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,21203.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,-6.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,16424.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,-10068.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,22973.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,17353.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,15440.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,16866.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,17711.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,18412.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,-12874.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,3404.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,-6802.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,32592.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,30812.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,-14050.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,16158.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,26130.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,37962.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,-19636.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,47334.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,41202.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,5371.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,16724.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,16147.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,5914.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,161.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,6399.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,166.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,1727.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,5073.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,5095.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,4965.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,5068.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,5117.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,809.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,5105.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,890.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,5170.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,1722.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,-5555.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,-5638.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,-39158.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,-49331.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,-2970.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,16071.5,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,4574.5,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,4413.191236962083,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,11396.383701726652,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,9543.50351659156,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,16369.5,87,2,0,0,0
