Common Name,Species,Class,Caudal,B4
(North Pacific Minke Whale)-(Orca),(Balaenoptera acutorostrata scammoni)-(Orcinus orca),(Mammalia)-(Mammalia),-4.699999999999999,-2904.0
(North Pacific Minke Whale+Orca)-(Cattle),(Balaenoptera acutorostrata scammoni+Orcinus orca)-(Bos taurus),(Mammalia+Mammalia)-(Mammalia),0.6500000000000021,6046.0
(Alpaca)-(North Pacific Minke Whale+Orca+Cattle),(Vicugna pacos)-(Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus),(Mammalia)-(Mammalia+Mammalia+Mammalia),-9.381815894720315,5817.524770032311
(Fox)-(Ermine),(Vulpes vulpes)-(Mustela erminea),(Mammalia)-(Mammalia),4.0,7207.0
(Lion)-(Leopard),(Panthera leo)-(Panthera pardus),(Mammalia)-(Mammalia),0.0,-1142.0
(Cat)-(Lion+Leopard),(Felis catus)-(Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia),-1.0,-451.0
(Fox+Ermine)-(Cat+Lion+Leopard),(Vulpes vulpes+Mustela erminea)-(Felis catus+Panthera leo+Panthera pardus),(Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-2.533115012914852,428.06512917540203
(Alpaca+North Pacific Minke Whale+Orca+Cattle)-(Fox+Ermine+Cat+Lion+Leopard),(Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus)-(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus),(Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-2.631907019025494,4558.596609452032
(Western European Hedgehog)-(Alpaca+North Pacific Minke Whale+Orca+Cattle+Fox+Ermine+Cat+Lion+Leopard),(Erinaceus europaeus)-(Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-7.0580030374188,-2731.8337606027853
(Guinea Pig)-(House Mouse),(Cavia porcellus)-(Mus musculus),(Mammalia)-(Mammalia),-24.5,1444.0
(Rhesus Monkey)-(Pig-Tailed Macaque),(Macaca mulatta)-(Macaca nemestrina),(Mammalia)-(Mammalia),-2.0,-7433.0
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),2.0,5559.0
(Rhesus Monkey+Pig-Tailed Macaque)-(Human+Chimpanzee),(Macaca mulatta+Macaca nemestrina)-(Homo sapiens+Pan troglodytes),(Mammalia+Mammalia)-(Mammalia+Mammalia),12.792508634551938,154.26069811801244
(Common Marmoset)-(Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee),(Callithrix jacchus)-(Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),9.715430814383074,-2962.984347121006
(Guinea Pig+House Mouse)-(Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee),(Cavia porcellus+Mus musculus)-(Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes),(Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),4.795278816810809,-1659.0446037208694
(Western European Hedgehog+Alpaca+North Pacific Minke Whale+Orca+Cattle+Fox+Ermine+Cat+Lion+Leopard)-(Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee),(Erinaceus europaeus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus)-(Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),2.2057849056901677,1728.975456948283
(African Bush Elephant)-(Linne'S Two-Toed Sloth),(Loxodonta africana)-(Choloepus didactylus),(Mammalia)-(Mammalia),16.0,-4.0
(Western European Hedgehog+Alpaca+North Pacific Minke Whale+Orca+Cattle+Fox+Ermine+Cat+Lion+Leopard+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee)-(African Bush Elephant+Linne'S Two-Toed Sloth),(Erinaceus europaeus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes)-(Loxodonta africana+Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),4.814469052385684,1751.4012652319943
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),-8.0,-3827.0
