Common Name,Species,Class,Cervical,A6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,4531.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,4285.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,12112.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,10652.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,11132.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,769.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,10932.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,7250.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,5911.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,12515.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,11283.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,11286.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,12762.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,6245.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,1097.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,3890.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,17498.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,8861.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4515.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,11582.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,6899.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,15710.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,11423.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,1088.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,15424.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,1054.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,4417.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,12657.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,14347.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,12711.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,13715.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,19977.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,14015.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,5876.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,11889.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,11279.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,15053.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,2550.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,15142.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,7120.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,30373.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,12830.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,6507.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,5149.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,5298.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,11489.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,11439.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,12001.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,6272.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,11788.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,12115.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,2963.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,14668.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,12.0,11024.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,5284.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,12712.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,5602.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,15595.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,-6370.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,5688.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,23387.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,11026.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,5164.0,0,0,0,1,0
