Common Name,Species,Class,Thoracic,C5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,1929.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,27239.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,2863.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,6762.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,18430.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,17131.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,1797.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,2874.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,2889.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,1748.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,3315.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,1202.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,42476.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,1507.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,18079.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,1905.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,2349.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,1869.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,18351.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,2332.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,15138.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,18475.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,15925.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,2335.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,18272.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,2408.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,2089.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,2126.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,12379.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,11865.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,17141.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,17966.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,-13935.0,0,1,0,0,0
