Common Name,Species,Class,Lumbar,D9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,8800.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,8553.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,11803.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,8011.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,2846.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,8050.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,-10798.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,2330.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,2339.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,2653.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,8051.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,2682.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,2322.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,1746.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,9263.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,2445.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,1786.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,8242.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,8291.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,2544.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,15347.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,-10749.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,12926.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,2926.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,2850.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,2657.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,8285.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,9046.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,8261.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,2387.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,2782.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,731.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,259.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,15642.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,7806.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,3464.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,3510.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,2893.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,3693.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,7476.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,8127.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,10549.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,8162.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,8018.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,8180.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,8073.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,2350.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,3411.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,1652.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,8201.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,2888.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,2054.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,8742.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,7879.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,3608.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,7642.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,8377.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,1937.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,8584.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,9458.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,8266.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,2727.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,17513.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,18361.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,16331.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,5583.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,16327.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,7803.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,5853.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,2973.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,8526.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,9579.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,7857.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,8114.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,8018.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,4494.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,9580.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,3820.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,8826.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,8027.0,0,0,0,1,0
