Common Name,Species,Class,Caudal,D8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,10638.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,26250.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,49807.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,-1776.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,3990.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,4981.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,5723.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,10195.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,4733.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,4753.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,4886.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,10099.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,12979.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,4647.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,7738.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,4407.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,10619.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,11608.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,4768.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,4754.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,4770.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,8942.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,5047.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,6711.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,5632.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,26050.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,9664.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,7434.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,9572.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,8507.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,10065.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,3759.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,3709.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,3802.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,9669.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,4749.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,4254.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,8727.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,8977.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,5540.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,8182.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,9990.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,16323.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,5058.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,5086.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,9322.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,4066.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,9897.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,3904.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,5685.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,7430.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,7176.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,7349.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,8087.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,7725.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,7949.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,8011.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,8484.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,7206.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,7069.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,5490.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,5525.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,6182.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,351.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,6867.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,7464.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,5351.999999999999,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,4716.102647590033,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,6362.061463343296,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,5812.2298272781645,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,7492.500000000001,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,9756.180144026177,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,8167.894556536826,79,4,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,20.439232980124213,6868.191790576481,92,10,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,18.641516026584327,4910.847778822021,98,11,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,7494.834493325995,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,7581.600362029902,71,3,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,4761.242066707193,67,2,0,0,0
Human+Chimpanzee+Rhesus Monkey,Homo sapiens+Pan troglodytes+Macaca mulatta,Mammalia+Mammalia+Mammalia,8.734466128573498,4765.414023738079,32,3,0,0,0
Common Marmoset+Human+Chimpanzee+Rhesus Monkey,Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca mulatta,Mammalia+Mammalia+Mammalia+Mammalia,12.715620397194064,7419.089001483088,106,4,0,0,0
