Common Name,Species,Class,Caudal,C11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,17640.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,18216.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,23078.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,19999.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,15411.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,16826.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,15777.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,16414.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,15653.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,14032.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,23695.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,12032.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,16955.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,20603.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,11896.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,14841.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,15917.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,21223.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,23015.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,14170.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,22794.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,13551.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,21536.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,16396.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,20503.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,18484.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,18397.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,23224.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,24381.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,19361.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,18060.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,23515.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,23945.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,24074.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,27574.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,24778.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,18111.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,18286.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,18673.0,0,0,0,1,0
