Common Name,Species,Class,Sacral,C12,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,296724.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,269060.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,111084.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,60213.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,16383.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,58272.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,32358.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,16621.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,17841.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,7861.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,9189.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,9184.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,11281.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,9559.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,8165.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,6396.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,30702.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,7804.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,6051.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,17481.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,17783.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,17525.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,8166.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,17741.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,6821.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,8720.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,8012.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,18135.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,17371.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,19903.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,20150.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,8359.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,17693.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,8346.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,18625.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,8950.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,17510.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,11859.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,11698.0,0,1,0,0,0
Chicken,Gallus gallus,Aves,12.0,17051.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,10396.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,9065.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,16734.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,15360.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,15136.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,24901.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,14938.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,10802.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,10093.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,8976.0,0,0,1,0,0
