Common Name,Species,Class,Lumbar,B8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,10168.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,4156.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,5834.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,11795.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,7253.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,7863.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,4051.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,8326.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,8351.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,5993.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,13624.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,6049.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,14680.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,14071.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,14516.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-25458.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,15954.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,13488.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,4928.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,-3904.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,-4681.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,35830.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,-3816.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,3621.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,7495.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,2806.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,-4678.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,2455.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,5895.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,14012.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,4291.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,6070.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,14291.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,8112.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,7843.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,28286.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,8404.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,8635.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,6896.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,7128.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,15189.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,8743.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,5313.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,6700.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,155.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,18807.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,15236.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,9523.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,8000.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,1247.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,14525.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,5506.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,8475.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,5477.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,10220.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,15276.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,16011.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,30461.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,6261.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,6006.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,15062.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,16800.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,5905.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,-22866.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,8634.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,14219.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,12147.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,9428.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,10851.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,9238.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,14866.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,10353.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,9386.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,9465.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,9373.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,14555.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,9391.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,15280.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,11247.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,9502.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,10239.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,14760.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,10743.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,9722.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,9376.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,14098.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,15827.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,6092.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,14025.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,15882.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,16048.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,7172.0,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,7744.7614353775025,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,6282.204888175669,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.553919438620739,6987.36685908386,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,10364.5,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,11528.14242942686,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4417563118140455,9573.74597510658,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.98979530727597,10983.542783414843,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,-5471.0,73,2,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,11.549999999999999,14720.999999999998,87,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,6.499999999999999,-4292.5,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.274268330483138,-129.78228243957668,82,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,9.074823190491458,7753.566056961536,80,5,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,8.101405899701717,15973.57797880746,79,6,0,0,0
Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.799013210435044,10085.936005074951,94,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.86512758978104,10549.264419982575,92,17,0,0,0
