Common Name,Species,Class,Caudal,B3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,25357.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,12349.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,24851.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,24563.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,-28237.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,42.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,117.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,28511.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,-14566.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,44630.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,30727.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,32908.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,-737.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,46520.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,37641.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,-14537.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,-14258.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,-22813.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,29480.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,-14822.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,-14800.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,30100.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,2265.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,-27778.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,25892.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,32743.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,-30844.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,-59818.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,29868.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,2166.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,21392.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,-31875.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,-33715.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,2329.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,44169.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,-35157.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,28554.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,30876.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,-18004.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,-31113.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,53750.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,32457.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,3525.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,28116.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,26110.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,-17699.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,-30333.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,2317.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,20338.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,29070.0,0,0,0,1,0
