Common Name,Species,Class,Lumbar,A10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,7197.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,7276.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,17156.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,8419.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,7064.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,15106.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,13628.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,13659.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,17878.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,8661.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,6922.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,7312.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,14976.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,1411.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,1413.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,15492.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,1715.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,14871.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,1757.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,1335.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,14100.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,13592.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,3662.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,14613.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,15653.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,14803.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,2171.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,14634.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,14627.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,14777.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,1516.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,14891.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,8011.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,13122.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,16314.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,7619.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,9261.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,9466.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,15603.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,23667.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,13956.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,15492.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,15477.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,16125.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,6040.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,14070.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,24330.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,8549.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,15979.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,9644.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,31450.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,9445.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,8877.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,3099.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,15359.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,-12233.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,25277.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,15911.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,17578.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,17032.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,7568.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,2445.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,4912.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,3739.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,2707.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,1711.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,4704.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,7843.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,6183.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,15870.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,16083.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,4472.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,7843.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,9029.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,8973.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,9045.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,9010.0,0,0,0,1,0
