Common Name,Species,Class,Sacral,A5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,107.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,1183.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,10278.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,5435.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,6599.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,1947.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,6405.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,1624.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,83.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,6677.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,6665.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,6673.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,9406.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,1689.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,-1273.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,9597.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,-887.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,-130.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,151.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,25.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,9085.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,-8427.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,-256.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,7008.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,10843.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,6918.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,27122.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,11036.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,1590.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,6695.0,0,1,0,0,0
