Common Name,Species,Class,Thoracic,A1
(Lion)-(Leopard),(Panthera leo)-(Panthera pardus),(Mammalia)-(Mammalia),0.0,-737.7404555327909
(Tiger)-(Lion+Leopard),(Panthera tigris)-(Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia),5.442639099109343e-16,-276.82638515950134
(Cat)-(Tiger+Lion+Leopard),(Felis catus)-(Panthera tigris+Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia+Mammalia),0.0,307.12418305472363
(Suricate)-(Cat+Tiger+Lion+Leopard),(Suricata suricatta)-(Felis catus+Panthera tigris+Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),0.24483219016254948,-613.0746773733646
(Ermine)-(American Black Bear),(Mustela erminea)-(Ursus americanus),(Mammalia)-(Mammalia),0.0,-355.33761135835647
(Fox)-(Ermine+American Black Bear),(Vulpes vulpes)-(Mustela erminea+Ursus americanus),(Mammalia)-(Mammalia+Mammalia),-0.11940351705851215,286.86694973307544
(Suricate+Cat+Tiger+Lion+Leopard)-(Fox+Ermine+American Black Bear),(Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus)-(Vulpes vulpes+Mustela erminea+Ursus americanus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),0.03183684376848051,503.93603882293144
(Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear)-(Horse),(Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus)-(Equus caballus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-0.5047982885291403,-454.1768982871032
(Alpaca)-(Two-Humped Camel),(Vicugna pacos)-(Camelus ferus),(Mammalia)-(Mammalia),0.0,-94.00231990733916
(Orca)-(Bottle-Nose Dolphin),(Orcinus orca)-(Tursiops truncatus),(Mammalia)-(Mammalia),-0.4544560275246305,-1865.3147649748457
(Narwhal)-(Orca+Bottle-Nose Dolphin),(Monodon monoceros)-(Orcinus orca+Tursiops truncatus),(Mammalia)-(Mammalia+Mammalia),0.0,196.21736302160744
(Narwhal+Orca+Bottle-Nose Dolphin)-(North Pacific Minke Whale),(Monodon monoceros+Orcinus orca+Tursiops truncatus)-(Balaenoptera acutorostrata scammoni),(Mammalia+Mammalia+Mammalia)-(Mammalia),0.1959979146381059,32.09714586525039
(Goat)-(Sheep),(Capra hircus)-(Ovis aries),(Mammalia)-(Mammalia),0.0,1707.3201504818835
(Cattle)-(Goat+Sheep),(Bos taurus)-(Capra hircus+Ovis aries),(Mammalia)-(Mammalia+Mammalia),2.829102338158276e-16,-312.1580337801038
