Common Name,Species,Class,Caudal,A9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,4522.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,12422.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,14618.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,6453.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,18376.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,11244.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,19024.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,6246.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,3690.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,12958.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,3005.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,15848.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,12067.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,5049.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,1335.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,16122.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,17757.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,16160.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,3398.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,17423.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,17839.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,1242.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,12037.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,5727.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,11574.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,13330.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,5725.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,13576.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,18042.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,12019.0,0,0,0,1,0
