Common Name,Species,Class,Lumbar,A1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,19507.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,22776.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,26263.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,15958.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,4370.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,4375.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,10207.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,8388.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,8394.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,10189.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,4750.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,756.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,3939.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,9626.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,3674.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4282.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,4181.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,8495.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,4665.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,9965.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,3285.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,4216.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,9906.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,7995.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,11156.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,9464.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,9430.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,9952.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,4263.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,9692.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,9690.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,10313.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,-2695.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,10470.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,4335.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,10121.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,8521.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,5318.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,4352.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,10504.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,8561.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,9353.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,8770.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,8812.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,10539.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,4076.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,7952.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,10777.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,4272.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,9956.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,4390.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,12813.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,4371.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,4703.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,7878.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,3915.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,4929.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,13111.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,12331.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,13648.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,3859.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,39280.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,16349.0,0,0,0,0,1
