Common Name,Species,Class,Sacral,B5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,6208.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,429.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,7235.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,6311.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,6797.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,2215.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,1718.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,1952.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,129.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,1969.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,1962.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,3134.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,6217.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,1663.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,12461.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,13097.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,1915.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,14411.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,90.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,807.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,120.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,8270.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,1809.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,110.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,1914.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,1943.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,432.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,84.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,1720.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,1704.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,13729.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,1759.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,99.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,9161.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,1764.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,1603.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,2457.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,14591.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,4038.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,-10496.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,15297.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,2844.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,2292.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,2384.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,2315.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,9544.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,1732.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,7719.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,16019.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,7768.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,9145.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,7903.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,305.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,1632.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,4748.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,8848.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,4529.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,5652.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,6670.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,-6391.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,18495.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,-3092.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,11840.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,6334.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,975.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,6655.0,0,0,0,1,0
