Common Name,Species,Class,Lumbar,A2,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,4459.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,4255.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,33952.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,51356.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,4240.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,4631.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,26291.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,22234.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,22261.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,25699.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,5550.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,3873.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,4007.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,52258.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,3638.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,3607.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,-14838.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,23164.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,4329.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,13457.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,4346.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,2276.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,39663.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,10369.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,50550.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,50650.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,26244.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,51629.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,2914.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,26246.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,52229.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,55945.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,1453.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,26662.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,4187.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,26814.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,27328.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,5035.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,3949.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,4455.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,51508.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,56777.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,50027.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,50723.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,50890.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,52003.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,209.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,9691.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,53499.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,72.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,40438.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,790.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,51950.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,4447.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,3050.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,4258.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,51253.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,4101.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,5134.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,51155.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,38439.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,50275.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,3266.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,234652.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,80667.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,17211.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,30642.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,38890.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,4782.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,33148.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,20418.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,40203.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,40475.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,12147.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,10169.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,29950.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,8901.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,27944.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,10936.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,21286.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,9864.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,22422.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,21336.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,11291.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,21300.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,21340.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,21528.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,32409.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,21366.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,37951.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,36472.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,6804.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,7187.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,8976.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,23979.999999999996,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,23113.412940927974,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,24371.588607888625,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.553919438620739,15565.695759724618,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,3940.0,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,4514.770459081837,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4417563118140455,9271.202238180551,47,8,0,0,0
