Common Name,Species,Class,Lumbar,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck,Cygnus olor+Anser indicus+Anas zonorhyncha,Aves+Aves+Aves,0.0,6571.886551503494,37521.904833159635,2410.9410550811444,14647.22647578992,6112.2736541411105,8281.186023128754,16179.110450814327,5694.0146674452235,12899.518654456926,18876.414022390018,10867.849762313754,35260.29164538338,-7349.146688011742,18698.340669887995,5873.990568758058,9732.174305821596,3236.7268485907034,8799.658666039153,44657.67067547658,20778.938121935378,9368.080677728483,20760.524245610497,11803.683138385299,15659.48414961601,14477.737755759877,21611.158293238368,13993.47479818639,27164.498103727874,7894.260153500552,17405.548118420204,7769.039107523162,6787.620093516013,10025.813199001472,8269.452983848047,7429.186590396982,205,0,0,3
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus,Aves+Aves+Aves+Aves,0.0,6015.170687188752,35637.047214052895,-5172.583174068552,13800.777506329983,5682.085121300499,5681.7211926719665,14873.33746584826,-1027.676341006547,10720.500574375927,12879.37933569856,9024.816324741536,42024.94390082372,-11809.234553628603,20691.25654406302,588.6078721491583,6814.255428421586,3196.336906097731,10242.136739461095,41536.99963475032,22654.382902421923,8381.641484205893,23533.779716620666,12118.831320884723,16386.258592955743,15441.846703678988,22969.82016163899,15340.796030073045,26815.659085353134,7040.901751680295,18771.367850504404,8438.260382793864,6384.861946864399,10528.360959185804,10120.543675223806,7423.073127937494,204,0,0,4
Merlin+Kakapo,Falco columbarius+Strigops habroptila,Aves+Aves,0.0,8497.5,31059.5,33116.5,2197.5,4391.5,10878.0,12708.0,3090.0,19646.500000000004,18105.0,10362.000000000002,8086.500000000001,16025.5,20859.5,-3534.5,7343.0,2428.5,5800.0,34047.5,9885.500000000002,-9985.499999999998,17713.0,7399.5,-19563.5,11747.0,18262.0,11280.500000000002,21135.5,18788.5,19698.0,9201.0,8428.0,11679.500000000002,9613.999999999998,8572.0,191,0,0,2
California Condor+Steller'S Sea Eagle,Gymnogyps californianus+Haliaeetus pelagicus,Aves+Aves,0.0,4327.999999999999,19425.5,-3658.0000000000005,11186.499999999998,3702.0,5358.5,12311.500000000002,-5147.5,9001.0,15219.5,8075.0,3379.5000000000005,19944.0,18574.0,1551.5000000000002,6585.499999999999,4028.0,9425.5,47619.0,20316.5,5650.500000000001,21863.0,11984.0,16105.0,14548.5,20934.000000000004,14136.5,23186.0,2671.5,17749.0,5962.500000000001,6256.0,8131.0,7904.0,8051.5,167,0,0,2
Merlin+Kakapo+California Condor+Steller'S Sea Eagle,Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus,Aves+Aves+Aves+Aves,0.0,6484.848401117994,25443.6734737035,15365.149424850399,6536.56349019075,4058.6727359565552,8213.69240915476,12516.606221619688,-886.3083213312171,14507.83047226325,16712.14565569636,9258.046478800063,5814.39277468819,17916.99185519106,19756.270541013353,-1079.4463887962886,6977.348582287295,3200.5916734408834,7550.058369527929,40598.57355179929,14920.628631235923,-2437.8754886391584,19716.2387901092,9612.475477892924,-2346.024630118055,13099.30686035926,19551.79615594501,12659.114454108887,22125.293045570823,11008.692872243371,18757.201830861966,7637.749681501529,7379.557915152485,9966.610157421082,8788.569076846568,8320.750411987508,187,0,0,4
European Golden-Plover+Atlantic Puffin,Pluvialis apricaria+Fratercula arctica,Aves+Aves,0.0,7210.499999999999,21311.0,18258.5,14775.5,7083.0,9552.0,22777.5,6659.5,16042.499999999998,18188.0,8866.999999999998,3442.5,20423.0,13939.0,6382.0,8254.0,2336.5,9446.5,47108.99999999999,22070.5,6442.0,23135.0,12550.0,16609.0,15354.500000000002,21390.000000000004,12126.5,25288.0,5070.5,18927.5,7758.5,8881.0,11065.5,9937.0,9296.000000000002,153,0,0,2
Eurasian Coot+Royal Penguin,Fulica atra+Eudyptes schlegeli,Aves+Aves,0.0,8656.5,26968.5,2624.4999999999995,13899.5,6861.5,6746.499999999999,20901.5,3184.0000000000005,9541.0,16707.500000000004,8871.5,4466.0,20735.5,14769.0,5073.0,12360.5,2382.0,9549.0,47859.00000000001,1276.0000000000002,5782.5,43457.0,8794.0,19850.0,14314.5,31104.500000000004,11852.5,28734.0,3029.9999999999995,18292.0,7845.0,7738.5,11213.499999999998,9713.999999999998,9346.5,143,0,0,2
European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves,0.0,7930.474209808023,24127.911543560782,10474.214525491938,14339.33305131962,6972.7134941407485,8155.120577028758,21843.425575657086,4929.022568334862,12805.35454698003,17450.84798228162,8869.240583640481,3952.1083013406037,20578.59608614454,14352.263204799901,5730.239114357742,10298.657048808196,2359.154790142645,9497.53551625541,47482.4306067469,11716.762997335429,6113.630019800558,33253.47572041402,10679.85952141152,18222.718128622273,14836.676225310966,26226.92217232369,11990.073351668463,27003.789161133092,4054.5197959105976,18611.079799216455,7801.568996644808,8312.140709055555,11139.190306398054,9825.966632927253,9321.144327520959,170,0,0,4
Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,0.0,7246.470863171968,24750.46930241089,12788.378965024014,10647.422972819855,5593.924032268847,8182.834062048159,17430.405544275356,2177.476652084188,13610.887502645965,17101.32816843019,9053.205570902275,4833.255279003094,19319.247926718293,16909.1898181711,2508.210532897129,8727.167322590893,2757.283850027474,8576.079301340491,44225.30747360699,13232.684200863192,2067.4526816622724,26848.28060776982,10174.82270377596,8490.539304405387,14014.633306025526,23068.56092353153,12306.632692512694,24695.510179437704,7344.913221861043,18680.2179939429,7724.057264958746,7870.88561509529,10584.379551583128,9335.118035810514,8847.804143591005,19,0,0,8
Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+Great Bustard,Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Otis tarda,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,0.0,7478.3193328261395,27825.643302790522,9849.152585302516,11551.634623786133,5887.873672194888,8432.60351858031,18475.818816249084,2861.666739924541,14094.347150763939,17023.23339887602,9139.996402127776,4479.036431448257,19513.787005270802,16225.65165338,2646.238526273701,8905.68580242672,3286.232722509732,8705.528081846413,44320.29212262876,14331.432329103141,2537.3077883184446,25331.811685723213,10003.34652852783,9678.298022462626,13723.899281671524,22185.473484152277,12468.82823461182,24488.11109111739,6883.004738186322,18536.825929979463,7807.55248804042,8204.933673326928,10650.40642672079,9403.151708296557,8852.927146502563,207,0,0,9
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+Great Bustard,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Otis tarda,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,0.0,6969.961871375111,30539.64332906133,4629.9894606321695,12333.078511678026,5816.374343920702,7476.834902644455,17224.16999733045,1510.3504664689908,12922.135368993331,15583.489639100506,9099.97814976197,17524.01464737806,8630.892931496555,17777.18476168014,1931.3337904811865,8179.037666640305,3254.999252716671,9239.408544886026,43353.26289574031,17223.16451082659,4567.867465472637,24707.1021115141,10738.352149444987,12008.916867852708,14320.784220848434,22457.987481314194,13466.666876791449,25296.796109746967,6937.864594831664,18618.31535053657,8026.686111442237,7572.566589311196,10608.002858059,9652.402910667473,8356.137595221775,225,0,0,13
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+Great Bustard+Southern Cassowary,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Otis tarda+Casuarius casuarius,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,0.0,6315.7920130524,24660.334865263012,7269.075092582643,12134.707077454113,5522.981343527852,6882.9533208126095,16445.09719950789,1751.5359067048312,11046.305650633629,15531.335757944065,10408.112005016557,16475.40826464003,13048.106316535299,17883.28112033548,4078.9080142559947,9029.96335961758,3498.090898464784,10376.02472573351,43355.713692466714,18267.39315660629,4442.129263774259,23432.04689763855,10279.022898192177,12453.348145679929,13776.902031858212,21618.697048412665,13020.048062228765,25071.32680130329,6473.853277279761,18214.460441038646,8031.09460126469,7625.164145869334,10586.317989597408,9692.255552928,8168.024145671251,229,0,0,14
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+Great Bustard+Southern Cassowary+American Alligator,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Otis tarda+Casuarius casuarius+Alligator mississippiensis,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia,1.591501626505228,9019.438153969506,35201.91052917433,13234.39118663901,13534.151429235892,5830.944331208056,8349.540642137841,20760.415186483093,5682.729575481272,12981.847893000473,16764.615928657095,12995.053334859298,36613.311657164275,20141.386765134386,19159.95144933151,6094.581423090166,12407.14438936873,5637.430793630799,12618.042804311477,59235.830836462104,-8629.936509489913,2728.428456558009,19868.25822106971,8816.025917399724,12001.223165148478,12425.358254662897,21643.88373601612,11411.020795053168,33487.85312687476,14294.55064728843,20030.180598715633,8307.978244759945,8006.661351219455,12111.24790295567,9197.992619672983,10778.872956984313,228,0,1,14
Green Sea Turtle+Snapping Turtle,Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia,1.0,6964.0,19868.999999999996,-473.5000000000005,13761.999999999998,4097.0,5743.0,8839.5,8869.0,11078.0,19125.5,10139.500000000002,6356.5,-13535.499999999998,12878.000000000002,1680.9999999999998,7379.500000000001,-36.0,6049.0,68428.0,19404.000000000004,1822.4999999999998,8947.0,2995.5,8437.0,9280.0,17378.5,8329.5,8311.0,-12637.0,16149.0,5532.5,2725.5,5980.499999999999,6418.5,4878.000000000001,224,0,2,0
Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia+Reptilia,0.5923748193108708,9688.56670772614,32263.25124403366,9958.647436786541,15228.227774938796,5188.620233885488,12783.094495681951,9872.21839527591,12218.456109722574,13505.000325823075,20112.156749858037,9131.64674074613,5180.705166302207,-15356.973119909373,13138.880115641043,1120.107751371758,8247.94544745819,26.366652645436776,6135.416538306096,61057.72910795985,34394.82364502342,4513.845255499976,14482.549953758376,8205.968872158795,12419.905640513482,12544.670072139237,19248.07289123069,11166.775070186684,13924.813988450689,7988.426517689252,18787.965419781423,6936.564934883706,4983.947313608121,10637.006251602268,12982.284472046704,6618.151896361893,234,0,3,0
West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia+Reptilia+Reptilia,0.399272127294393,9656.435874367522,34117.34692887081,11060.250772979072,15706.041066988544,6033.685714805353,11968.438202085355,10231.05183023137,11796.488545714034,13439.152140800594,21355.72159631839,11356.579410670602,18175.039482025404,-7778.259187916207,15259.422921665378,3638.272670134978,10657.285757697598,2755.3566151656364,9294.684615454635,66006.20274193786,31097.587483975643,7730.99812385988,16725.769087299603,10173.597849429205,14386.90326889648,14152.513883075302,20398.108645170712,12337.118704472387,14892.710990883788,3573.5323756060707,18588.802552889105,6465.012846583185,4226.3856014403955,9174.655295167462,10840.825255988184,6080.560391202995,233,0,4,0
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+Great Bustard+Southern Cassowary+American Alligator+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Otis tarda+Casuarius casuarius+Alligator mississippiensis+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,1.0253323200936701,9321.937427626308,34686.869908430155,12201.929256399935,14565.54450466542,5927.222731137081,10068.092919904988,15760.201425365536,8586.048674727954,13199.013823693711,18944.853134029498,12216.970217602619,27857.292974741264,6882.826567657216,17307.657463476444,4928.122596233587,11576.166588142289,4268.783280942705,11039.837096444231,62450.964137901785,10235.982107451913,5104.062846318174,18375.944120093212,9460.713504537684,13134.141659912213,13245.554789684333,21052.286548062286,11850.808781671632,24657.33959510334,9203.323259506245,19345.69492794283,7432.785639714601,6211.473343613922,10716.710524820606,9978.145614434912,8547.72503753268,223,0,5,14
Desert Horned Lizard+Chinese Crocodile Lizard,Phrynosoma platyrhinos+Shinisaurus crocodilurus,Reptilia+Reptilia,0.5,5715.499999999999,8081.5,26133.5,15898.999999999996,5755.999999999999,9215.0,10490.499999999998,12935.5,10250.0,26515.999999999996,28766.499999999996,83794.49999999999,-19934.499999999996,24963.999999999996,6064.499999999999,12026.5,7500.0,15964.999999999998,132946.0,30433.999999999996,8322.0,23091.999999999996,14557.5,17364.999999999996,16873.5,28488.999999999996,17881.999999999996,88905.49999999999,-26150.499999999996,31206.999999999996,3609.0,9800.5,9221.999999999998,18603.499999999996,6470.5,128,0,2,0
Regal Horned Lizard+Desert Horned Lizard+Chinese Crocodile Lizard,Sphenodon punctatus+Phrynosoma platyrhinos+Shinisaurus crocodilurus,Reptilia+Reptilia+Reptilia,0.29800645222177624,6624.268971454229,7565.406485426639,24454.327637319628,15541.067433336988,5083.7654729940705,7527.949888956276,10327.89519403853,11783.934784116347,11270.875390471145,23090.99740387244,32839.295903852326,54159.824611909,2446.587087374977,22762.674316312918,5964.109206754222,13126.758854747986,6184.21402977265,15181.265034620492,86160.25446360782,28051.284110408073,7335.463512651156,22787.39372995044,12657.346696050252,15124.891555139498,17281.72896005979,26195.969245621603,16255.54795328974,89259.19070215967,-31405.36214545049,28228.807131557867,4648.45879686674,8384.323236526874,9086.260335893034,13839.48217565059,7578.434609563559,133,0,3,0
