Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Kakapo+Steller'S Sea Eagle,Strigops habroptila+Haliaeetus pelagicus,Aves+Aves,7.5,8576.0,30425.5,19380.0,14720.5,5245.000000000001,10503.0,12374.499999999998,3553.0000000000005,20211.5,17895.5,7624.5,3248.0000000000005,11333.5,18283.5,-6660.5,3541.5,3064.9999999999995,5356.0,34530.0,10639.5,3044.5,13334.0,8741.0,-18760.0,12822.5,19515.0,12394.0,18530.5,16378.999999999998,19464.0,6786.5,6618.0,9031.5,7700.5,8150.5,187,0,0,2
European Golden-Plover+Atlantic Puffin,Pluvialis apricaria+Fratercula arctica,Aves+Aves,7.749999999999999,7210.499999999999,21311.0,18258.5,14775.5,7083.0,9552.0,22777.5,6659.5,16042.499999999998,18188.0,8866.999999999998,3442.5,20423.0,13939.0,6382.0,8254.0,2336.5,9446.5,47108.99999999999,22070.5,6442.0,23135.0,12550.0,16609.0,15354.500000000002,21390.000000000004,12126.5,25288.0,5070.5,18927.5,7758.5,8881.0,11065.5,9937.0,9296.000000000002,153,0,0,2
Eurasian Coot+Royal Penguin,Fulica atra+Eudyptes schlegeli,Aves+Aves,6.25,8656.5,26968.5,2624.4999999999995,13899.5,6861.5,6746.499999999999,20901.5,3184.0000000000005,9541.0,16707.500000000004,8871.5,4466.0,20735.5,14769.0,5073.0,12360.5,2382.0,9549.0,47859.00000000001,1276.0000000000002,5782.5,43457.0,8794.0,19850.0,14314.5,31104.500000000004,11852.5,28734.0,3029.9999999999995,18292.0,7845.0,7738.5,11213.499999999998,9713.999999999998,9346.5,143,0,0,2
European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves,7.003138786506197,7930.474209808023,24127.911543560782,10474.214525491938,14339.33305131962,6972.7134941407485,8155.120577028758,21843.425575657086,4929.022568334862,12805.35454698003,17450.84798228162,8869.240583640481,3952.1083013406037,20578.59608614454,14352.263204799901,5730.239114357742,10298.657048808196,2359.154790142645,9497.53551625541,47482.4306067469,11716.762997335429,6113.630019800558,33253.47572041402,10679.85952141152,18222.718128622273,14836.676225310966,26226.92217232369,11990.073351668463,27003.789161133092,4054.5197959105976,18611.079799216455,7801.568996644808,8312.140709055555,11139.190306398054,9825.966632927253,9321.144327520959,170,0,0,4
Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves+Aves+Aves,7.177553960690119,8157.075703502503,26338.579145978085,13600.447933526577,14473.135606121115,6366.227332941877,8979.306058605858,18519.51085106083,4445.991876022381,15405.163334904355,17606.935954164637,8432.294330213199,3704.942355021073,17333.25312030223,15732.260942139117,1380.6685256179094,7926.665249793097,2606.930450388849,8043.715779799786,42935.68721235819,11338.607069242453,5036.2610635230085,26261.062682176875,9999.253927814783,5240.527027728547,14129.63190864062,23870.809352482185,12131.865334646727,24029.37665958614,8380.831255014558,18910.48378033744,7445.245276760182,7717.439736556156,10399.319368734768,9079.855600437208,8910.208378513675,19,0,0,6
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,6.659824455269434,7286.022956737729,30120.005534969125,5965.982265429948,14199.706408667469,6088.005867429113,7638.270703030168,17036.714313315202,2220.004402718063,13500.042270176806,15684.37115944376,8673.256420932186,19288.61312859584,5481.820053665432,17748.94548573492,1058.5596540510314,7474.279348899427,2846.6255387778233,8937.751976957526,42366.880170467106,15940.415994564846,6396.733531823195,25151.953127710745,10861.226655901268,9773.183714486064,14663.272893118388,23504.40229730847,13436.847523464501,25162.47964115703,7835.919475332026,18853.909230169782,7849.076692766748,7175.517692792332,10451.796967392582,9503.074276878939,8305.432146627138,225,0,0,10
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+American Alligator,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Alligator mississippiensis,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia,19.98710821603713,9686.47751976693,38788.46003219037,12681.51948379563,14798.19199106211,6174.131686543956,8846.014950203133,21262.472918781223,6098.657934037898,14493.590303214785,16898.667558096226,12067.592323379205,38987.00093816595,15946.681060641047,19126.607647082885,4390.956070883166,11613.264771101623,5330.899532583146,11852.61505130889,59222.10191616863,-10959.375886851405,3816.2930052250254,20752.014610475257,9106.012861031473,10409.385508848029,12898.149720164729,22753.396091145114,11598.546408601938,33842.277471907655,15374.8520317544,20471.01458942186,8210.866102954276,7755.948783966044,12086.66875338547,9069.105707669436,10952.976180634627,228,0,1,10
Green Sea Turtle+Snapping Turtle,Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia,27.5,6964.0,19868.999999999996,-473.5000000000005,13761.999999999998,4097.0,5743.0,8839.5,8869.0,11078.0,19125.5,10139.500000000002,6356.5,-13535.499999999998,12878.000000000002,1680.9999999999998,7379.500000000001,-36.0,6049.0,68428.0,19404.000000000004,1822.4999999999998,8947.0,2995.5,8437.0,9280.0,17378.5,8329.5,8311.0,-12637.0,16149.0,5532.5,2725.5,5980.499999999999,6418.5,4878.000000000001,224,0,2,0
Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia+Reptilia,21.589434880007627,9688.56670772614,32263.25124403366,9958.647436786541,15228.227774938796,5188.620233885488,12783.094495681951,9872.21839527591,12218.456109722574,13505.000325823075,20112.156749858037,9131.64674074613,5180.705166302207,-15356.973119909373,13138.880115641043,1120.107751371758,8247.94544745819,26.366652645436776,6135.416538306096,61057.72910795985,34394.82364502342,4513.845255499976,14482.549953758376,8205.968872158795,12419.905640513482,12544.670072139237,19248.07289123069,11166.775070186684,13924.813988450689,7988.426517689252,18787.965419781423,6936.564934883706,4983.947313608121,10637.006251602268,12982.284472046704,6618.151896361893,234,0,3,0
West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia+Reptilia+Reptilia,19.441407022110123,9656.435874367522,34117.34692887081,11060.250772979072,15706.041066988544,6033.685714805353,11968.438202085355,10231.05183023137,11796.488545714034,13439.152140800594,21355.72159631839,11356.579410670602,18175.039482025404,-7778.259187916207,15259.422921665378,3638.272670134978,10657.285757697598,2755.3566151656364,9294.684615454635,66006.20274193786,31097.587483975643,7730.99812385988,16725.769087299603,10173.597849429205,14386.90326889648,14152.513883075302,20398.108645170712,12337.118704472387,14892.710990883788,3573.5323756060707,18588.802552889105,6465.012846583185,4226.3856014403955,9174.655295167462,10840.825255988184,6080.560391202995,233,0,4,0
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+American Alligator+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Alligator mississippiensis+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,19.723868253773325,9671.985776502866,36535.168944078374,11899.43815613058,15236.127914874784,6106.382169570171,10352.23591534737,15941.042613363174,8847.225706832245,13984.941494723165,19048.69902199343,11724.607894549965,28947.55076045024,4502.043509460286,17261.12233659586,4027.870279218127,11152.111520542445,4088.487333498828,10618.698910202233,62494.67391205875,9328.418191435943,5704.701605337411,18809.800205631323,9621.003546752445,12328.094202746935,13503.240525507212,21617.232591232296,11954.825166020293,24701.22515079548,9682.031536728873,19563.05721094555,7368.686627373475,6053.328211909828,10681.947046004469,9923.762784164406,8602.57899840837,223,0,5,10
Desert Horned Lizard+Chinese Crocodile Lizard,Phrynosoma platyrhinos+Shinisaurus crocodilurus,Reptilia+Reptilia,27.999999999999996,5715.499999999999,8081.5,26133.5,15898.999999999996,5755.999999999999,9215.0,10490.499999999998,12935.5,10250.0,26515.999999999996,28766.499999999996,83794.49999999999,-19934.499999999996,24963.999999999996,6064.499999999999,12026.5,7500.0,15964.999999999998,132946.0,30433.999999999996,8322.0,23091.999999999996,14557.5,17364.999999999996,16873.5,28488.999999999996,17881.999999999996,88905.49999999999,-26150.499999999996,31206.999999999996,3609.0,9800.5,9221.999999999998,18603.499999999996,6470.5,128,0,2,0
Regal Horned Lizard+Desert Horned Lizard+Chinese Crocodile Lizard,Sphenodon punctatus+Phrynosoma platyrhinos+Shinisaurus crocodilurus,Reptilia+Reptilia+Reptilia,28.807974191112898,6624.268971454229,7565.406485426639,24454.327637319628,15541.067433336988,5083.7654729940705,7527.949888956276,10327.89519403853,11783.934784116347,11270.875390471145,23090.99740387244,32839.295903852326,54159.824611909,2446.587087374977,22762.674316312918,5964.109206754222,13126.758854747986,6184.21402977265,15181.265034620492,86160.25446360782,28051.284110408073,7335.463512651156,22787.39372995044,12657.346696050252,15124.891555139498,17281.72896005979,26195.969245621603,16255.54795328974,89259.19070215967,-31405.36214545049,28228.807131557867,4648.45879686674,8384.323236526874,9086.260335893034,13839.48217565059,7578.434609563559,133,0,3,0
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+American Alligator+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle+Regal Horned Lizard+Desert Horned Lizard+Chinese Crocodile Lizard,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Alligator mississippiensis+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina+Sphenodon punctatus+Phrynosoma platyrhinos+Shinisaurus crocodilurus,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,23.092933700868436,8541.664592310732,25791.015762331062,16555.729555079146,15349.222280153148,5727.1194659181165,9304.779563576281,13859.268011620017,9936.376928614014,12978.362928154242,20547.88539203102,19555.512365394075,38298.146323905974,3739.7266389367082,19301.509008450408,4745.972392192033,11884.458341435939,4865.73943157803,12310.839445098507,71271.6399967388,16272.256261280952,6309.510007206259,20284.9891783061,10747.106529300787,13365.35569963701,14904.586449355802,23315.370367261872,13549.854620770084,48644.143977824904,-5556.245000407671,22776.964978213673,6359.822832168689,6917.835390597338,10090.147148853583,11376.00420377955,8222.749712280085,203,0,8,10
Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee+Linne'S Two-Toed Sloth+Short-Beaked Echidna+Platypus+Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+American Alligator+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle+Regal Horned Lizard+Desert Horned Lizard+Chinese Crocodile Lizard,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Choloepus didactylus+Tachyglossus aculeatus+Ornithorhynchus anatinus+Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Alligator mississippiensis+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina+Sphenodon punctatus+Phrynosoma platyrhinos+Shinisaurus crocodilurus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,20.871057070284717,8070.783550455906,23995.66186214539,14279.289340080642,15151.35992270507,5140.700782861365,9943.53975023922,12566.0765447328,9968.52309003365,12297.479879121902,19227.484613318426,17930.58254474311,28752.15936849891,4990.305368952513,17701.595436800457,4763.3451197411505,10293.304691341571,4349.803680434671,11910.717633422899,73403.16896684816,15521.141375924464,6649.331749984178,19055.846938564617,10095.363849362357,13231.68112516845,14337.035797120277,21890.68387148915,13398.28452961003,38673.931277548065,-1558.3898244221505,21408.542237194477,6223.444176993867,5862.240449640556,9078.050696345192,9856.933213994827,7631.093676213187,root,13,8,10
