Common Name,Species,Class,Lumbar,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Cattle)-(Sheep),(Bos taurus)-(Ovis aries),(Mammalia)-(Mammalia),-1.0,1380.0,-17.0,12416.0,23039.0,8452.0,34.0,1517.0,-16.0,-42.0,5551.0,41.0,1598.0,-22977.0,26.0,-30.0,537.0,14851.0,9609.0,9818.0,1.0,-787.0,61.0,5177.0,-382.0,-541.0,-820.0,-44.0,637.0,4910.0,-2766.0,1370.0,-7056.0,-1501.0,-13687.0,-1721.0
(Two-Humped Camel)-(Cattle+Sheep),(Camelus ferus)-(Bos taurus+Ovis aries),(Mammalia)-(Mammalia+Mammalia),0.5,307.00000000000045,-730.5,-6183.0,12354.5,4071.0,3444.0,74.5,-296.0,-323.0000000000002,6226.5,-131.5,637.0,-26999.5,91.99999999999818,1810.0,-1387.5,7436.5,-25581.5,-8332.0,-62419.5,-13626.5,-17388.5,-8854.5,-8492.0,-8393.5,-6670.000000000004,-9699.0,-12530.5,-27068.0,-20607.0,-7502.000000000002,-9374.0,-12906.500000000002,-11784.5,-3929.500000000002
(Ermine)-(American Black Bear),(Mustela erminea)-(Ursus americanus),(Mammalia)-(Mammalia),0.0,-3183.0,-134.0,11449.0,9744.0,-2974.0,-2793.0,360.0,1183.0,-390.0,-401.0,-2290.0,-58407.0,-44210.0,-9846.0,-23368.0,-6679.0,-6723.0,-8631.0,-8620.0,-65450.0,-41274.0,-15319.0,-7400.0,-8521.0,-7549.0,-5710.0,-9373.0,702.0,-3988.0,-1342.0,921.0,360.0,4521.0,-1264.0,-1446.0
(Fox)-(Ermine+American Black Bear),(Vulpes vulpes)-(Mustela erminea+Ursus americanus),(Mammalia)-(Mammalia+Mammalia),1.0,2402.5,1610.0,6609.5,15832.0,1475.0,3751.5,1707.0,3147.5,1544.0,3499.5,1607.0,-24644.500000000007,20972.0,2283.999999999998,-7130.000000000002,2497.5,2214.5,3259.5,-931.0000000000146,27504.0,-18524.0,3079.5,-9061.999999999998,-3834.5,-3374.500000000002,-2094.0,-3292.5,8331.0,7249.000000000002,6213.0,5922.499999999999,5549.0,11793.5,3900.0,3629.0
(Tiger)-(Lion),(Panthera tigris)-(Panthera leo),(Mammalia)-(Mammalia),0.0,-6.0,-27.0,-5.0,12.0,-8.0,-3.0,308.0,-3.0,-31.0,-1.0,0.0,15.0,-3.0,15.0,7.0,-3.0,8.0,-25.0,-121.0,9.0,-15.0,74.0,-34.0,-24.0,-3.0,3.0,5.0,356.0,-14.0,323.0,-7.0,-9.0,-5.0,-8.0,12.0
(Cat)-(Tiger+Lion),(Felis catus)-(Panthera tigris+Panthera leo),(Mammalia)-(Mammalia+Mammalia),0.0,1816.3466174864516,4045.0597786890357,943.7888479053763,-5519.693234972907,8.462156648601194,1230.6733087432258,882.2069690288281,7133.673308743226,1464.2908570133313,1305.557769581079,-304.0,-1616.366543716129,-28277.326691256774,111.63345628387106,-1836.9043870675264,5655.673308743226,-875.4621566486021,-4286.055760473118,2000.490119310096,-48031.01992622968,-1083.6334562838715,-3245.274948999566,-590.035834243442,-816.6135300541955,-1127.3266912567742,-1416.6733087432258,-1325.7888479053763,-44.56597086278089,-8108.191225864946,-13563.159574687299,-987.0956129324741,-13131.980073770323,-4632.211152094624,-1579.537843351398,-810.6932349729022
(Fox+Ermine+American Black Bear)-(Cat+Tiger+Lion),(Vulpes vulpes+Mustela erminea+Ursus americanus)-(Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-0.6429997148560025,-5922.685718124123,-19372.993670051404,-8808.186295270394,-19108.31110088932,-5931.3970743779555,-7951.050381352385,-6301.46699002463,-9915.610148690637,-6567.832521926573,-5718.524375854518,3423.0881088978967,21093.09679359104,26462.989818491005,2869.7119051163736,9581.25316450317,8552.235803112038,3577.950811062079,4930.726922202299,3825.156483764309,2256.9249264797554,12785.122439318431,-388.18830440172496,516.3135207129899,2213.4190133817774,2683.039396854192,1507.772725770992,3027.403821871032,1541.6920066804905,6985.686652808105,7062.9488507374135,1810.3846145285406,7479.071422794587,-163.28919818835493,1335.871963367069,1228.9079852482664
(Two-Humped Camel+Cattle+Sheep)-(Fox+Ermine+American Black Bear+Cat+Tiger+Lion),(Camelus ferus+Bos taurus+Ovis aries)-(Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.1428478783221303,-1182.5367269533563,-7350.665471045249,-37808.077371149906,-4145.621012279728,-5188.646893305617,-4006.700628114097,-3589.5386462484958,-2801.340342904675,-8398.329767975807,-7019.908533178485,-2125.9707927686904,-14878.969131137197,-7182.864594602176,-2116.153740321506,-6491.337004680497,-6697.003245358308,-6895.80469084863,-21273.839117632335,-9415.329502234716,-5838.409678572116,-1363.7741848777623,-1481.511570325003,4441.2305986049905,2348.8945299367388,1982.733195709303,757.7689672740089,2494.0553185676854,481.64307130651287,13480.97569554243,-1490.462723499195,3141.632001014511,5722.812809107565,3024.238062832357,5310.406516131849,1844.488888415468
(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion)-(Flying Fox),(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo)-(Pteropus vampyrus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),2.652463582930273,-5175.186976067497,-31825.022221534717,-24426.25795993513,-10247.040012750826,-6656.38534281307,-7934.127412606707,-7833.399800298575,-6626.957970690547,-8132.40702536741,-10298.91122362452,1627.1212786578399,7466.77053784995,17031.915438362044,4900.942354981877,2501.539843636372,-1001.9768372920444,546.5682335216623,3419.359771846863,3533.765770848855,-25815.87699811282,-8214.135567630194,-7076.197953460378,-3946.538071933239,-5470.741736016447,-4120.649913832107,-3827.3186614756487,-5940.231806478105,-5238.746555727726,-16588.083967180508,-20801.796707704805,-4252.68264859298,-8344.931537310784,-7240.897668087656,-2426.479218951734,-1366.5265701161352
(Western European Hedgehog)-(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox),(Erinaceus europaeus)-(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.5332739405125366,-1568.9058300988063,-11027.193491775462,-2557.79428656812,2677.976618490752,-281.47759680845957,674.9890657791748,-1187.224748018003,-1477.0354593403126,552.9823946059078,-173.26095762111072,6155.713019232659,-4396.731723255172,26297.005549898233,657.1309374170032,-2008.581756052086,-4293.92408545251,564.0223548087897,8447.8536958338,42400.15457042222,20335.432846331998,6454.632270837354,5971.334188514797,1982.260391336873,3695.654788967169,3673.72766046202,1514.8714945970023,3433.547355161989,5018.816436184039,-8638.229246140578,647.8367058483782,-10020.061253884802,-3683.1046988284807,-30.41350780926132,-3000.9567576195186,-1417.4746420964693
