Common Name,Species,Class,Lumbar,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Cattle)-(Sheep),(Bos taurus)-(Ovis aries),(Mammalia)-(Mammalia),-0.15205496936531646,209.83585772413673,-2.58493447921038,1887.9144996397692,3503.194439207526,1285.1686010756548,5.16986895842076,230.66738852718507,-2.4328795098450633,-6.386308713343292,844.0571349468717,6.234253743977975,242.9838410457757,-3493.7670311068764,3.953429203498228,-4.561649080959494,81.65351854917495,2258.168350044315,1461.096200631326,1492.875689228677,0.15205496936531646,-119.66726089050405,9.275353131284305,787.1885764042433,-58.08499829755089,-82.26173842663621,-124.68507487955951,-6.690418652073925,96.85901548570659,746.5898995837039,-420.5840452644653,208.31530803048355,-1072.8998638416729,-228.23450901734,-2081.1763657030865,-261.68660227770965
(Two-Humped Camel)-(Cattle+Sheep),(Camelus ferus)-(Bos taurus+Ovis aries),(Mammalia)-(Mammalia+Mammalia),0.04618808361199615,28.359483337765678,-67.48079015712638,-571.1618419459444,1141.261357968813,376.0633767688727,318.1435199194295,6.882024458187426,-27.343345498301723,-29.837502013349535,575.1802052201881,-12.147465989954988,58.8436185216831,-2494.1103269641803,8.498607384607125,167.20086267542607,-128.17193202328932,686.9553675612187,-2363.1209218405593,-769.6782253103039,-5766.074170037988,-1258.7638426777312,-1606.2829837743902,-817.9447726848398,-784.4584120661426,-775.3593595945794,-616.149035384029,-895.9564459055014,-1157.5195634002355,-2500.438094419024,-1903.5956779848093,-693.0060065143904,-865.9341915577038,-1192.2530022764568,-1088.6069426511374,-362.9921491066779
(Ermine)-(American Black Bear),(Mustela erminea)-(Ursus americanus),(Mammalia)-(Mammalia),0.0,-355.33761135835647,-14.959233403085067,1278.121367402395,1087.7818677586633,-332.0056726923507,-311.7995439911686,40.188985262019585,132.06547101380326,-43.538067367187885,-44.76606413908293,-255.64660069451347,-6520.3279505521605,-4935.430662316349,-1099.1687469162357,-2608.71168778576,-745.6173126806356,-750.5292997682158,-963.5309216569195,-962.3029248850245,-7306.580792775505,-4607.667160290545,-1710.1529589691056,-826.106919274847,-951.2509539379691,-842.7406937305162,-637.4419606836996,-1046.3648857247488,78.3685212609382,-445.20464784703915,-149.81560617119524,102.81682062866678,40.188985262019585,504.7066732488626,-141.10799269775765,-161.425757469112
(Fox)-(Ermine+American Black Bear),(Vulpes vulpes)-(Mustela erminea+Ursus americanus),(Mammalia)-(Mammalia+Mammalia),0.11940351705851215,286.86694973307544,192.23966246420457,789.1975459982361,1890.3964820703645,176.12018766130544,447.9422942450083,203.82180361888024,375.822569941667,184.35903033834276,417.8526079462633,191.88145191302903,-2942.6399761485036,2504.130559751117,272.7176329616415,-851.3470766271919,298.2102838536341,264.41908852607514,389.19576385222035,-111.16467438147656,3284.0743331773183,-2211.830749991879,367.7031307816882,-1082.034671584237,-457.85278616086487,-402.9271683139495,-250.03096472052445,-393.1360799151513,994.7507006144648,865.5560951571548,741.8540514845361,707.1673297790381,662.570116157684,1408.1853784295631,465.6737165281974,433.31536340534063
(Tiger)-(Lion),(Panthera tigris)-(Panthera leo),(Mammalia)-(Mammalia),0.0,-1.7225846581070712,-7.751630961481821,-1.435487215089226,3.4451693162141424,-2.2967795441427614,-0.8612923290535356,88.42601244949633,-0.8612923290535356,-8.900020733553202,-0.2870974430178452,0.0,4.306461645267678,-0.8612923290535356,4.306461645267678,2.0096821011249166,-0.8612923290535356,2.2967795441427614,-7.17743607544613,-34.73879060515927,2.5838769871606067,-4.306461645267678,21.245210783320545,-9.761313062606737,-6.890338632428285,-0.8612923290535356,0.8612923290535356,1.435487215089226,102.20668971435289,-4.019364202249833,92.732474094764,-2.0096821011249166,-2.5838769871606067,-1.435487215089226,-2.2967795441427614,3.4451693162141424
(Cat)-(Tiger+Lion),(Felis catus)-(Panthera tigris+Panthera leo),(Mammalia)-(Mammalia+Mammalia),0.0,405.6211615897732,903.3308016960349,210.7641378013071,-1232.6415894600711,1.889743827700795,274.83032821166927,197.01185450785002,1593.0708522466095,327.0011090443547,291.5533048162713,-67.88838206109128,-360.9622022058098,-6314.8090726392575,24.929653720393322,-410.21206197018074,1263.008257883804,-195.50562292956332,-957.1493125070402,446.74354450382197,-10726.145498472924,-241.99382267888265,-724.7252158913521,-131.76505968701815,-182.36372146242,-251.75126685429535,-316.367298814837,-296.0712494701784,-9.952340976499773,-1810.6973150194328,-3028.884734085262,-220.43527664995685,-2932.595001535386,-1034.4517121087094,-352.7377256229995,-181.0416186519159
(Fox+Ermine+American Black Bear)-(Cat+Tiger+Lion),(Vulpes vulpes+Mustela erminea+Ursus americanus)-(Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-0.07442296878596487,-685.5117415219127,-2242.296022665913,-1019.4893692303984,-2211.6607640058837,-686.520023453589,-920.2815501707349,-729.3531711898441,-1147.6663636702558,-760.1832216679143,-661.8814150194597,396.1998327435766,2441.386594736384,3062.9162342411214,332.1501932345591,1108.9667518000922,989.8647907919468,414.1241673630036,570.6990646261135,442.7365907252,261.2241490546921,1479.7934528465867,-44.93023152900783,59.75987881176548,256.1886270510457,310.5440837222006,174.51473136580378,350.4019907506111,178.4406640311632,808.5470766140195,817.4896655638695,209.54005817533195,865.6531040162207,-18.899645861551697,154.6183538416928,142.23798007039025
(Two-Humped Camel+Cattle+Sheep)-(Fox+Ermine+American Black Bear+Cat+Tiger+Lion),(Camelus ferus+Bos taurus+Ovis aries)-(Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.01609837440024115,-133.2670754101192,-828.3900764487511,-4260.816415498439,-467.19461262622497,-584.7393836030217,-451.53885082988614,-404.5263936026607,-315.6996533114966,-946.4575780165407,-791.1151159537196,-239.5882542181637,-1676.799253696506,-809.4796007357162,-238.48191236935313,-731.5472563325935,-754.7250044574572,-777.1291181090111,-2397.4750697650675,-1061.06930819657,-657.9650045322693,-153.6917991602026,-166.9603232299896,500.5086096758208,264.710851947893,223.44596010265028,85.39747798390091,281.0698819248417,54.279213525939184,1519.2510842757956,-167.96908175552468,354.04913796521663,644.9377079003959,340.81931900414423,598.4611974522174,207.86638941767666
(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion)-(Flying Fox),(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo)-(Pteropus vampyrus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),0.25799442916781684,-503.369553617865,-3095.4914872864347,-2375.8435439544987,-996.688231937518,-647.43974163932,-771.720556667867,-761.9231882869731,-644.577459901875,-791.0064144790798,-1001.7335353021804,158.2635208172707,726.2626393956078,1656.6256854317967,476.6948859901327,243.31468607253686,-97.45824366453931,53.162486496007865,332.5873267909135,343.7151366488288,-2511.006180238206,-798.955819984022,-688.2732201980529,-383.8638327062899,-532.1169724595678,-400.7989889705018,-372.2678417397522,-577.7823770699118,-509.55173744806547,-1613.4559892327281,-2023.3068238171368,-413.64128028613436,-811.6778161510405,-704.2928968235185,-236.01384200322846,-132.91652510089705
(Western European Hedgehog)-(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox),(Erinaceus europaeus)-(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.05073492032202558,-149.26345773866495,-1049.1114241267426,-243.3448917538379,254.77886699806166,-26.77937615475271,64.21749474131644,-112.95086524786647,-140.52304200429148,52.609954468896625,-16.48379981098711,585.6457363280485,-418.29877050110485,2501.8595133294098,62.51849793925167,-191.0935967649841,-408.51779881626936,53.66028049966651,803.7167234129666,4033.890089780918,1934.6840090872608,614.0844865852013,568.1041979649546,188.58941975549098,351.5993132455602,349.5131975870108,144.12270830751368,326.66278670699444,477.48302074528914,-821.8287811047283,61.63425803501888,-953.2943028287917,-350.4053156116075,-2.8934976532570715,-285.50673569636245,-134.8565110009636
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),0.31038557713349346,-193.3702145541664,-1153.3928046280616,-289.27935788841586,-81.0106356318418,-45.00590868435655,-1171.3951681018043,-992.3026900957785,-129.12040008753328,-46.557836570024016,-8.690796159737816,2075.237968714537,13577.81707170467,13750.701838168026,1725.43342328509,3715.3153582879163,4045.25522678082,2473.773049753943,3017.2581953146896,2431.250225686654,-5715.129631759015,-10058.355012587988,-5990.441638676423,-2055.9940629322605,-2578.993760402197,-3056.36677803351,-2676.765217199247,-2897.1389769640277,444.4721464551626,754.2369524343891,4572.9107079077585,4.345398079868908,636.600818700795,-1210.193365243491,619.5296119584528,13.967350971007205
(Gorilla)-(Human+Chimpanzee),(Gorilla gorilla)-(Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia),0.1319060935108851,-81.63097257048568,-7590.325520494117,85.83556920385153,-6.281520536357727,-26.504453330821836,-331.12387243736043,-428.80858888264476,-1564.6446196739314,-17.87308112284742,-105.0735145189264,-450.22734535099096,-6182.787493277327,-6239.115174805767,-754.6447634745622,-1707.0577275344679,-75.10514702325433,-788.3071644729168,-935.8072478414499,-1764.980845923744,8911.579601196974,4442.777199922705,2291.220285226168,929.2356793232492,1169.8794744734525,1338.370747831459,858.8928774271941,1990.8189186740522,163.2029126281852,4038.259186659897,1466.2572971231343,-4.984860775795004,162.60096964865434,1091.9312568939224,270.38937057607205,10.854487389152114
(Common Marmoset)-(Gorilla+Human+Chimpanzee),(Callithrix jacchus)-(Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia),0.14620776785405962,-627.342531799621,-4594.952272666246,-5388.123664257626,-557.9126267706068,-576.7217227502788,-757.9622766275909,-792.1779510387132,-1359.076498379487,-1395.685377088736,-1198.0154692003632,-82.1515090035887,-1913.765078060297,-2537.819122903609,-211.99840545874594,-445.95784323931855,-440.8044464342255,-349.73744290438106,-629.391531280878,-1307.6019495446442,2487.419319454997,1073.216176065961,608.8877310919992,247.74688433202337,305.50797785108625,364.6572598681049,397.04676804093003,494.60352457016256,1312.0372033956794,3713.5065437323055,2339.2129128193633,764.8962866073088,698.2466477262457,905.2806375046479,626.6273364516674,658.1102826785682
(Lemur)-(Common Marmoset+Gorilla+Human+Chimpanzee),(Lemur catta)-(Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),0.1523109971573998,240.57532487625542,2393.358791507342,1990.933205208826,330.2062200946312,598.886899301608,404.04309297244254,509.5977855554108,251.18319720650152,533.0135688414508,415.68930835936084,-322.5618572784721,-606.1115858223225,-385.1796779522304,-235.00523436733346,-337.87600631526544,-74.41546552174894,-133.99085370913227,-909.0505160703046,-2288.973338849673,894.3017412513319,-12.306286908262216,236.64801225107027,600.3757654746865,98.26394441517532,147.02084502640295,44.98318653186168,-14.675214758560964,928.7212459257942,356.2666524947154,252.5889500292372,116.1452367287833,369.85832707023536,405.9006383696233,271.22496872318965,130.27391856332363
(Norway Rat)-(House Mouse),(Rattus norvegicus)-(Mus musculus),(Mammalia)-(Mammalia),0.10544361212183397,356.8211834202861,-21.088722424366793,-42.59921929722092,348.3856944505394,827.7323551563966,-211.73077314064258,393.726447662928,2678.68952234307,-2309.4259926924074,16795.691200438443,-93.21215311570123,19.19073740617378,-2922.47515356875,174.1928472252697,-6.11572950306637,7.170165624284709,226.703766061943,988.8501944785589,-39.014136485078566,-4175.777927248869,-7.802827297015713,751.3911799801888,-1756.0579162770227,994.7550367573816,-230.28884887408537,-103.33473987939728,149.3081547645169,134.54604906746013,4604.300766912002,-2096.0081217578154,148.0428314190549,40.70123427902791,2109.2940168851665,883.4065823567249,64.10971617007505
(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee)-(Norway Rat+House Mouse),(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes)-(Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),-0.022155298306200562,-171.67543307922642,-1324.2391913794695,-1043.1137200087883,-112.0343594427146,-155.00096163430544,-168.891192777675,-74.1551579151261,-1148.8473771897857,174.21501714689026,-3712.419822896037,-50.018331453394396,347.83234641843063,788.009059664926,9.117060605377233,34.71008746565322,360.3788315275866,28.058148574704845,-334.63585610145685,984.36058268571,2275.11324519089,881.0042103168053,1288.1899870948228,1092.1289738339976,872.1669399712524,593.7839002303245,504.87276067726617,816.2258550410423,875.6798378120963,2433.6994974077256,1371.6118558264595,333.9510427044826,344.94797007748724,712.6993831878586,372.4393080311133,324.6776869868644
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox)-(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus)-(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.020795870518689294,-437.3414855752386,-3579.4619062797265,-1371.543833515373,-798.7341227068501,-743.1775828571622,-672.1246377314832,-531.3059647337584,-1008.2194982851343,-332.7835965311268,-2116.6546526605653,12.136496443967088,281.82365481732324,2483.225102197565,22.449642924316162,140.71507451960164,135.07095575093746,-21.198630508762662,-251.89023011048963,-541.0576815471559,-35.83861348066145,620.6944870476165,267.253208994891,80.52932862831162,165.70751761771407,17.80977147869028,-68.05222860403497,-44.126455662695925,-494.3843508061722,1394.3947479601625,252.83686344949663,-142.7957121017409,59.26799782592989,44.09728133776189,284.87839964757643,22.63315836475073
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse)-(Linne'S Two-Toed Sloth),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus)-(Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),0.2732211001768596,-278.551245495928,-168.74516450912446,-1307.655183241227,-377.1549226775083,-186.5663825602187,-1955.236760620317,-114.0909109050467,-50.732658675660154,-366.6674333374795,323.1612757728673,167.27695640504533,339.30151605722165,2140.00952678304,-10.269668353596808,110.46148245274834,281.53066700066324,-51.02334277010428,-604.1717132393543,-2309.965579522109,-1361.3460745357174,-632.5894124312105,-462.00763947036734,-138.57266787272417,-317.0021342632291,-214.30270637405016,-133.26713345853372,-312.97852317332473,513.638587514232,1581.1407590175702,281.29206821888704,136.01646553705865,188.27224700779408,-3.5222993071779936,117.33735452716506,94.26889205109761
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),0.10344143739142002,331.3229239647183,2306.0199637669266,3904.0867300269747,1513.0379047243007,727.9173949234226,654.0602086259488,783.7757711147896,786.6721313617493,899.423298118397,712.8149450642753,-308.35892486382306,-546.7914380510463,-708.6772875686186,-395.87038089696443,-1255.1584013074905,-1366.8751536902241,-620.7520657859116,-2114.6533045927995,-972.9701601036967,11.481999550447622,121.44024749752711,26.170683660029265,66.71972711746591,-0.8275314991313601,-13.240503986101762,8.999405053053541,16.654071420018624,581.0305538276062,2740.3705593734994,510.69037640144063,111.6133109453422,63.823366870506156,26.067242222637844,28.756719594814765,247.5353596776681
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),0.18675045773474006,42.2658304433275,570.5737555468091,342.1400971383899,-371.9057164945171,67.81712177362208,185.8522448273249,-31.197707484167193,99.43941984352527,-136.11802640901192,90.05748530885917,-473.6120421573259,-88.92694692190852,-2362.1168829755093,-178.52161833823328,-371.04998655446894,-232.8108670267389,-278.99898311606717,-967.571469055508,1417.4677622931092,-672.1657230623028,604.3660014171212,42.9239339971332,206.7041217653586,237.4604100951852,155.07244091472114,53.497711851274,181.29032528602954,244.60172839862074,699.7306388746161,155.827104878777,6.869549167080797,123.5434939629906,-13.78921727403967,54.703737799261326,-111.16219715912501
(Mute Swan)-(Bar-Headed Goose),(Cygnus olor)-(Anser indicus),(Aves)-(Aves),0.0,726.3199450008246,4721.07964250536,5508.597620414744,784.5742750606178,525.06362918255,1052.916029484984,166.24174509084574,2957.8016360944416,1439.9354882332902,840.349697458292,-197.38302259621386,-5921.335746157533,5035.126256950042,-889.3081237851394,1614.6984784126694,446.04844745251154,-199.242203342803,-637.5440643511931,-756.9964273195454,330.9341728928672,2326.7647043563106,770.1656242745519,750.6442264353659,749.7146360620713,1062.9865918623418,938.1116183831043,763.8134233903723,2841.447907703738,2719.0518418866195,359.44161100723403,688.0518079668648,806.729512290805,940.1257308585759,497.9505766281251,320.5537470577445
(Mute Swan+Bar-Headed Goose)-(Eastern Spot-Billed Duck),(Cygnus olor+Anser indicus)-(Anas zonorhyncha),(Aves+Aves)-(Aves),0.0,-33.1458392205049,-595.9700498580131,739.7548662394529,-350.7170418707191,-298.24704737343745,34.71797388709023,-1379.482664317421,-408.55849647883355,-660.2965599657916,-362.9010855367545,-1308.4090762655478,-3947.9576758510216,-2148.6495499442394,-512.5159013067811,-2805.4743125213217,-679.4897040203529,-448.1893911990026,-455.984558920821,-696.7176797416826,13.101122221543484,870.0455267327028,-101.46819160585429,-177.4547004908065,15.00078494366729,-225.01177415500936,-358.5122095925375,87.90853010655678,144.3743668814092,332.3754707605582,-105.46403388342505,-473.01601780882754,-386.4175999244251,-182.7606549905316,-358.4467039814297,-25.743705165332827
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck)-(Golden Pheasant),(Cygnus olor+Anser indicus+Anas zonorhyncha)-(Chrysolophus pictus),(Aves+Aves+Aves)-(Aves),0.0,106.73049871129919,361.35451957108415,1453.8714896559377,162.27653356946394,82.4733757254718,498.3550775558323,250.3356035321791,1288.6455721867508,417.7493426997066,1149.7184541119411,353.3362178852388,-1296.8818657976626,855.063476194342,-382.07085296946224,1013.2844548690916,559.4073331597178,7.743337277628708,-276.543950020073,598.2778610065247,-359.54994200356776,189.11468815897726,-531.6732617977162,-60.418473483821344,-139.33319267586424,-184.83365648308083,-260.47516891388784,-258.3010045538891,66.87749494425582,163.601171879415,-261.84743510859465,-128.29941633829984,77.21457319179731,-96.34568818465706,-354.8809101992507,1.172039345343953
(Merlin)-(Kakapo),(Falco columbarius)-(Strigops habroptila),(Aves)-(Aves),0.0,-750.9668863754359,-3635.2853064131723,59.774562732003766,-2804.531994964596,-417.89989054121406,-820.8343883751434,94.31677729474829,-1606.5175055075947,-2054.000149074837,-425.46959499199187,544.8447042617287,857.9868458519492,2383.412804829373,1313.21321006424,1164.951412545558,913.9330523099965,356.29815776936744,792.2957325147398,2140.3121814331303,1488.6215338891593,-1800.9806026051615,2213.3119749297116,324.45319421781954,5920.1179371881635,107.89004044786705,26.27644533488375,109.54319429343921,782.1157851499008,-2402.0325376163432,-427.3837731289701,-81.43957891871256,-54.64108500101654,-156.00551816373036,22.62210525519793,-135.55861533691683
(California Condor)-(Steller'S Sea Eagle),(Gymnogyps californianus)-(Haliaeetus pelagicus),(Aves)-(Aves),0.0,-1.9968948497732038,1910.5745314943713,-1750.9137114602318,10.801385778318693,0.907679477169638,-9.5306345102812,-49.286995610311344,12.435208837224042,5.083005072149973,-3.903021751829444,10.347546039733874,7.170667869640141,-71.52514280096749,-849.5879906307813,842.9619304474429,289.27744937396363,-312.42327604178945,-7.170667869640141,55.73151989821578,66.89597746740233,-13.524424209827608,34.31028423701232,6.716828131055322,7.442971712791032,5.5368448107347925,2.7230384315089142,-0.09076794771696381,502.1282867702438,454.8381860097056,176.99749804807942,373.69164075074,319.86624775458046,479.9809075273046,360.71182422721415,199.96178882047127
(Merlin+Kakapo)-(California Condor+Steller'S Sea Eagle),(Falco columbarius+Strigops habroptila)-(Gymnogyps californianus+Haliaeetus pelagicus),(Aves+Aves)-(Aves+Aves),0.0,473.71820311696405,1321.7981952422974,4178.13888008749,-1021.2862280413451,78.33761867109885,627.0986022554462,45.048391302524365,935.9044725209235,1209.489658539787,327.83640126969647,259.83775765163625,534.7863249961745,-445.20081038825356,259.66733498592663,-577.8464518654224,86.06344618325954,-181.72736920148313,-411.9115830196793,-1541.9274717836374,-1185.1192173433385,-1776.4858673550423,-471.50270846274145,-520.8684739632381,-4052.480567904408,-318.29273198996873,-303.5795751837221,-324.48475551074426,-232.96778402478347,1831.134735492531,221.43585031177906,367.94253526664767,246.77201994724686,403.1632195132624,194.28183890874385,59.13666500117034
