Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),-8.0,3203.0,22293.0,37742.0,14627.0,7037.0,6323.0,7577.0,7605.0,8695.0,6891.0,-2981.0,-5286.0,-6851.0,-3827.0,-12134.0,-13214.0,-6001.0,-20443.0,-9406.0,111.0,1174.0,253.0,645.0,-8.0,-128.0,87.0,161.0,5617.0,26492.0,4937.0,1079.0,617.0,252.0,278.0,2393.0
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),-0.20268053890468885,152.15321549008513,6196.683341411352,5505.685205880826,-5316.957037632181,324.68118316933896,2806.0368813802834,-1283.2444629493184,841.8208428459893,-1967.4232220830254,-3962.7086992644145,-6838.500523836268,-1686.9935321808316,-35287.55425629868,-2414.843728334603,-6103.662462415387,-3889.4228648313738,-3710.6219375397695,-11567.74407056619,28118.409060026308,-11355.497703191502,7528.266299412191,-176.6134864802625,2850.0813556101284,2693.2939088014573,1922.511322762437,406.04490268570225,2097.7466576788047,3194.8828941549145,6971.14669465091,1616.9621203709576,-417.6033869762614,472.0591296514999,-1440.103467302797,-524.5614134683228,-2155.7180962144976
(Mute Swan)-(Bar-Headed Goose),(Cygnus olor)-(Anser indicus),(Aves)-(Aves),4.0,4688.0,30472.0,35555.0,5064.0,3389.0,6796.0,1073.0,19091.0,9294.0,5424.0,-1274.0,-38219.0,32499.0,-5740.0,10422.0,2879.0,-1286.0,-4115.0,-4886.0,2136.0,15018.0,4971.0,4845.0,4839.0,6861.0,6055.0,4930.0,18340.0,17550.0,2320.0,4441.0,5207.0,6068.0,3214.0,2069.0
(Mute Swan+Bar-Headed Goose)-(Eastern Spot-Billed Duck),(Cygnus olor+Anser indicus)-(Anas zonorhyncha),(Aves+Aves)-(Aves),0.9999999999999991,-252.9999999999991,-4549.0,5646.5,-2677.0,-2276.5,265.0,-10529.499999999998,-3118.5,-5040.0,-2770.0,-9987.0,-30134.5,-16400.5,-3912.0,-21414.0,-5186.5,-3421.0,-3480.5,-5318.0,100.0,6641.0,-774.5,-1354.5,114.5,-1717.5,-2736.5,671.0,1102.0,2537.0,-805.0,-3610.5,-2949.5,-1395.0,-2736.0,-196.4999999999991
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck)-(Golden Pheasant),(Cygnus olor+Anser indicus+Anas zonorhyncha)-(Chrysolophus pictus),(Aves+Aves+Aves)-(Aves),1.5893812193537844,1291.886551503494,4373.904833159635,17597.941055081144,1964.2264757899193,998.2736541411105,6032.186023128754,3030.110450814327,15598.014667445223,5056.518654456926,13916.414022390018,4276.849762313754,-15697.708354616618,10349.853311988258,-4624.659330112005,12264.990568758058,6771.174305821596,93.72684859070341,-3347.341333960847,7241.670675476576,-4352.061878064622,2289.0806777284834,-6435.475754389503,-731.3168616147013,-1686.5158503839903,-2237.2622442401225,-3152.841706761632,-3126.5252018136107,809.498103727874,1980.2601535005524,-3169.4518815797965,-1552.9608924768381,934.6200935160132,-1166.1868009985283,-4295.547016151953,14.186590396981956
(Kakapo)-(Steller'S Sea Eagle),(Strigops habroptila)-(Haliaeetus pelagicus),(Aves)-(Aves),-1.0,8474.0,43049.0,26786.0,7187.0,3096.0,10184.0,-417.0,17538.0,22477.0,5309.0,-787.0,-184.0,-18009.0,-9941.0,-7137.0,-2901.0,-5368.0,-8218.0,-25564.0,-18617.0,-5361.0,-16680.0,-6412.0,-69648.0,-3391.0,-2808.0,-3486.0,-3779.0,32426.0,5380.0,5765.0,4248.0,7089.0,3567.0,2401.0
(European Golden-Plover)-(Atlantic Puffin),(Pluvialis apricaria)-(Fratercula arctica),(Aves)-(Aves),0.5,665.0,-50.0,-59.0,49.0,-146.0,26.0,25.0,15.0,-71.0,-180.0,2236.0,159.0,1524.0,-10.0,-96.0,-16.0,1.0,-111.0,932.0,591.0,-882.0,-1102.0,-264.0,-570.0,-725.0,-344.0,-55.0,1492.0,5.0,-63.0,-657.0,-110.0,-43.0,-94.0,70.0
(Eurasian Coot)-(Royal Penguin),(Fulica atra)-(Eudyptes schlegeli),(Aves)-(Aves),0.5,-3395.0,-10881.0,31659.0,3005.0,1453.0,2539.0,-2099.0,16600.0,704.0,3123.0,1271.0,-1982.0,141.0,-794.0,2884.0,-7409.0,112.0,346.0,-2566.0,-3734.0,-11293.0,40644.0,-11684.0,-4556.0,2809.0,-18533.0,5433.0,-432.0,-4280.0,-54.0,1278.0,-849.0,691.0,36.0,-2089.0
(European Golden-Plover+Atlantic Puffin)-(Eurasian Coot+Royal Penguin),(Pluvialis apricaria+Fratercula arctica)-(Fulica atra+Eudyptes schlegeli),(Aves+Aves)-(Aves+Aves),1.4999999999999991,-1446.000000000001,-5657.5,15634.0,876.0,221.5,2805.500000000001,1876.0,3475.4999999999995,6501.499999999998,1480.4999999999964,-4.500000000001819,-1023.5,-312.5,-830.0,1309.0,-4106.5,-45.5,-102.5,-750.0000000000146,20794.5,659.5,-20322.0,3756.0,-3241.0,1040.0000000000018,-9714.5,274.0,-3446.0,2040.5000000000005,635.5,-86.5,1142.5,-147.99999999999818,223.00000000000182,-50.49999999999818
(Kakapo+Steller'S Sea Eagle)-(European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin),(Strigops habroptila+Haliaeetus pelagicus)-(Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli),(Aves+Aves)-(Aves+Aves+Aves+Aves),0.4968612134938031,645.5257901919767,6297.588456439218,8905.785474508062,381.1669486803803,-1727.7134941407476,2347.879422971242,-9468.925575657087,-1376.0225683348613,7406.14545301997,444.6520177183811,-1244.7405836404814,-704.1083013406032,-9245.096086144538,3931.2367952000986,-12390.739114357742,-6757.157048808196,705.8452098573543,-4141.53551625541,-12952.4306067469,-1077.2629973354287,-3069.1300198005583,-19919.47572041402,-1938.8595214115194,-36982.71812862228,-2014.1762253109664,-6711.9221723236915,403.92664833153685,-8473.289161133092,12324.480204089401,852.9202007835447,-1015.0689966448081,-1694.140709055555,-2107.6903063980535,-2125.466632927253,-1170.6443275209585
