Common Name,Species,Class,Cervical,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Western European Hedgehog)-(Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox),(Erinaceus europaeus)-(Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-8.881784197001252e-16,-2098.4418149896255,-11099.983317793743,-6227.723887920152,1273.2344340735144,-1145.7669050215845,-178.42057990019202,-1823.8948395413972,-2236.589749487417,-615.0657573993485,-1184.1192606749864,6192.360892714334,-3840.0692224977392,29919.26206863145,813.514705107882,-385.74821393201546,-3888.8289015701157,280.5236433814954,7234.128817424696,41472.00289376579,18485.229806474734,7581.966688425253,10618.192458782987,2575.2399800101684,4380.93763623439,4273.885720878168,1752.857650732407,4098.235965971009,666.722424683714,-8828.441063315066,-1733.326729511089,-10251.336749101696,-3889.5281396325536,-1185.6081510666463,-3269.936277381532,-1913.4476281581783
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),0.0,-623.0,-3716.0,-932.0,-261.0,-145.0,-3774.0,-3197.0,-416.0,-150.0,-28.0,6686.0,43745.0,44302.0,5559.0,11970.0,13033.0,7970.0,9721.0,7833.0,-18413.0,-32406.0,-19300.0,-6624.0,-8309.0,-9847.0,-8624.0,-9334.0,1432.0,2430.0,14733.0,14.0,2051.0,-3899.0,1996.0,45.0
(Gorilla)-(Human+Chimpanzee),(Gorilla gorilla)-(Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia),-8.881784197001252e-16,-298.7280315298958,-27776.74857971925,314.11472650744327,-22.98718495875437,-96.99288053264081,-1211.745731932304,-1569.2223383644869,-5725.807160700537,-65.40642813721388,-384.5158665856143,-1647.604143163915,-22625.87200758382,-22832.0028044343,-2761.6177732348497,-6246.967034650323,-274.8468139179331,-2884.805118309362,-3424.580747187616,-6458.936322674679,32611.869591396524,16258.315265236286,8384.706246345133,3400.5321334606288,4281.166590719258,4897.759347552357,3143.113091631112,7285.389331781631,597.2400339499382,14777.984135822868,5365.759371637159,-18.242066707192862,595.037227396173,3995.9155779533507,989.488203745861,39.72192844116444
(Common Marmoset)-(Gorilla+Human+Chimpanzee),(Callithrix jacchus)-(Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia),-8.881784197001252e-16,-5620.837018369581,-41169.65855599506,-48276.28196152013,-4998.76189897752,-5167.286839668733,-6791.158270067448,-7097.7224189811495,-12176.995988098477,-12505.002667415534,-10733.928207519744,-736.0576073132943,-17146.87120665388,-22738.244179017485,-1899.4543249276358,-3995.674176149226,-3949.5009899485067,-3133.562712777719,-5639.195557048332,-11715.796507864332,22286.674156927875,9615.756792130578,5455.486477435483,2219.7520302735593,2737.277427032657,3267.240656239368,3557.4427983169116,4431.527689259276,11755.535307273087,33272.11848540066,20958.78067840443,6853.28531869579,6256.120710058506,8111.095073854535,5614.429041413815,5896.508608204651
(Lemur)-(Common Marmoset+Gorilla+Human+Chimpanzee),(Lemur catta)-(Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),-8.881784197001252e-16,2685.2363035245,26714.019476522604,22222.254602665573,3685.67196284069,6684.6125825127065,4509.819043145813,5687.991794972906,2803.638487534774,5949.352395389757,4639.810929768868,-3600.347665505451,-6765.252567253392,-4299.2707383819015,-2623.0644691679718,-3771.280029297682,-830.6051739323593,-1495.5694433960382,-10146.57446163794,-25548.89746253223,9981.952650998031,-137.35942530536522,2641.400708823083,6701.230901540632,1096.7954049604414,1641.0066603580908,502.09008586271375,-163.80075326501537,10366.133794881916,3976.55141692538,2819.329117965528,1296.3815233586247,4128.257989553516,4530.552459336856,3027.3392868217998,1454.0820248650425
(Norway Rat)-(House Mouse),(Rattus norvegicus)-(Mus musculus),(Mammalia)-(Mammalia),0.0,1692.0,-100.0,-202.0,1652.0,3925.0,-1004.0,1867.0,12702.0,-10951.0,79643.0,-442.0,91.0,-13858.0,826.0,-29.0,34.0,1075.0,4689.0,-185.0,-19801.0,-37.0,3563.0,-8327.0,4717.0,-1092.0,-490.0,708.0,638.0,21833.0,-9939.0,702.0,193.0,10002.0,4189.0,304.0
(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee)-(Norway Rat+House Mouse),(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes)-(Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),8.881784197001252e-16,-1917.0947022539767,-14787.741570100428,-11648.421388017836,-1251.084520980512,-1730.8913515672712,-1886.0031696090991,-828.0885496196115,-12829.146145170967,1945.4541656595538,-41456.48708940312,-558.5532916677348,3884.233967731477,8799.674866202904,101.80995773944596,387.6065643269253,4024.3402118413796,313.3245510019948,-3736.869133863016,10992.326766425162,25406.125216357963,9838.149081484211,14385.18112615692,12195.773340201806,9739.463533657301,6630.768007964931,5637.899829034106,9114.77102154607,9778.691964420212,27177.053406385618,15316.750773188143,3729.2218420413255,3852.024218768867,7958.693840478514,4159.019211607755,3625.666541207116
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox)-(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus)-(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-8.881784197001252e-16,-3005.090232904169,-27974.39732820992,-7857.760356707133,-5188.941629416036,-5154.468383463002,-4612.752947140427,-3661.962882934482,-7309.619530645747,-1697.182865370105,-15830.968178446266,15.237227524492482,1811.3921419298567,16432.38359196207,47.469593328771225,-158.79332410810753,777.1615914765889,52.550952164428736,-1091.2022825824927,-3870.934821346338,1009.890082389802,3933.1442992269476,-1618.1496830750093,148.12433898032577,730.2497553373632,-364.3905924724568,-735.1470359324849,-899.96266171342,-490.4813564343276,11177.63857765071,3860.850017059074,-856.0412112230651,659.2440646436507,1258.64559522739,2475.5576025180844,581.1407371482019
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse)-(Linne'S Two-Toed Sloth),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus)-(Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),8.881784197001252e-16,-2819.957601838426,-1947.1412605486184,-12687.157578546537,-3539.389492260887,-1684.4230594668225,-21025.807728579413,-980.097512818702,-255.27977622045728,-3497.6567053035833,3881.933389399226,1783.217678578514,3492.1527672361444,21753.148534526696,-185.33038204228433,486.86090040869476,2921.27854341882,-432.73627803081195,-6106.906393536254,-25062.742045818726,-14140.761318096529,-7426.402285071854,-7177.837501329932,-1789.745653636297,-3786.072920098555,-2632.309793952656,-1575.93766865191,-3742.5048855341192,7543.703031230922,17486.64962707807,4167.857254561652,1632.5828409559117,2172.8413090179083,489.1200536356773,1434.3997614483587,1264.0258451891732
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),0.0,3203.0,22293.0,37742.0,14627.0,7037.0,6323.0,7577.0,7605.0,8695.0,6891.0,-2981.0,-5286.0,-6851.0,-3827.0,-12134.0,-13214.0,-6001.0,-20443.0,-9406.0,111.0,1174.0,253.0,645.0,-8.0,-128.0,87.0,161.0,5617.0,26492.0,4937.0,1079.0,617.0,252.0,278.0,2393.0
