Common Name,Species,Class,Cervical,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Cattle)-(Sheep),(Bos taurus)-(Ovis aries),(Mammalia)-(Mammalia),0.0,209.83585772413673,-2.58493447921038,1887.9144996397692,3503.194439207526,1285.1686010756548,5.16986895842076,230.66738852718507,-2.4328795098450633,-6.386308713343292,844.0571349468717,6.234253743977975,242.9838410457757,-3493.7670311068764,3.953429203498228,-4.561649080959494,81.65351854917495,2258.168350044315,1461.096200631326,1492.875689228677,0.15205496936531646,-119.66726089050405,9.275353131284305,787.1885764042433,-58.08499829755089,-82.26173842663621,-124.68507487955951,-6.690418652073925,96.85901548570659,746.5898995837039,-420.5840452644653,208.31530803048355,-1072.8998638416729,-228.23450901734,-2081.1763657030865,-261.68660227770965
(Cattle+Sheep)-(Narwhal),(Bos taurus+Ovis aries)-(Monodon monoceros),(Mammalia+Mammalia)-(Mammalia),0.0,-526.8969190074555,-624.1574201889727,-4138.969233605015,-1842.282913640661,-1083.2015837262486,-1026.9262962520609,-709.2542524633086,-753.0727705747204,-1270.10197424382,-1383.0921998755875,-15.094673463128476,26.085940547930765,3884.7045883765886,108.25176826631962,1033.374506275145,149.92088303670323,-728.5988825325607,-595.726675996284,-666.8035364780055,503.49773263580977,1287.932251959166,4225.873518688852,911.9820675829952,886.8242784777811,819.3623236150613,429.9783683574659,917.111325555903,-2992.7999020018324,1150.614688513036,-1358.325211377833,162.76845300693896,291.43955301302424,-393.3896614840569,390.45865692810975,-194.8629528945613
(Two-Humped Camel)-(Cattle+Sheep+Narwhal),(Camelus ferus)-(Bos taurus+Ovis aries+Monodon monoceros),(Mammalia)-(Mammalia+Mammalia+Mammalia),0.0,-215.33363301459093,-366.6836141553704,-2568.1426328384,397.720150925305,-91.83196341385862,-129.44056936357507,-324.41135359979324,-382.7129568308495,-627.4941819945118,-12.361065852381056,-20.478511431876466,77.18280869936002,-935.3756995736088,60.05756404603914,668.3479116868908,-71.34025407883112,417.4303843593136,-2888.086329326686,-1161.972061831111,-6130.868534921989,-786.9574450885207,204.6163945406496,-476.21743846318685,-451.02040971891466,-472.55348638540573,-479.0378776522768,-559.9522974389903,-2679.0294488753925,-2222.221413573023,-2737.6866054882826,-688.9828850171257,-819.6876422961815,-1500.566214966391,-1019.19787874668,-492.0122777732273
(Ermine)-(American Black Bear),(Mustela erminea)-(Ursus americanus),(Mammalia)-(Mammalia),0.0,-355.33761135835647,-14.959233403085067,1278.121367402395,1087.7818677586633,-332.0056726923507,-311.7995439911686,40.188985262019585,132.06547101380326,-43.538067367187885,-44.76606413908293,-255.64660069451347,-6520.3279505521605,-4935.430662316349,-1099.1687469162357,-2608.71168778576,-745.6173126806356,-750.5292997682158,-963.5309216569195,-962.3029248850245,-7306.580792775505,-4607.667160290545,-1710.1529589691056,-826.106919274847,-951.2509539379691,-842.7406937305162,-637.4419606836996,-1046.3648857247488,78.3685212609382,-445.20464784703915,-149.81560617119524,102.81682062866678,40.188985262019585,504.7066732488626,-141.10799269775765,-161.425757469112
(Fox)-(Ermine+American Black Bear),(Vulpes vulpes)-(Mustela erminea+Ursus americanus),(Mammalia)-(Mammalia+Mammalia),0.0,286.86694973307544,192.23966246420457,789.1975459982361,1890.3964820703645,176.12018766130544,447.9422942450083,203.82180361888024,375.822569941667,184.35903033834276,417.8526079462633,191.88145191302903,-2942.6399761485036,2504.130559751117,272.7176329616415,-851.3470766271919,298.2102838536341,264.41908852607514,389.19576385222035,-111.16467438147656,3284.0743331773183,-2211.830749991879,367.7031307816882,-1082.034671584237,-457.85278616086487,-402.9271683139495,-250.03096472052445,-393.1360799151513,994.7507006144648,865.5560951571548,741.8540514845361,707.1673297790381,662.570116157684,1408.1853784295631,465.6737165281974,433.31536340534063
(Tiger)-(Lion),(Panthera tigris)-(Panthera leo),(Mammalia)-(Mammalia),0.0,-1.7225846581070712,-7.751630961481821,-1.435487215089226,3.4451693162141424,-2.2967795441427614,-0.8612923290535356,88.42601244949633,-0.8612923290535356,-8.900020733553202,-0.2870974430178452,0.0,4.306461645267678,-0.8612923290535356,4.306461645267678,2.0096821011249166,-0.8612923290535356,2.2967795441427614,-7.17743607544613,-34.73879060515927,2.5838769871606067,-4.306461645267678,21.245210783320545,-9.761313062606737,-6.890338632428285,-0.8612923290535356,0.8612923290535356,1.435487215089226,102.20668971435289,-4.019364202249833,92.732474094764,-2.0096821011249166,-2.5838769871606067,-1.435487215089226,-2.2967795441427614,3.4451693162141424
(Cat)-(Tiger+Lion),(Felis catus)-(Panthera tigris+Panthera leo),(Mammalia)-(Mammalia+Mammalia),0.0,405.6211615897732,903.3308016960349,210.7641378013071,-1232.6415894600711,1.889743827700795,274.83032821166927,197.01185450785002,1593.0708522466095,327.0011090443547,291.5533048162713,-67.88838206109128,-360.9622022058098,-6314.8090726392575,24.929653720393322,-410.21206197018074,1263.008257883804,-195.50562292956332,-957.1493125070402,446.74354450382197,-10726.145498472924,-241.99382267888265,-724.7252158913521,-131.76505968701815,-182.36372146242,-251.75126685429535,-316.367298814837,-296.0712494701784,-9.952340976499773,-1810.6973150194328,-3028.884734085262,-220.43527664995685,-2932.595001535386,-1034.4517121087094,-352.7377256229995,-181.0416186519159
(Fox+Ermine+American Black Bear)-(Cat+Tiger+Lion),(Vulpes vulpes+Mustela erminea+Ursus americanus)-(Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),0.0,-685.5117415219127,-2242.296022665913,-1019.4893692303984,-2211.6607640058837,-686.520023453589,-920.2815501707349,-729.3531711898441,-1147.6663636702558,-760.1832216679143,-661.8814150194597,396.1998327435766,2441.386594736384,3062.9162342411214,332.1501932345591,1108.9667518000922,989.8647907919468,414.1241673630036,570.6990646261135,442.7365907252,261.2241490546921,1479.7934528465867,-44.93023152900783,59.75987881176548,256.1886270510457,310.5440837222006,174.51473136580378,350.4019907506111,178.4406640311632,808.5470766140195,817.4896655638695,209.54005817533195,865.6531040162207,-18.899645861551697,154.6183538416928,142.23798007039025
(Two-Humped Camel+Cattle+Sheep+Narwhal)-(Fox+Ermine+American Black Bear+Cat+Tiger+Lion),(Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros)-(Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.0,46.350697286452736,-635.287130643896,-2896.5854885937647,0.6377752514481204,-280.6220882803827,-151.92524913452908,-169.75452276372522,-55.123375398125475,-531.21704498217,-419.7349492482777,-244.82890580540032,-1783.3273227569457,-1876.7232167992563,-291.54352176182243,-1170.1888688813785,-828.9908072935381,-659.4092991583468,-1944.29856465208,-756.8233608934067,11.032088294423634,-435.14214299392825,-1460.5535258988418,321.9279070225587,77.72361874871396,57.34551309484457,28.715760820319396,101.09715033418105,1319.7268922426845,1566.1989385833858,608.0448872051669,420.1309167844781,706.2272259838969,684.4998809369473,655.6380907370107,345.185099354232
(Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion)-(Flying Fox),(Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo)-(Pteropus vampyrus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),0.0,-432.1489184153015,-3057.7417998761944,-1892.5320792325676,-810.8842626620416,-532.8049008663777,-657.3052206352157,-674.8455485488117,-543.1357133126634,-636.8584576252936,-865.3996400617295,152.19418920270218,649.5725325075919,1185.9521858950056,452.6311242505209,37.05395370789277,-147.4839388939786,88.31105726406552,482.0966932395136,457.22116722045905,-2255.210920320232,-933.2959624491473,-1266.089094053334,-454.86313533444303,-613.350381008325,-472.54426290367473,-398.74666241530775,-656.0049044590621,42.274772567904456,-1574.6371277841138,-1705.268265148228,-380.745132933924,-778.2284909688234,-552.5619440597917,-200.01885927563404,-69.33781135114606
