Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Gorilla,Gorilla gorilla,Mammalia,5.0,9692.0,26246.0,24511.0,15259.0,6695.0,11889.0,11795.0,11898.0,14634.0,18563.0,11708.0,3844.0,-14737.0,12827.0,1704.0,8700.0,1328.0,5895.0,97354.0,23027.0,17966.0,21820.0,12246.0,18174.0,17154.0,21476.0,20150.0,15476.0,12908.0,17109.0,4743.0,2387.0,6977.0,4817.0,3869.0,0,1,0,0
Human,Homo sapiens,Mammalia,5.0,9690.0,52229.0,23747.0,15156.0,6722.0,11279.0,11821.0,17423.0,14627.0,18934.0,16583.0,47586.0,29480.0,18272.0,13729.0,15266.0,8060.0,14012.0,107594.0,-18473.0,-13935.0,4119.0,5648.0,9882.0,7503.0,14170.0,8359.0,15570.0,-697.0,18855.0,4768.0,2782.0,1099.0,4791.0,3851.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,10313.0,55945.0,24679.0,15417.0,6867.0,15053.0,15018.0,17839.0,14777.0,18962.0,9897.0,3841.0,-14822.0,12713.0,1759.0,2233.0,90.0,4291.0,99761.0,-60.0,18471.0,23419.0,12272.0,18191.0,17350.0,22794.0,17693.0,14138.0,-3127.0,4122.0,4754.0,731.0,4998.0,2795.0,3806.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,10121.0,26814.0,23127.0,15438.0,6399.0,30373.0,10979.0,11574.0,13122.0,17180.0,9375.0,3825.0,-27778.0,12823.0,1603.0,2820.0,1465.0,8112.0,104619.0,22386.0,18203.0,21277.0,11447.0,17953.0,16307.0,20503.0,17510.0,13555.0,-6.0,17280.0,5047.0,3464.0,7493.0,6570.0,4987.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,8521.0,27328.0,24676.0,25262.0,7143.0,12830.0,14230.0,13330.0,16314.0,22121.0,16957.0,5679.0,25892.0,13664.0,2457.0,2481.0,2452.0,7843.0,56347.0,20812.0,3410.0,16527.0,7215.0,11285.0,11825.0,18484.0,11859.0,17122.0,16424.0,19815.0,6711.0,3510.0,7807.0,6901.0,8812.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,5318.0,5035.0,-13066.0,10635.0,106.0,6507.0,6653.0,5725.0,7619.0,15230.0,19938.0,10965.0,32743.0,17491.0,14591.0,15695.0,8453.0,28286.0,65753.0,20701.0,2236.0,16274.0,6570.0,11293.0,11953.0,18397.0,11698.0,11505.0,-10068.0,14878.0,5632.0,2893.0,7555.0,6623.0,6419.0,0,1,0,0
Mute Swan,Cygnus olor,Aves,20.0,8812.0,50890.0,22507.0,16080.0,6872.0,11788.0,12392.0,13959.0,15477.0,20451.0,6130.0,3777.0,2166.0,14222.0,2292.0,9042.0,1189.0,5313.0,40031.0,21888.0,19604.0,22928.0,13670.0,18126.0,17203.0,23515.0,16734.0,36787.0,17711.0,18235.0,8507.0,8180.0,12487.0,8753.0,8383.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,2.0,13111.0,51155.0,22262.0,15652.0,6297.0,10569.0,27291.0,11632.0,15911.0,18631.0,16910.0,67089.0,30876.0,21092.0,9145.0,17518.0,8875.0,16011.0,83268.0,-49335.0,135.0,14475.0,6602.0,11317.0,10380.0,21682.0,8976.0,46225.0,26130.0,22778.0,8727.0,8584.0,14419.0,8450.0,14730.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,13648.0,50275.0,25119.0,17359.0,6775.0,23014.0,11373.0,17086.0,17032.0,21546.0,7667.0,3472.0,-18004.0,13518.0,305.0,9510.0,117.0,6261.0,50347.0,56180.0,8425.0,22527.0,15778.0,18208.0,17289.0,21965.0,15290.0,22083.0,37962.0,22623.0,8977.0,8266.0,17404.0,22521.0,9147.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,3859.0,3266.0,-23377.0,10870.0,333.0,1069.0,5818.0,5977.0,7568.0,14194.0,10013.0,517.0,-31113.0,12917.0,1632.0,6903.0,-36.0,6006.0,69292.0,19616.0,1859.0,9021.0,3033.0,8383.0,9342.0,17392.0,8051.0,8231.0,-19636.0,14085.0,5540.0,2727.0,5965.0,6390.0,4879.0,0,0,1,0
