Common Name,Species,Class,Thoracic,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,12.482709520914762,9990.728031529896,54022.74857971925,24196.885273492557,15281.987184958754,6791.992880532641,13100.745731932304,13364.222338364487,17623.807160700537,14699.406428137214,18947.515866585614,13355.604143163915,26469.87200758382,8095.002804434302,15588.61777323485,7950.967034650323,8974.846813917933,4212.805118309362,9319.580747187616,103812.93632267468,-9584.869591396524,1707.6847347637135,13435.293753654867,8845.467866539371,13892.833409280742,12256.240652447643,18332.886908368888,12864.610668218369,14878.759966050062,-1869.984135822867,11743.24062836284,4761.242066707193,1791.962772603827,2981.0844220466493,3827.511796254139,3829.2780715588356,67,2,0,0
Gorilla+Human+Chimpanzee,Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,12.309986159506526,9883.83701836958,44083.65855599506,24309.28196152013,15273.76189897752,6757.286839668733,12667.158270067448,12802.72241898115,15574.995988098477,14676.002667415534,18809.928207519744,12766.057607313294,18373.87120665388,-74.75582098251543,14600.454324927636,5715.674176149226,8876.500989948507,3180.562712777719,8094.195557048332,101501.79650786433,2084.3258430721244,7525.243207869421,16435.513522564517,10062.24796972644,15424.722572967343,14008.759343760632,19457.55720168309,15471.472310740724,15092.464692726913,3417.8815145993444,13663.219321595572,4754.71468130421,2004.8792899414939,4410.904926145465,4181.570958586185,3843.4913917953486,66,3,0,0
Common Marmoset+Gorilla+Human+Chimpanzee,Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,12.63125802840995,7266.7636964755,24914.980523477396,1831.7453973344263,12946.32803715931,4351.3874174872935,9505.180956854187,9498.008205027094,9905.361512465226,8853.647604610243,13812.189070231132,12423.347665505451,10390.252567253392,-10661.729261618098,13716.064469167972,3855.280029297682,7037.605173932359,1721.5694433960382,5468.57446163794,96046.89746253223,12461.047349001969,12002.359425305365,18975.599291176917,11095.769098459368,16699.20459503956,15529.99333964191,21113.909914137286,17534.800753265015,20565.866205118084,18909.44858307462,23421.670882034472,7945.618476641375,4917.742010446484,8187.447540663144,6795.6607131782,6588.9179751349575,106,4,0,0
Lemur+Common Marmoset+Gorilla+Human+Chimpanzee,Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.373710286906888,8362.316567488886,35814.066274477416,10898.230458029408,14450.04988659349,7078.650748752315,11345.147589952463,11818.658992112021,11049.221436551166,11280.931225379354,15705.191253463829,10954.437381366339,7630.088829165637,-12415.794032199343,12645.877161526445,2316.6308392545,6698.725544684912,1111.3902217901616,1328.8610338818346,85623.17127889418,16533.59652121704,11946.317983978013,20053.267623848304,13829.812558198953,17146.687504920355,16199.509670754998,21318.758267465546,17467.97148193493,24795.15791601356,20531.846699704733,24571.932445780152,8474.530773104854,6602.035078733626,10035.873225802463,8030.78860224183,7182.170693690467,104,5,0,0
Norway Rat+House Mouse,Rattus norvegicus+Mus musculus,Mammalia+Mammalia,12.759039222889225,10279.411269742863,50601.807844577845,22546.651846047243,15701.134407574002,8809.542100319586,13231.150759561562,12646.747541731633,23878.367581722134,9335.4770597198,57161.678342866944,11512.990673034074,3745.8548614341603,-21215.468898402247,12544.067203786999,1929.0242749275749,2674.3853328435325,798.0656707881668,5065.73016774485,74630.84451246902,-8872.528695140922,2108.1689024938023,5668.086497691384,1634.0392179971482,7407.2239712630535,9568.741662790067,15680.85843843144,8353.200460388858,15016.465951593347,-6645.206706680886,9255.181672592009,4745.308931063529,2750.0108599647588,2077.1793853239487,3871.7693906340746,3556.5041524833505,97,2,0,0
Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse,Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.508238605365026,9031.624015064155,40976.850123418124,14964.996266901033,14886.835918318417,7682.949780607926,12003.60017765499,12107.766167078687,15528.208860020106,10601.722754112207,30178.72536037181,11149.442812001225,6274.002079945095,-15487.988596852756,12610.332666581975,2181.307341709982,5293.72407438966,1002.0005003292183,2633.4989002157417,81785.46510699812,7663.659735441346,8511.56515572632,15031.028059399023,9571.951996621125,13746.388359134604,13884.53670376653,19350.42131477391,14285.768682828852,21381.16310833096,11043.632984097183,19224.4577732478,7172.562774547442,5257.193587684137,7257.286933669462,6578.767202534828,5916.356534587489,103,7,0,0
Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse,Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.083824804417004,7301.042398161574,24866.85873945138,10439.842421453463,11898.610507739113,4714.576940533178,9347.192271420585,9998.902487181298,11318.720223779543,9624.343294696417,21061.933389399226,11158.217678578514,7317.152767236144,-6024.851465473304,12637.669617957716,2089.8609004086948,5741.27854341882,1032.263721969188,2005.093606463746,79556.25795418127,8245.238681903471,10776.597714928146,14099.162498670068,9657.254346363703,14166.927079901445,13674.690206047344,18927.06233134809,13767.49511446588,21098.70303123092,17480.64962707807,21447.85725456165,6679.582840955912,5636.841309017908,7982.120053635677,8004.399761448359,6251.025845189173,31,19,0,0
Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse+Linne'S Two-Toed Sloth,Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus+Choloepus didactylus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,14.754050482455538,7776.020452166558,25194.82443872475,12576.797038637773,12494.765688336074,4998.291839787366,12888.662977325124,10163.984688796761,11361.718136676165,10213.469235589824,20408.082010260845,10857.86236036865,6728.9538792143585,-9688.83143193624,12668.885641969233,2007.8567444254709,5249.234550681128,1105.151426061773,3033.7071263625608,83777.68753780022,10627.030269351344,12027.4598212669,15308.157728287364,9958.709200569258,14804.632252041978,14118.061901655385,19192.50455168553,14397.861927951395,19828.083436301684,14535.295127591373,20745.846441756647,6404.5996212459295,5270.85994250866,7899.735378384095,7762.797402989569,6038.120326408129,111,20,0,0
Short-Beaked Echidna+Platypus,Tachyglossus aculeatus+Ornithorhynchus anatinus,Mammalia+Mammalia,16.5,6919.499999999999,16181.499999999998,5804.999999999999,17948.5,3624.5,9668.5,10441.5,9527.5,11966.499999999998,18675.5,18447.5,8322.0,29317.5,15577.500000000002,8524.0,9088.0,5452.5,18064.500000000004,61050.00000000001,20756.5,2823.0,16400.5,6892.499999999999,11289.0,11888.999999999998,18440.5,11778.500000000002,14313.5,3178.0000000000005,17346.5,6171.499999999999,3201.5,7681.0,6761.999999999999,7615.5,29,2,0,0
Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse+Linne'S Two-Toed Sloth+Short-Beaked Echidna+Platypus,Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus+Choloepus didactylus+Tachyglossus aculeatus+Ornithorhynchus anatinus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.424071700083399,7447.324306878848,21735.893607893613,9978.069153459235,14587.677119852788,4471.088921253895,11652.901291579486,10270.483270144223,10657.823174661855,10886.207934794103,19743.190673776066,13770.44270794478,7340.297271941607,5280.140705344457,13785.088209222453,4508.4755735872495,6722.389573031242,2773.4790355905225,8801.886585108128,75055.76704415421,14514.290224266344,8495.179354346186,15727.35226490182,8782.028430923328,13455.482016840546,13262.64268448608,18903.917166816198,13392.662149413496,17711.820696988445,10176.847970969086,19441.321758105983,6315.145893926569,4476.7275495285985,7815.794036958988,7378.733896105961,6643.451602565456,28,22,0,0
