Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Gorilla)-(Human+Chimpanzee),(Gorilla gorilla)-(Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia),-0.48270952091476005,-298.7280315298958,-27776.74857971925,314.11472650744327,-22.98718495875437,-96.99288053264081,-1211.745731932304,-1569.2223383644869,-5725.807160700537,-65.40642813721388,-384.5158665856143,-1647.604143163915,-22625.87200758382,-22832.0028044343,-2761.6177732348497,-6246.967034650323,-274.8468139179331,-2884.805118309362,-3424.580747187616,-6458.936322674679,32611.869591396524,16258.315265236286,8384.706246345133,3400.5321334606288,4281.166590719258,4897.759347552357,3143.113091631112,7285.389331781631,597.2400339499382,14777.984135822868,5365.759371637159,-18.242066707192862,595.037227396173,3995.9155779533507,989.488203745861,39.72192844116444
(Common Marmoset)-(Gorilla+Human+Chimpanzee),(Callithrix jacchus)-(Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia),-2.309986159506523,-5620.837018369581,-41169.65855599506,-48276.28196152013,-4998.76189897752,-5167.286839668733,-6791.158270067448,-7097.7224189811495,-12176.995988098477,-12505.002667415534,-10733.928207519744,-736.0576073132943,-17146.87120665388,-22738.244179017485,-1899.4543249276358,-3995.674176149226,-3949.5009899485067,-3133.562712777719,-5639.195557048332,-11715.796507864332,22286.674156927875,9615.756792130578,5455.486477435483,2219.7520302735593,2737.277427032657,3267.240656239368,3557.4427983169116,4431.527689259276,11755.535307273087,33272.11848540066,20958.78067840443,6853.28531869579,6256.120710058506,8111.095073854535,5614.429041413815,5896.508608204651
(Lemur)-(Common Marmoset+Gorilla+Human+Chimpanzee),(Lemur catta)-(Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),-1.2344518338834929,2685.2363035245,26714.019476522604,22222.254602665573,3685.67196284069,6684.6125825127065,4509.819043145813,5687.991794972906,2803.638487534774,5949.352395389757,4639.810929768868,-3600.347665505451,-6765.252567253392,-4299.2707383819015,-2623.0644691679718,-3771.280029297682,-830.6051739323593,-1495.5694433960382,-10146.57446163794,-25548.89746253223,9981.952650998031,-137.35942530536522,2641.400708823083,6701.230901540632,1096.7954049604414,1641.0066603580908,502.09008586271375,-163.80075326501537,10366.133794881916,3976.55141692538,2819.329117965528,1296.3815233586247,4128.257989553516,4530.552459336856,3027.3392868217998,1454.0820248650425
(Norway Rat)-(House Mouse),(Rattus norvegicus)-(Mus musculus),(Mammalia)-(Mammalia),-0.5,1692.0,-100.0,-202.0,1652.0,3925.0,-1004.0,1867.0,12702.0,-10951.0,79643.0,-442.0,91.0,-13858.0,826.0,-29.0,34.0,1075.0,4689.0,-185.0,-19801.0,-37.0,3563.0,-8327.0,4717.0,-1092.0,-490.0,708.0,638.0,21833.0,-9939.0,702.0,193.0,10002.0,4189.0,304.0
(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee)-(Norway Rat+House Mouse),(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes)-(Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),-0.02823291508613668,-1917.0947022539767,-14787.741570100428,-11648.421388017836,-1251.084520980512,-1730.8913515672712,-1886.0031696090991,-828.0885496196115,-12829.146145170967,1945.4541656595538,-41456.48708940312,-558.5532916677348,3884.233967731477,8799.674866202904,101.80995773944596,387.6065643269253,4024.3402118413796,313.3245510019948,-3736.869133863016,10992.326766425162,25406.125216357963,9838.149081484211,14385.18112615692,12195.773340201806,9739.463533657301,6630.768007964931,5637.899829034106,9114.77102154607,9778.691964420212,27177.053406385618,15316.750773188143,3729.2218420413255,3852.024218768867,7958.693840478514,4159.019211607755,3625.666541207116
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox)-(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus)-(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.16126304646728773,-3421.942618357897,-27772.12641002117,-10235.575811494273,-5136.707646530533,-5868.051326593662,-5194.053820496109,-4026.038109597859,-7641.679721186339,-2539.4518971819552,-16499.845287604934,-28.06651037539632,-1525.2040386751733,17605.84320791603,-285.03329267255685,-342.45969298174373,623.9778744893474,-530.8013259506538,-2547.8816082433077,-4706.13446280612,-2439.935956582688,2400.391923123889,1529.0251933613126,125.22147490937095,842.1054892294487,-280.5346324286711,-840.7857942602823,-840.8800274887635,-3626.912155378548,11020.11124612366,2040.3239207766783,-939.3023660661447,582.8355351391883,906.6908094886257,2311.8335765754064,205.61366557337897
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse)-(Linne'S Two-Toed Sloth),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus)-(Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-4.167891887249063,-3029.80450500393,-1585.4636734980522,-13966.134730910231,-3463.9581078311985,-2043.556089963863,-21314.712263877344,-1154.2175185137894,-379.041263072706,-3960.2852869920935,3642.41114253036,1758.5275664038727,1584.1280169812499,22273.48689955435,-374.2967912889908,384.11397573401473,2827.553638057685,-763.992866958415,-6923.289247858098,-25502.170387330087,-16105.917327450676,-8330.281409969211,-5378.931074052292,-1804.0405820575506,-3729.091796014567,-2581.541767833509,-1629.3501908902217,-3701.0562582269467,5769.505656413956,17298.638458818703,3101.432967633751,1592.9269874059191,2123.6931959551666,278.4301855687663,1319.703213434571,1045.9507225361413
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),1.0,3203.0,22293.0,37742.0,14627.0,7037.0,6323.0,7577.0,7605.0,8695.0,6891.0,-2981.0,-5286.0,-6851.0,-3827.0,-12134.0,-13214.0,-6001.0,-20443.0,-9406.0,111.0,1174.0,253.0,645.0,-8.0,-128.0,87.0,161.0,5617.0,26492.0,4937.0,1079.0,617.0,252.0,278.0,2393.0
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),2.043115175486749,688.5544875138503,9317.50300367678,5738.369590561318,-5383.536187033835,1079.5572743861649,3025.8971578094843,-419.8177836364612,1732.1199667296987,-2129.1941522713187,1525.5466451330794,-7613.962345415559,-3183.110808501998,-38621.68135618569,-3064.9449281972466,-6602.412615893264,-3922.803069196131,-4621.16215325899,-15694.734727790159,22417.283931304257,-11728.88421444212,8470.794058707168,415.16901901167876,3058.2134648334204,3571.0596868653156,2276.8473975602737,711.103154525732,2661.8125993080757,4026.776846939705,11163.63722062405,2505.8547659329015,196.68713207689325,2023.9091199148133,42.93235362550513,902.5730203175799,-1760.97961373817
(Mute Swan)-(Eastern Spot-Billed Duck),(Cygnus olor)-(Anas zonorhyncha),(Aves)-(Aves),5.0,2091.0,10687.0,23424.0,-145.0,-582.0,3663.0,-9993.0,6427.0,-393.0,-58.0,-10624.0,-49244.0,-151.0,-6782.0,-16203.0,-3747.0,-4064.0,-5538.0,-7761.0,1168.0,14150.0,1711.0,1068.0,2534.0,1713.0,291.0,3136.0,10272.0,11312.0,355.0,-1390.0,-346.0,1639.0,-1129.0,838.0
