species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Melopsittacus undulatus,11.0,5.0,0.0,12.0,6.0
Arremon semitorquatus,11.0,7.0,0.0,9.0,6.0
Chlorophonia cyanocephala,12.0,6.0,0.0,9.0,6.0
Catharus minimus,12.0,7.0,0.0,11.0,7.0
Chloris sinica,11.0,6.0,0.0,10.0,7.0
Orthogonys chloricterus,12.0,7.0,0.0,10.0,6.0
Motacilla alba alba,12.0,5.0,0.0,11.0,6.0
Hemithraupis flavicollis,11.0,6.0,0.0,9.0,6.0
Trichothraupis melanops,12.0,6.0,0.0,9.0,6.0
Parkerthraustes humeralis,12.0,6.0,0.0,9.0,6.0
Neothraupis fasciata,12.0,6.0,0.0,10.0,6.0
Thraupis ornata,11.0,6.0,0.0,9.0,6.0
Tangara seledon,11.0,6.0,0.0,9.0,6.0
Saltator coerulescens,11.0,6.0,0.0,9.0,6.0
Cissa thalassina,12.0,6.0,0.0,9.0,6.0
Pica pica,12.0,6.0,0.0,7.0,6.0
Nucifraga caryocatactes,11.0,7.0,0.0,9.0,6.0
Coloeus monedula,12.0,6.0,0.0,10.0,7.0
Corvus frugilegus,11.0,6.0,0.0,9.0,7.0
Corvus corone,12.5,6.0,0.0,9.0,8.0
Corvus corax,11.5,7.0,0.0,10.0,8.0
Parus major,11.0,6.0,0.0,11.0,6.0
Alauda arvensis,11.0,5.5,0.0,9.0,6.25
Hirundo rustica,12.0,6.0,0.0,10.0,6.0
Heteralocha acutirostris,13.0,6.0,0.0,11.0,7.0
Pyrrhocorax graculus,12.0,6.0,0.0,10.0,6.0
