species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Megophrys feae,1.0,7.0,0.0,1.0,3.0
Pelobates fuscus,1.0,7.0,0.0,1.0,2.0
Ceratophrys ornata,1.0,7.0,0.0,1.0,3.0
Rhinella marina,1.0,7.0,0.0,1.0,3.0
Rhinella margaritifera,1.0,7.0,0.0,1.0,3.0
Anaxyrus woodhousii,1.0,7.0,0.0,1.0,3.0
Anaxyrus microscaphus,1.0,7.0,0.0,1.0,3.0
Anaxyrus cognatus,1.0,7.0,0.0,1.0,3.0
Bufo bufo,1.0,7.0,0.0,1.0,2.5
Osteopilus septentrionalis,1.0,7.0,0.0,1.0,3.0
Dryophytes gratiosus,1.0,7.0,0.0,1.0,3.0
Dryophytes japonicus,1.0,7.0,0.0,1.0,3.0
Boana boans,1.0,7.0,0.0,1.0,3.0
Agalychnis moreletii,1.0,7.0,0.0,1.0,3.0
Ischnocnema guentheri,1.0,7.0,0.0,1.0,3.0
Brachycephalus albolineatus,1.0,7.0,0.0,1.0,3.0
Pristimantis pulvinatus,1.0,7.0,0.0,1.0,3.0
Haddadus binotatus,1.0,7.0,0.0,1.0,3.0
Eleutherodactylus gossei,1.0,7.0,0.0,1.0,3.0
Pyxicephalus adspersus,1.0,7.0,0.0,1.0,3.0
Lithobates clamitans melanotus,1.0,7.0,0.0,1.0,3.0
Lithobates pipiens,1.0,7.0,0.0,1.0,3.0
Rana temporaria,1.0,7.0,0.0,1.0,3.0
Rana dalmatina,1.0,7.0,0.0,1.0,2.0
Sylvirana guentheri,1.0,7.0,0.0,1.0,3.0
Pelophylax lessonae,1.0,7.0,0.0,1.0,3.0
Boophis albilabris,1.0,7.0,0.0,1.0,3.0
Raorchestes signatus,1.0,7.0,0.0,1.0,3.0
Pseudophilautus microtympanum,1.0,7.0,0.0,1.0,3.0
Kurixalus idiootocus,1.0,7.0,0.0,1.0,3.0
Rhacophorus reinwardtii,1.0,7.0,0.0,1.0,3.0
Polypedates leucomystax,1.0,7.0,0.0,1.0,3.0
Polypedates cruciger,1.0,7.0,0.0,1.0,3.0
Taruga eques,1.0,7.0,0.0,1.0,3.0
Chiromantis rufescens,1.0,7.0,0.0,1.0,3.0
Theloderma stellatum,1.0,7.0,0.0,1.0,3.0
Nyctixalus pictus,1.0,7.0,0.0,1.0,3.0
Buergeria oxycephala,1.0,7.0,0.0,1.0,3.0
Hoplobatrachus tigerinus,1.0,7.0,0.0,1.0,3.0
Hypopachus ustum,1.0,7.0,0.0,1.0,3.0
Hamptophryne boliviana,1.0,7.0,0.0,1.0,3.0
Kaloula pulchra,1.0,7.0,0.0,1.0,3.0
Dyscophus guineti,1.0,7.0,0.0,1.0,3.0
Hemisus guineensis,1.0,7.0,0.0,1.0,3.0
Callulina kreffti,1.0,7.0,0.0,1.0,3.0
