species,Cervical,Lumbar+Sacral,treeSpecies
,7.0,10.0,Pongo_pygmaeus
,7.0,10.0,Homo_sapiens
,7.0,10.0,Pan_troglodytes
,7.0,13.0,Indri_indri
,7.0,14.0,Orycteropus_afer
,7.0,8.0,Loxodonta_africana
,7.0,6.0,Elephas_maximus
,7.0,13.0,Dasypus_novemcinctus
,9.0,9.0,Bradypus_tridactylus
,7.0,11.0,Choloepus_didactylus
,7.0,6.0,Tachyglossus_aculeatus
,7.0,4.0,Ornithorhynchus_anatinus
,18.25,15.0,Dromaius_novaehollandiae
,15.0,13.0,Apteryx_australis
,12.0,13.0,Callipepla_californica
,14.0,12.0,Gallus_gallus
,13.0,13.0,Pavo_muticus
,12.0,12.0,Argusianus_argus
,15.0,13.0,Lagopus_lagopus
,12.0,15.0,Lagopus_muta
,14.0,18.0,Tetrao_urogallus
,13.0,16.0,Lyrurus_tetrix_tetrix
,12.0,13.0,Perdix_perdix
,14.0,13.0,Lophura_nycthemera
,13.0,15.0,Chrysolophus_pictus
,13.0,14.0,Phasianus_colchicus
,15.0,14.0,Pternistis_capensis
,13.0,12.0,Coturnix_japonica
,15.0,17.0,Crax_rubra
,14.0,14.0,Penelope_montagnii
,16.0,15.0,Tadorna_tadorna
,16.0,17.0,Tadorna_ferruginea
,15.0,18.0,Dendrocygna_arcuata
,14.8,15.0,Biziura_lobata
,13.0,13.0,Oxyura_leucocephala
,23.0,21.0,Cygnus_cygnus
,22.0,19.0,Cygnus_atratus
,23.33333333,20.0,Cygnus_olor
,17.0,19.0,Anser_cygnoides
,17.0,18.0,Branta_bernicla
,17.5,17.0,Cereopsis_novaehollandiae
,20.0,19.0,Coscoroba_coscoroba
,15.0,15.0,Anas_zonorhyncha
,14.0,16.0,Melanitta_nigra
,15.0,15.0,Mergellus_albellus
,15.0,16.0,Bucephala_clangula
,15.0,16.0,Aythya_marila
,14.0,16.0,Mareca_strepera
,15.5,16.0,Anas_acuta
,15.0,16.0,Anas_platyrhynchos
,12.0,13.0,Chlamydotis_undulata_undulata
,16.0,13.0,Tachybaptus_ruficollis
,19.0,17.0,Podiceps_cristatus
,13.0,12.0,Columba_palumbus
,12.0,12.0,Ducula_badia
,12.0,13.0,Ptilinopus_magnificus
