name,species,class,C,T,L,S,Ca,node,Amphibia,Aves,Reptilia,Mammalia
Gunther'sWhippingFrog,Taruga eques,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
AfricanFoam-nestTreefrog,Chiromantis rufescens,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Taylor'sBug-eyedFrog,Theloderma stellatum,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
PaintedIndonesianTreefrog,Nyctixalus pictus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Red-headedFlyingFrog,Buergeria oxycephala,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
IndusValleyBullfrog,Hoplobatrachus tigerinus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Two-spadedNarrow-mouthedToad,Hypopachus ustum,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
BolivianBleatingFrog,Hamptophryne boliviana,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
MalaysianNarrowmouthToad,Kaloula pulchra,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
SambavaTomatoFrog,Dyscophus guineti,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
GuineaSnout-burrower,Hemisus guineensis,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Krefft'sSecretFrog,Callulina kreffti,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
SurinamToad,Pipa pipa,Amphibia,1.0,6.0,0.0,1.0,3.0,0,1,0,0,0
AfricanClawedFrog,Xenopus laevis,Amphibia,1.0,7.0,0.0,1.0,4.0,0,1,0,0,0
WesternClawedFrog,Xenopus tropicalis,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Yellow-belliedToad,Bombina variegata,Amphibia,1.0,7.0,0.0,1.0,2.0,0,1,0,0,0
EuropeanFire-belliedToad,Bombina bombina,Amphibia,1.0,7.0,0.0,1.0,2.0,0,1,0,0,0
PaintedFrog,Discoglossus pictus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
CongoCaecilian,Herpele squalostoma,Amphibia,1.0,121.0,0.0,0.0,2.0,0,1,0,0,0
RingedCaecilian,Siphonops annulatus,Amphibia,1.0,162.0,0.0,0.0,5.0,0,1,0,0,0
TinyWhiteCaecilian,Microcaecilia dermatophaga,Amphibia,1.0,111.33,0.0,0.0,4.0,0,1,0,0,0
MexicanBurrowingCaecilian,Dermophis mexicanus,Amphibia,1.0,104.5,0.0,0.0,2.0,0,1,0,0,0
Kaup'sCaecilian,Potomotyphlus kaupii,Amphibia,1.0,91.0,0.0,0.0,12.0,0,1,0,0,0
CeylonCaecilian,Ichthyophis glutinosus,Amphibia,1.0,108.0,0.0,0.0,4.0,0,1,0,0,0
Thylacine,Thylacinus cynocephalus,Mammalia,7.0,13.0,6.0,2.0,23.0,0,0,0,0,1
Numbat,Myrmecobius fasciatus,Mammalia,7.0,13.0,6.0,3.0,22.0,0,0,0,0,1
Yellow-footedAntechinus,Antechinus flavipes,Mammalia,7.0,13.0,6.0,3.0,23.0,0,0,0,0,1
Quoll,Dasyurus hallucatus,Mammalia,7.0,13.0,6.0,2.0,20.0,0,0,0,0,1
Long-nosedBandicoot,Perameles nasuta,Mammalia,7.0,13.0,6.0,2.0,19.0,0,0,0,0,1
Cuscus,Phalanger orientalis,Mammalia,7.0,13.0,6.0,2.0,25.0,0,0,0,0,1
Bennett'sKangaroo,Macropus rufogriseus,Mammalia,7.0,13.0,6.0,2.0,22.0,0,0,0,0,1
Potaroo,Hypsiprymnodon moschatus,Mammalia,7.0,13.0,6.0,2.0,24.0,0,0,0,0,1
Wonbat,Vombatus ursinus,Mammalia,7.0,15.0,4.0,4.0,10.0,0,0,0,0,1
GrayShort-tailedOpossum,Monodelphis domestica,Mammalia,7.0,14.0,6.0,2.0,19.5,0,0,0,0,1
VirginianOpossum,Didelphis virginiana,Mammalia,7.0,13.0,6.0,1.0,17.0,0,0,0,0,1
EuropeanPygmyShrew,Sorex minutus,Mammalia,7.0,14.0,6.0,3.0,15.0,0,0,0,0,1
WesternEuropeanHedgehog,Erinaceus europaeus,Mammalia,7.0,15.0,5.5,3.5,12.5,0,0,0,0,1
EuropeanMole,Talpa europaea,Mammalia,7.0,13.0,6.0,5.0,10.0,0,0,0,0,1
PalmCivet,Paradoxurus hermaphroditus,Mammalia,7.0,13.0,7.0,2.0,33.0,0,0,0,0,1
Genette,Genetta genetta,Mammalia,7.0,13.0,7.0,3.0,28.0,0,0,0,0,1
SpottedHyaena,Crocuta crocuta,Mammalia,7.0,15.0,7.0,4.0,19.0,0,0,0,0,1
EgyptianMangoose,Herpestes ichneumon,Mammalia,7.0,13.0,7.0,2.0,27.0,0,0,0,0,1
Cat,Felis catus,Mammalia,7.0,13.0,7.0,2.0,22.0,0,0,0,0,1
Lion,Panthera leo,Mammalia,7.0,13.0,7.0,3.0,23.0,0,0,0,0,1
Leopard,Panthera pardus,Mammalia,7.0,13.0,7.0,3.0,23.0,0,0,0,0,1
Fox,Vulpes vulpes,Mammalia,7.0,13.0,7.0,3.0,22.0,0,0,0,0,1
Walrus,Odobenus rosmarus,Mammalia,7.0,14.0,6.0,3.0,9.0,0,0,0,0,1
Harp-seal,Phoca groenlandica,Mammalia,7.0,15.0,5.0,4.0,8.0,0,0,0,0,1
AmericanBadger,Taxidea taxus,Mammalia,7.0,15.0,5.0,3.0,18.0,0,0,0,0,1
Sable,Martes zibellina,Mammalia,7.0,14.0,6.0,3.0,18.0,0,0,0,0,1
CommonWeasel,Mustela nivalis,Mammalia,7.0,14.0,6.0,2.0,18.0,0,0,0,0,1
Ermine,Mustela erminea,Mammalia,7.0,14.0,6.0,2.0,18.0,0,0,0,0,1
Ratel,Mellivora capensis,Mammalia,7.0,14.0,4.0,4.0,15.0,0,0,0,0,1
Kinkajou,Potos flavus,Mammalia,7.0,14.0,6.0,2.0,31.0,0,0,0,0,1
Horse,Equus caballus,Mammalia,7.0,19.0,5.0,5.0,17.0,0,0,0,0,1
MountainZebra,Equus zebra,Mammalia,7.0,18.0,6.0,5.0,17.0,0,0,0,0,1
SumatranRhinoceros,Dicerorhinus sumatrensis,Mammalia,7.0,19.0,3.0,4.0,22.0,0,0,0,0,1
Hippopotamus,Hippopotamus amphibius,Mammalia,7.0,15.0,4.0,6.0,13.0,0,0,0,0,1
Orca,Orcinus orca,Mammalia,7.0,11.0,11.0,0.0,24.0,0,0,0,0,1
SiberianMuskDeer,Moschus moschiferus,Mammalia,7.0,14.0,5.0,5.0,6.0,0,0,0,0,1
Four-hornedAntelope,Tetracerus quadricornis,Mammalia,7.0,13.0,6.0,4.0,12.0,0,0,0,0,1
Cattle,Bos taurus,Mammalia,7.0,13.0,6.0,5.0,21.0,0,0,0,0,1
EuropeanBison,Bison bonasus,Mammalia,7.0,14.0,5.0,4.0,17.0,0,0,0,0,1
Gazelle,Gazella dorcas,Mammalia,7.0,13.0,6.0,4.0,14.0,0,0,0,0,1
RoanAntelope,Hippotragus equinus,Mammalia,7.0,14.0,6.0,4.0,14.0,0,0,0,0,1
Gnu,Connochaetes gnou,Mammalia,7.0,14.0,6.0,4.0,15.0,0,0,0,0,1
Argali,Ovis ammon,Mammalia,7.0,13.0,6.0,4.0,10.0,0,0,0,0,1
AmericanElk,Alces alces,Mammalia,7.0,13.0,6.0,4.0,11.0,0,0,0,0,1
Reindeer,Rangifer tarandus,Mammalia,7.0,14.0,5.0,4.5,11.0,0,0,0,0,1
Giraffe,Giraffa camelopardalis,Mammalia,7.0,14.0,6.0,4.0,20.0,0,0,0,0,1
LargerMouseDeer,Tragulus napu,Mammalia,7.0,13.0,6.0,4.0,13.0,0,0,0,0,1
LesserMouseDeer,Tragulus javanicus,Mammalia,7.0,13.0,6.0,4.0,11.0,0,0,0,0,1
Worthog,Phacochoerus aethiopicus,Mammalia,7.0,13.0,5.0,2.0,23.0,0,0,0,0,1
WildBoar,Sus scrofa,Mammalia,7.0,14.25,5.75,4.0,21.5,0,0,0,0,1
White-lippedPeccari,Tayassu pecari,Mammalia,7.0,14.0,6.0,5.0,6.0,0,0,0,0,1
Alpaca,Vicugna pacos,Mammalia,7.0,12.0,7.0,5.0,12.0,0,0,0,0,1
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,12.0,7.0,4.0,10.0,0,0,0,0,1
Hare,Lepus timidus,Mammalia,7.0,12.0,7.0,3.0,16.0,0,0,0,0,1
RedSquirrel,Sciurus vulgaris,Mammalia,7.0,12.0,7.0,4.0,21.0,0,0,0,0,1
AlpineMarmot,Marmota marmota,Mammalia,7.0,12.0,7.0,3.0,23.0,0,0,0,0,1
BushRat,Rattus fuscipes,Mammalia,7.0,13.0,6.0,2.0,28.0,0,0,0,0,1
HouseMouse,Mus musculus,Mammalia,7.0,13.0,6.0,4.0,30.0,0,0,0,0,1
AustralianWaterRat,Hydromys chrysogaster,Mammalia,7.0,14.0,7.0,2.0,30.0,0,0,0,0,1
SpringHare,Pedetes capensis,Mammalia,7.0,12.0,7.0,3.0,29.0,0,0,0,0,1
CanadaBeaver,Castor canadensis,Mammalia,7.0,11.0,8.0,4.0,25.0,0,0,0,0,1
