species,Thoracic,Caudal,treeSpecies
,8.0,6.0,Chlamydotis_undulata_undulata
,5.0,6.0,Tachybaptus_ruficollis
,7.0,6.0,Podiceps_cristatus
,6.0,7.0,Columba_palumbus
,6.0,6.0,Ducula_badia
,6.0,6.0,Ptilinopus_magnificus
,6.0,6.0,Ptilinopus_melanospilus
,5.5,6.0,Goura_cristata
,6.5,6.0,Pterocles_orientalis
,6.0,6.0,Burhinus_oedicnemus
,7.0,7.5,Haematopus_ostralegus
,8.0,6.0,Vanellus_vanellus
,7.0,8.0,Pluvialis_squatarola
,6.0,8.0,Pluvialis_apricaria
,7.0,7.5,Fratercula_arctica
,6.666666667,8.0,Uria_aalge
,7.0,7.0,Chroicocephalus_ridibundus
,6.0,6.0,Sterna_paradisaea
,7.0,8.0,Sterna_hirundo
,6.0,8.0,Rynchops_niger
,8.0,8.0,Alca_torda
,6.0,8.0,Glareola_pratincola
,6.5,7.0,Numenius_arquata
,7.5,6.0,Limosa_lapponica
,8.0,7.0,Tringa_nebularia
,6.0,7.0,Arenaria_interpres
,6.0,7.0,Calidris_canutus
,8.0,8.0,Calidris_pugnax
,6.0,7.5,Scolopax_rusticola
,7.0,6.5,Gallinago_gallinago
,7.0,7.0,Jacana_spinosa
,7.0,6.0,Attagis_gayi
,7.0,6.0,Gavia_stellata
,5.5,6.0,Ciconia_ciconia
,5.0,7.0,Pelecanus_conspicillatus
,6.0,6.0,Plegadis_falcinellus
,6.0,6.0,Platalea_leucorodia
,7.0,6.0,Threskiornis_melanocephalus
,7.5,7.0,Diomedea_exulans
,8.0,7.0,Macronectes_giganteus
,6.0,6.0,Oceanites_oceanicus
,8.5,8.0,Aptenodytes_forsteri
,7.0,6.0,Eudyptes_schlegeli
,8.0,8.0,Spheniscus_humboldti
,7.5,7.0,Eudyptula_minor
,8.0,6.0,Psophia_viridis
,8.0,6.5,Fulica_atra
,8.5,7.5,Gallinula_chloropus
,5.0,6.0,Melopsittacus_undulatus
,7.0,6.0,Arremon_semitorquatus
,6.0,6.0,Chlorophonia_cyanocephala
,7.0,7.0,Catharus_minimus
,6.0,7.0,Chloris_sinica
,7.0,6.0,Orthogonys_chloricterus
,5.0,6.0,Motacilla_alba_alba
,6.0,6.0,Hemithraupis_flavicollis
,6.0,6.0,Trichothraupis_melanops
,6.0,6.0,Parkerthraustes_humeralis
,6.0,6.0,Neothraupis_fasciata
,6.0,6.0,Thraupis_ornata
,6.0,6.0,Tangara_seledon
,6.0,6.0,Saltator_coerulescens
,6.0,6.0,Cissa_thalassina
,6.0,6.0,Pica_pica
,7.0,6.0,Nucifraga_caryocatactes
,6.0,7.0,Coloeus_monedula
,6.0,7.0,Corvus_frugilegus
,6.0,8.0,Corvus_corone
,7.0,8.0,Corvus_corax
,6.0,6.0,Parus_major
,5.5,6.25,Alauda_arvensis
,6.0,6.0,Hirundo_rustica
,6.0,7.0,Heteralocha_acutirostris
,6.0,6.0,Pyrrhocorax_graculus
,6.0,6.0,Cariama_cristata
,6.0,8.0,Accipiter_gentilis
,5.0,6.0,Otus_sunia
,5.5,6.0,Upupa_epops
