name,species,class,C,T,L,S,Ca
(MoleSalamander+Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander+FireSalamander+IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt)-(Two-toedAmphiuma+Red-backedSalamander+BartonSpringsSalamander+AustinBlindSalamander+OlympicSalamander+Mudpuppy),(Ambystoma talpoideum+Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum+Salamandra salamandra+Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa)-(Amphiuma means+Plethodon cinereus+Eurycea sosorum+Eurycea waterlooensis+Rhyacotriton olympicus+Necturus maculosus),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.017880522394412734,-12.013377982145409,0.0,-0.372315553435159,1.525841959944998
(JapaneseGiantSalamander+HellbenderSalamander)-(MoleSalamander+Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander+FireSalamander+IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt+Two-toedAmphiuma+Red-backedSalamander+BartonSpringsSalamander+AustinBlindSalamander+OlympicSalamander+Mudpuppy),(Andrias japonicus+Cryptobranchus alleganiensis)-(Ambystoma talpoideum+Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum+Salamandra salamandra+Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa+Amphiuma means+Plethodon cinereus+Eurycea sosorum+Eurycea waterlooensis+Rhyacotriton olympicus+Necturus maculosus),(Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),-0.008331739823425499,-0.5288207963338074,0.0,-0.1988286577499565,-11.981225257737819
(Hochstetter'sFrog)-(TailedFrog),(Leiopelma hochstetteri)-(Ascaphus truei),(Amphibia)-(Amphibia),0.0,1.0,0.0,0.0,0.0
(KakhienHillsSpadefootToad)-(CommonSpadefootToad),(Megophrys feae)-(Pelobates fuscus),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,1.0
(MarineToad)-(GreatPlainsToad),(Rhinella marina)-(Rhinella margaritifera),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Woodhouse'sToad)-(ArizonaToad),(Anaxyrus woodhousii)-(Anaxyrus microscaphus),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Woodhouse'sToad+ArizonaToad)-(GreatPlainsToad),(Anaxyrus woodhousii+Anaxyrus microscaphus)-(Anaxyrus cognatus),(Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(MarineToad+GreatPlainsToad)-(Woodhouse'sToad+ArizonaToad+GreatPlainsToad),(Rhinella marina+Rhinella margaritifera)-(Anaxyrus woodhousii+Anaxyrus microscaphus+Anaxyrus cognatus),(Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia),0.0,0.0,0.0,0.0,4.440892098500626e-16
(MarineToad+GreatPlainsToad+Woodhouse'sToad+ArizonaToad+GreatPlainsToad)-(CommonToad),(Rhinella marina+Rhinella margaritifera+Anaxyrus woodhousii+Anaxyrus microscaphus+Anaxyrus cognatus)-(Bufo bufo),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.49999999999999956
(OrnateHornedFrog)-(MarineToad+GreatPlainsToad+Woodhouse'sToad+ArizonaToad+GreatPlainsToad+CommonToad),(Ceratophrys ornata)-(Rhinella marina+Rhinella margaritifera+Anaxyrus woodhousii+Anaxyrus microscaphus+Anaxyrus cognatus+Bufo bufo),(Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.0,0.0,0.0,0.0,0.1399306185444562
(BarkingTreefrog)-(JapaneseTreefrog),(Dryophytes gratiosus)-(Dryophytes japonicus),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(CubanTreefrog)-(BarkingTreefrog+JapaneseTreefrog),(Osteopilus septentrionalis)-(Dryophytes gratiosus+Dryophytes japonicus),(Amphibia)-(Amphibia+Amphibia),0.0,0.0,0.0,0.0,0.0
(CubanTreefrog+BarkingTreefrog+JapaneseTreefrog)-(RustyTreefrog),(Osteopilus septentrionalis+Dryophytes gratiosus+Dryophytes japonicus)-(Boana boans),(Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,8.881784197001252e-16,0.0,0.0,0.0
(CubanTreefrog+BarkingTreefrog+JapaneseTreefrog+RustyTreefrog)-(Black-eyedLeafFrog),(Osteopilus septentrionalis+Dryophytes gratiosus+Dryophytes japonicus+Boana boans)-(Agalychnis moreletii),(Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,8.881784197001252e-16,0.0,0.0,0.0
(OrnateHornedFrog+MarineToad+GreatPlainsToad+Woodhouse'sToad+ArizonaToad+GreatPlainsToad+CommonToad)-(CubanTreefrog+BarkingTreefrog+JapaneseTreefrog+RustyTreefrog+Black-eyedLeafFrog),(Ceratophrys ornata+Rhinella marina+Rhinella margaritifera+Anaxyrus woodhousii+Anaxyrus microscaphus+Anaxyrus cognatus+Bufo bufo)-(Osteopilus septentrionalis+Dryophytes gratiosus+Dryophytes japonicus+Boana boans+Agalychnis moreletii),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.0,0.0,0.0,0.0,-0.08253247517343221
(Steindachner'sRobberFrog)-(MiniatureFrog),(Ischnocnema guentheri)-(Brachycephalus albolineatus),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(RobberFrog)-(ClayRobberFrog),(Pristimantis pulvinatus)-(Haddadus binotatus),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Steindachner'sRobberFrog+MiniatureFrog)-(RobberFrog+ClayRobberFrog),(Ischnocnema guentheri+Brachycephalus albolineatus)-(Pristimantis pulvinatus+Haddadus binotatus),(Amphibia+Amphibia)-(Amphibia+Amphibia),0.0,0.0,0.0,0.0,0.0
(Steindachner'sRobberFrog+MiniatureFrog+RobberFrog+ClayRobberFrog)-(SpaldingsRobberFrog),(Ischnocnema guentheri+Brachycephalus albolineatus+Pristimantis pulvinatus+Haddadus binotatus)-(Eleutherodactylus gossei),(Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,8.881784197001252e-16,0.0,0.0,0.0
(OrnateHornedFrog+MarineToad+GreatPlainsToad+Woodhouse'sToad+ArizonaToad+GreatPlainsToad+CommonToad+CubanTreefrog+BarkingTreefrog+JapaneseTreefrog+RustyTreefrog+Black-eyedLeafFrog)-(Steindachner'sRobberFrog+MiniatureFrog+RobberFrog+ClayRobberFrog+SpaldingsRobberFrog),(Ceratophrys ornata+Rhinella marina+Rhinella margaritifera+Anaxyrus woodhousii+Anaxyrus microscaphus+Anaxyrus cognatus+Bufo bufo+Osteopilus septentrionalis+Dryophytes gratiosus+Dryophytes japonicus+Boana boans+Agalychnis moreletii)-(Ischnocnema guentheri+Brachycephalus albolineatus+Pristimantis pulvinatus+Haddadus binotatus+Eleutherodactylus gossei),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.0,-1.7763568394002505e-15,0.0,0.0,-0.03691292850734884
(GreenFrog)-(NorthernLeopardFrog),(Lithobates clamitans melanotus)-(Lithobates pipiens),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(CommonFrog)-(AgileFrog),(Rana temporaria)-(Rana dalmatina),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,1.0
(GreenFrog+NorthernLeopardFrog)-(CommonFrog+AgileFrog),(Lithobates clamitans melanotus+Lithobates pipiens)-(Rana temporaria+Rana dalmatina),(Amphibia+Amphibia)-(Amphibia+Amphibia),0.0,0.0,0.0,0.0,0.5
(GreenFrog+NorthernLeopardFrog+CommonFrog+AgileFrog)-(Günther'sFrog),(Lithobates clamitans melanotus+Lithobates pipiens+Rana temporaria+Rana dalmatina)-(Sylvirana guentheri),(Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,-0.21662854008524368
(GreenFrog+NorthernLeopardFrog+CommonFrog+AgileFrog+Günther'sFrog)-(PoolFrog),(Lithobates clamitans melanotus+Lithobates pipiens+Rana temporaria+Rana dalmatina+Sylvirana guentheri)-(Pelophylax lessonae),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,-8.881784197001252e-16,0.0,0.0,-0.1482213987344676
(Boulenger'sBubble-nestFrog)-(Gunther'sBubble-nestFrog),(Raorchestes signatus)-(Pseudophilautus microtympanum),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog)-(TempleTreefrog),(Raorchestes signatus+Pseudophilautus microtympanum)-(Kurixalus idiootocus),(Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(JavaWhippingFrog)-(SriLankaWhippingFrog),(Polypedates leucomystax)-(Polypedates cruciger),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(JavaWhippingFrog+SriLankaWhippingFrog)-(Gunther'sWhippingFrog),(Polypedates leucomystax+Polypedates cruciger)-(Taruga eques),(Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Hochstetter'sFrog)-(JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog),(Rhacophorus reinwardtii)-(Polypedates leucomystax+Polypedates cruciger+Taruga eques),(Amphibia)-(Amphibia+Amphibia+Amphibia),0.0,0.0,0.0,0.0,4.440892098500626e-16
(AfricanFoam-nestTreefrog)-(Taylor'sBug-eyedFrog),(Chiromantis rufescens)-(Theloderma stellatum),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog)-(AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog),(Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques)-(Chiromantis rufescens+Theloderma stellatum),(Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia),0.0,-8.881784197001252e-16,0.0,0.0,0.0
(Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog+TempleTreefrog)-(Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog+AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog),(Raorchestes signatus+Pseudophilautus microtympanum+Kurixalus idiootocus)-(Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques+Chiromantis rufescens+Theloderma stellatum),(Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.0,1.7763568394002505e-15,0.0,0.0,4.440892098500626e-16
(Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog+TempleTreefrog+Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog+AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog)-(PaintedIndonesianTreefrog),(Raorchestes signatus+Pseudophilautus microtympanum+Kurixalus idiootocus+Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques+Chiromantis rufescens+Theloderma stellatum)-(Nyctixalus pictus),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog+TempleTreefrog+Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog+AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog+PaintedIndonesianTreefrog)-(Red-headedFlyingFrog),(Raorchestes signatus+Pseudophilautus microtympanum+Kurixalus idiootocus+Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques+Chiromantis rufescens+Theloderma stellatum+Nyctixalus pictus)-(Buergeria oxycephala),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,-4.440892098500626e-16
(White-lippedBright-eyedFrog)-(Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog+TempleTreefrog+Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog+AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog+PaintedIndonesianTreefrog+Red-headedFlyingFrog),(Boophis albilabris)-(Raorchestes signatus+Pseudophilautus microtympanum+Kurixalus idiootocus+Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques+Chiromantis rufescens+Theloderma stellatum+Nyctixalus pictus+Buergeria oxycephala),(Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.0,0.0,0.0,0.0,4.440892098500626e-16
(GreenFrog+NorthernLeopardFrog+CommonFrog+AgileFrog+Günther'sFrog+PoolFrog)-(White-lippedBright-eyedFrog+Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog+TempleTreefrog+Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog+AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog+PaintedIndonesianTreefrog+Red-headedFlyingFrog),(Lithobates clamitans melanotus+Lithobates pipiens+Rana temporaria+Rana dalmatina+Sylvirana guentheri+Pelophylax lessonae)-(Boophis albilabris+Raorchestes signatus+Pseudophilautus microtympanum+Kurixalus idiootocus+Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques+Chiromantis rufescens+Theloderma stellatum+Nyctixalus pictus+Buergeria oxycephala),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.0,0.0,0.0,0.0,-0.10555403161683774
(GreenFrog+NorthernLeopardFrog+CommonFrog+AgileFrog+Günther'sFrog+PoolFrog+White-lippedBright-eyedFrog+Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog+TempleTreefrog+Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog+AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog+PaintedIndonesianTreefrog+Red-headedFlyingFrog)-(IndusValleyBullfrog),(Lithobates clamitans melanotus+Lithobates pipiens+Rana temporaria+Rana dalmatina+Sylvirana guentheri+Pelophylax lessonae+Boophis albilabris+Raorchestes signatus+Pseudophilautus microtympanum+Kurixalus idiootocus+Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques+Chiromantis rufescens+Theloderma stellatum+Nyctixalus pictus+Buergeria oxycephala)-(Hoplobatrachus tigerinus),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,-0.04045988112960064
(AfricanBullfrog)-(GreenFrog+NorthernLeopardFrog+CommonFrog+AgileFrog+Günther'sFrog+PoolFrog+White-lippedBright-eyedFrog+Boulenger'sBubble-nestFrog+Gunther'sBubble-nestFrog+TempleTreefrog+Hochstetter'sFrog+JavaWhippingFrog+SriLankaWhippingFrog+Gunther'sWhippingFrog+AfricanFoam-nestTreefrog+Taylor'sBug-eyedFrog+PaintedIndonesianTreefrog+Red-headedFlyingFrog+IndusValleyBullfrog),(Pyxicephalus adspersus)-(Lithobates clamitans melanotus+Lithobates pipiens+Rana temporaria+Rana dalmatina+Sylvirana guentheri+Pelophylax lessonae+Boophis albilabris+Raorchestes signatus+Pseudophilautus microtympanum+Kurixalus idiootocus+Rhacophorus reinwardtii+Polypedates leucomystax+Polypedates cruciger+Taruga eques+Chiromantis rufescens+Theloderma stellatum+Nyctixalus pictus+Buergeria oxycephala+Hoplobatrachus tigerinus),(Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.0,-8.881784197001252e-16,0.0,0.0,0.03334157326328624
(Two-spadedNarrow-mouthedToad)-(BolivianBleatingFrog),(Hypopachus ustum)-(Hamptophryne boliviana),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(MalaysianNarrowmouthToad)-(SambavaTomatoFrog),(Kaloula pulchra)-(Dyscophus guineti),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Two-spadedNarrow-mouthedToad+BolivianBleatingFrog)-(MalaysianNarrowmouthToad+SambavaTomatoFrog),(Hypopachus ustum+Hamptophryne boliviana)-(Kaloula pulchra+Dyscophus guineti),(Amphibia+Amphibia)-(Amphibia+Amphibia),0.0,0.0,0.0,0.0,0.0
(GuineaSnout-burrower)-(Krefft'sSecretFrog),(Hemisus guineensis)-(Callulina kreffti),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,0.0
(Two-spadedNarrow-mouthedToad+BolivianBleatingFrog+MalaysianNarrowmouthToad+SambavaTomatoFrog)-(GuineaSnout-burrower+Krefft'sSecretFrog),(Hypopachus ustum+Hamptophryne boliviana+Kaloula pulchra+Dyscophus guineti)-(Hemisus guineensis+Callulina kreffti),(Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia),0.0,0.0,0.0,0.0,-4.440892098500626e-16
