node,C,T,L,S,Ca,insideVariance,totalVariance,explainedVariance,outsideVariance,numMammals,numBirds,numReptiles,numAmphibians,cluster
1311,0.0,1.0,1.0,1.0,1.0,9.420351473922901,38.98072562358277,0.24166690904860236,953.9830324670564,0,0,21,0,11
166,1.0,1.0,1.0,1.0,1.0,0.02295271049596308,0.1174548250672818,0.1954173486088379,724.614484885599,0,0,0,51,11
660,1.0,0.0,0.0,3.0,0.0,45.104673145721016,7704.024072617949,0.005854690058152133,44.512970255884134,0,0,74,0,11
945,1.0,0.0,0.0,3.0,0.0,2.1184639185185765,3.1938348767419753,0.6632978849174624,42.9457304791071,0,30,0,0,11
603,0.0,0.0,1.0,1.0,1.0,205.79858796296298,8588.926001355008,0.02396092223061367,37.080778399514124,0,0,60,0,11
1350,0.0,0.0,0.0,1.0,1.0,183.99156350723143,4336.333548898765,0.04243021470383824,61.20605654761905,0,116,104,0,11
459,0.0,0.0,0.0,3.0,1.0,5.768810951587811,61.17535664688802,0.0942995883928577,65.85951038214884,89,0,0,0,11
152,0.0,0.0,1.0,1.0,0.0,0.0,0.20647917408330368,0.0,13.937175874359548,0,0,0,53,11
459,0.0,0.0,1.0,1.0,0.0,1.209806211336952,61.17535664688802,0.019776038549641946,17.644690775271002,89,0,0,0,11
1350,0.0,0.0,0.0,1.0,0.0,36.86880165289256,4336.333548898765,0.008502298367305159,2.6438403486394555,0,116,104,0,11
150,0.0,0.0,0.0,1.0,0.0,4.181886279142966,1026.1315997756772,0.004075389823349334,28.772689409055108,0,0,0,79,11
459,0.0,0.0,0.0,1.0,0.0,1.8706602701679065,61.17535664688802,0.030578657366324757,36.20477958859523,89,0,0,0,11
1349,1.0,0.0,1.0,1.0,1.0,54.923609588446425,3198.3855677869474,0.017172291590363074,37.60365806761748,89,116,104,0,11
175,1.0,0.0,1.0,1.0,1.0,0.016682942708333332,0.08713107638888888,0.1914694894146949,59.356855627107656,0,0,0,48,11
1351,1.0,-1.0,0.0,-1.0,0.0,2.714668276407885,91.65975884014159,0.029616794880972564,1158.537773596351,0,116,30,0,1
1349,1.5,0.0,0.0,-1.0,0.0,5.670323439656373,3198.3855677869474,0.001772870505909589,1.4873676372930442,89,116,104,0,1
152,1.5,0.0,0.0,-1.0,0.0,1.0164480179344325e-23,0.20647917408330368,4.922762900651415e-23,3.6149879041951607,0,0,0,53,1
152,1.0,0.0,-1.0,-1.0,-1.0,0.023673905304378753,0.20647917408330368,0.11465517241379296,91.92172639531968,0,0,0,53,1
1208,1.0,0.0,0.0,-1.0,-1.0,0.4864175924524072,13.87205277555222,0.03506457193629325,121.18648676062865,0,20,0,0,1
full,1.0,0.0,-1.0,-1.0,0.0,5.7738083679123715,2806.082655044821,0.0020576045247748228,,89,116,104,79,1
full,1.0,0.0,0.0,-1.0,0.0,4.667422839846502,2806.082655044821,0.0016633233634281348,,89,116,104,79,1
604,1.0,0.0,-1.0,0.0,0.0,1.22732401967128,358.1231244234256,0.003427100725894924,17.294815608349673,0,0,34,0,1
1270,1.0,-1.0,0.0,-1.0,-1.0,0.6408221878894891,14.795181754323387,0.043312897302003786,1038.8858784739364,0,36,0,0,1
1350,1.0,0.0,0.0,0.0,0.0,26.711701870762177,4336.333548898765,0.006159973989442246,9.041445223922924,0,116,104,0,1
150,1.0,0.0,0.0,0.0,0.0,0.007055522173113301,1026.1315997756772,6.875845334707274e-06,21.088351093005326,0,0,0,79,1
459,1.0,0.0,0.0,0.0,0.0,0.06854956145332074,61.17535664688802,0.0011205420811683628,70.1767869057319,89,0,0,0,1
660,3.0,0.0,0.0,-1.0,0.0,1.3348092040274544,7704.024072617949,0.00017326129714102323,9.863627186113357,0,0,74,0,1
945,3.0,0.0,0.0,-1.0,0.0,0.3906302191672538,3.1938348767419753,0.1223075814006186,11.342910756199727,0,30,0,0,1
1351,0.0,1.0,0.0,0.0,0.0,2.774108955845068,91.65975884014159,0.030265287525829396,3317.4359705652632,0,116,30,0,7
151,0.0,1.0,0.0,0.0,0.0,35.44986811797772,207.24454494276594,0.17105332315389918,2606.169277088859,0,0,0,73,7
459,0.0,1.0,0.0,0.0,0.0,3.9105605773583947,61.17535664688802,0.06392378878852559,2969.1183273396036,89,0,0,0,7
564,0.0,1.0,0.0,0.0,0.0,2.7743302865054655,264.47743654946504,0.010489856233866605,2471.312304997477,0,0,27,0,7
1311,0.0,1.0,1.0,1.0,0.0,0.08427815570672713,38.98072562358277,0.002162046866971098,767.7849868499235,0,0,21,0,7
168,0.0,1.0,1.0,1.0,0.0,0.0,0.04691358024691356,0.0,800.5451191849048,0,0,0,45,7
1310,0.0,1.0,0.0,1.0,0.0,0.19320000000000012,37.736799999999995,0.0051196709842911995,1182.0521414485409,0,0,25,0,7
1311,0.0,1.0,1.0,0.0,0.0,0.1706349206349207,38.98072562358277,0.004377417759809198,1233.7490988678433,0,0,21,0,7
459,0.0,1.0,1.0,0.0,0.0,1.1567983840424179,61.17535664688802,0.018909548672018474,1514.173865840301,89,0,0,0,7
604,1.0,1.0,1.0,0.0,0.0,20.136334080011533,358.1231244234256,0.05622740534398837,804.964487986001,0,0,34,0,6
152,1.0,0.0,1.0,1.0,0.0,0.0,0.20647917408330368,0.0,31.422960023541833,0,0,0,53,6
152,1.0,0.0,0.0,1.0,0.0,0.0,0.20647917408330368,0.0,50.6712328196172,0,0,0,53,6
1349,1.0,1.0,1.0,1.0,-1.0,316.601276086496,3198.3855677869474,0.09898783913834419,197.59066118250283,89,116,104,0,6
