Oryctolagus cuniculus
Lepus timidus
Sciurus vulgaris
Marmota marmota
Rattus fuscipes
Mus musculus
Hydromys chrysogaster
Pedetes capensis
Castor canadensis
Hystrix cristata
Hystrix brachyura
Myocastor coypus
Chinchilla lanigera
Myoprocta acouchy
Hydrochoerus hydrochaeris
Cavia porcellus
Callithrix jacchus
Cebus capucinus
Saimiri sciureus
Ateles paniscus
Ateles belzebuth
Cercopithecus mona
Macaca radiata
Macaca mulatta
Macaca nemestrina
Pongo pygmaeus
Homo sapiens
Pan troglodytes
Indri indri
