Cervical,Thoracic,Lumbar,Sacral,Caudal,constraint_std,globalOrLocal
1.0,1.0,1.0,1.0,0.0,0.10210833523565974,local
1.0,-1.0,0.0,1.0,1.0,0.1671348051819976,local
1.0,0.0,0.0,-1.0,0.0,0.0153006992510774,local
