species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Pyxicephalus adspersus,1.0,7.0,0.0,1.0,3.0
Lithobates clamitans melanotus,1.0,7.0,0.0,1.0,3.0
Lithobates pipiens,1.0,7.0,0.0,1.0,3.0
Rana temporaria,1.0,7.0,0.0,1.0,3.0
Rana dalmatina,1.0,7.0,0.0,1.0,2.0
Sylvirana guentheri,1.0,7.0,0.0,1.0,3.0
Pelophylax lessonae,1.0,7.0,0.0,1.0,3.0
Boophis albilabris,1.0,7.0,0.0,1.0,3.0
Raorchestes signatus,1.0,7.0,0.0,1.0,3.0
Pseudophilautus microtympanum,1.0,7.0,0.0,1.0,3.0
Kurixalus idiootocus,1.0,7.0,0.0,1.0,3.0
Rhacophorus reinwardtii,1.0,7.0,0.0,1.0,3.0
Polypedates leucomystax,1.0,7.0,0.0,1.0,3.0
Polypedates cruciger,1.0,7.0,0.0,1.0,3.0
Taruga eques,1.0,7.0,0.0,1.0,3.0
Chiromantis rufescens,1.0,7.0,0.0,1.0,3.0
Theloderma stellatum,1.0,7.0,0.0,1.0,3.0
Nyctixalus pictus,1.0,7.0,0.0,1.0,3.0
Buergeria oxycephala,1.0,7.0,0.0,1.0,3.0
Hoplobatrachus tigerinus,1.0,7.0,0.0,1.0,3.0
