"pic_cervical","pic_thoracic","pic_lumbar","pic_sacral","pic_caudal","pic_CS","pic_CTSCa","pic_CT","pic_TL","pic_LS","pic_SCa","pic_SCaB"
0.409867067481072,-1.82719457081718,0.137122317467522,0.228014551573971,1.0501278710122,0.181852515907101,-2.69546992592228,-1.41732750333611,-1.69007225334966,0.365136869041493,1.27814242258617,2.78429939674631
-0.000162761870405352,6.13490433825517,0,-0.0643446894919751,-0.496363712948996,0.0641819276215697,6.69544997882574,6.13474157638476,6.13490433825517,-0.0643446894919751,-0.560708402440971,-1.18576149437392
0,-0.54905584305143,0,0,-0.0653627648274088,0,-0.483693078224022,-0.549055843051429,-0.54905584305143,0,-0.0653627648274088,-0.130725529654818
0,-0.415755182694282,0,0,0.277978251449602,0,-0.693733434143883,-0.415755182694283,-0.415755182694282,0,0.277978251449602,0.555956502899203
0,-2.39029684282377,0,0,0.582414291333513,0,-2.97271113415728,-2.39029684282377,-2.39029684282377,0,0.582414291333513,1.16482858266703
0,-2.36465627394154,0,0,-0.183791098549785,0,-2.18086517539175,-2.36465627394154,-2.36465627394154,0,-0.183791098549785,-0.367582197099571
0,-3.40997637216091,0,0,-0.0672977377572707,0,-3.34267863440364,-3.40997637216091,-3.40997637216091,0,-0.0672977377572707,-0.134595475514541
-0.00039577569686709,-0.812983918292282,0,-0.0094447921137535,-1.48341801583974,0.00904901641688642,0.679483113964343,-0.81337969398915,-0.812983918292282,-0.0094447921137535,-1.49286280795349,-2.99517040802074
0.000523022886647699,0.0331965934222041,0,0.0124814193348052,0.752118423364543,-0.0119583964481575,-0.730880226390496,0.0337196163088525,0.0331965934222041,0.0124814193348052,0.764599842699348,1.5416811047335
0,-0.320174295114997,0,0,-0.42689906015333,0,0.106724765038332,-0.320174295114997,-0.320174295114997,0,-0.42689906015333,-0.853798120306659
-0.00149777189390249,1.0063072820572,0,0.0311872192152609,-0.127812999627842,-0.0326849911091634,1.10143529057588,1.0048095101633,1.0063072820572,0.0311872192152609,-0.0966257804125814,-0.162064341609901
-0.00270214160551765,-0.0658315772911605,0,0,-0.23234528590763,-0.00270214160551765,0.163811567010952,-0.0685337188966783,-0.0658315772911605,0,-0.23234528590763,-0.46469057181526
0.0077975431711401,0.218510722722739,0,0,0.331139222877423,0.0077975431711401,-0.104830956983544,0.226308265893879,0.218510722722739,0,0.331139222877422,0.662278445754845
-0.0166100574625564,-0.217502938129277,0,0,-0.953342414096556,-0.0166100574625564,0.719229418504723,-0.234112995591834,-0.217502938129277,0,-0.953342414096556,-1.90668482819311
-0.0494353756358257,-0.0272533761647669,0,0,0.410311826723803,-0.0494353756358257,-0.487000578524396,-0.0766887518005922,-0.0272533761647669,0,0.410311826723803,0.820623653447603
-0.126430434356043,-0.126430434356043,0,0,1.89645651534065,-0.126430434356043,-2.14931738405274,-0.252860868712087,-0.126430434356043,0,1.89645651534065,3.7929130306813
0,0.263603135589794,0,0,-0.541857104870942,0,0.805460240460735,0.263603135589793,0.263603135589794,0,-0.541857104870942,-1.08371420974188
0,0.101424197436713,0,0,1.11566617180384,0,-1.01424197436712,0.101424197436712,0.101424197436713,0,1.11566617180384,2.23133234360767
0,0.222119796509552,0,0,1.99907816858596,0,-1.77695837207641,0.222119796509552,0.222119796509552,0,1.99907816858596,3.99815633717193
0,-0.113532510010384,0,0,1.63161309267708,0,-1.74514560268746,-0.113532510010384,-0.113532510010384,0,1.63161309267708,3.26322618535415
0,0.106717821522171,0,0,-0.458886632545334,0,0.565604454067505,0.106717821522171,0.106717821522171,0,-0.458886632545334,-0.917773265090668
0,-0.201892054315995,0,0,-0.40378410863199,0,0.201892054315995,-0.201892054315995,-0.201892054315995,0,-0.40378410863199,-0.807568217263981
0,-0.725848390403678,0,0.0599588366588532,-0.499859831347615,-0.0599588366588532,-0.285947395714916,-0.725848390403679,-0.725848390403678,0.0599588366588532,-0.439900994688762,-0.819843152718671
0,-1.252911481018,0,-0.010942251349909,-0.578614516748993,0.010942251349909,-0.663354712919102,-1.252911481018,-1.252911481018,-0.010942251349909,-0.589556768098902,-1.19005578754771
0,-3.06495283145963,0,0.0183260428698313,-0.111634318177075,-0.0183260428698314,-2.97164455615238,-3.06495283145963,-3.06495283145963,0.0183260428698313,-0.093308275307243,-0.168290507744655
0,-0.29200359797942,0,0.0417147997113458,-0.417147997113458,-0.0417147997113458,0.0834295994226917,-0.29200359797942,-0.29200359797942,0.0417147997113458,-0.375433197402112,-0.709151595092878
0,-0.817604428449444,0,-0.272534809483148,-1.09013923793259,0.272534809483148,0.545069618966296,-0.817604428449444,-0.817604428449444,-0.272534809483148,-1.36267404741574,-2.99788290431463
0,-0.123677202466031,0,0,-0.0134121268541784,0,-0.110265075611852,-0.123677202466031,-0.123677202466031,0,-0.0134121268541784,-0.0268242537083568
0,-0.0507114649028209,0,0,0,0,-0.0507114649028209,-0.0507114649028209,-0.0507114649028209,0,0,0
0,0.0102769949935888,0,0,-0.0365934563635622,0,0.046870451357151,0.0102769949935888,0.0102769949935888,0,-0.0365934563635622,-0.0731869127271244
0,-0.0312218495236883,0,0,0.0337010199798318,0,-0.0649228695035201,-0.0312218495236883,-0.0312218495236883,0,0.0337010199798318,0.0674020399596636
0,-6.00381784013057e-17,0,0,0.0327191475770773,0,-0.0327191475770773,0,-6.00381784013057e-17,0,0.0327191475770772,0.0654382951541545
0,0,0,0,-0.0714575613709847,0,0.0714575613709847,0,0,0,-0.0714575613709847,-0.142915122741969
