Class,Order,Family,Species,Common name,Taxonomy ID,Cervical,Thoracic,Lumbar,Sacral,Caudal,Annotation 1,Annotation 2,Annotation 3,Reference 1,Reference 2,Reference 3,Reference 4
Amphibia,Anura,Leiopelmatidae,Leiopelma hochstetteri,Hochstetter's Frog,51644,1,9,0,1,3,http://digimorph.org/specimens/Leiopelma_hochstetteri/,,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: University of Michigan Museum of Zoology (UMMZ 146857),,,
Amphibia,Anura,Ascaphidae,Ascaphus truei,Tailed frog,8439,1,8,0,1,3,http://digimorph.org/specimens/Ascaphus_truei/adult/,assuming that Rockova is correct that all Anura have 3 fused caudal,,Digimorph: University of Michigan Museum of Zoology (UMMZ 133050),,,
Amphibia,Anura,Megophryidae,Megophrys feae,Kakhien Hills spadefoot toad,233775,1,7,0,1,3,https://portal.idigbio.org/portal/records/8283d21c-3f7c-41b5-8e07-ea4b0486bb47,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Brachytarsophrys feae,IDigBio: Yale Peabody Museum YPM HERA 010814,,,
Amphibia,Anura,Pelobatidae,Pelobates fuscus,Common spadefoot toad,191477,1,7,0,1,2,they claim that all anura (frogs) have a single sacrum and then describe the several and varying caudal vertebrae or somites that fuse plus they have pictures,,,"Ročková, Hana, and Zbyněk Roček. ""Development of the pelvis and posterior part of the vertebral column in the Anura."" Journal of Anatomy 206.1 (2005): 17-35.",,,
Amphibia,Anura,Ceratophryidae,Ceratophrys ornata,Ornate horned frog,30347,1,7,0,1,3,https://portal.idigbio.org/portal/records/0c0082c2-fb54-4ec1-b149-d7890e09c503,assuming that Rockova is correct that all Anura have 3 fused caudal,,IDigBio: Yale Peabody Museum YPM HERA 006065,,,
Amphibia,Anura,Bufonidae,Rhinella marina,Marine toad,8386,1,7,0,1,3,using the picture,they called it its homotypic synonym Bufo marina,assuming that Rockova is correct that all Anura have 3 fused caudal,"de Panafieu J-B, Gries P (2007) Evolution [in action]. Thames and Hudson, London",,,
Amphibia,Anura,Bufonidae,Rhinella margaritifera,Great Plains toad,165226,1,7,0,1,3,https://portal.idigbio.org/portal/records/a19492df-fdbb-45c7-acc5-09a5dd4d6271,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Bufo margaritifer,IDigBio: Yale Peabody Museum YPM HERA 006013,,,
Amphibia,Anura,Bufonidae,Anaxyrus woodhousii,Woodhouse's toad,47561,1,7,0,1,3,https://portal.idigbio.org/portal/records/f89cfbbe-418a-40e1-a341-e13c4cc4335b,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Bufo woodhousii,IDigBio: Yale Peabody Museum YPM HERA 006031,,,
Amphibia,Anura,Bufonidae,Anaxyrus microscaphus,Arizona toad,30336,1,7,0,1,3,https://portal.idigbio.org/portal/records/09039218-e1aa-42a6-9f08-301dbe49ae20,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Bufo microscaphus,IDigBio: Yale Peabody Museum YPM HERA 014926.001,,,
Amphibia,Anura,Megophryidae,Anaxyrus cognatus,Great Plains toad,30328,1,7,0,1,3,https://portal.idigbio.org/portal/records/4ed9ef09-d882-4266-baab-8ec9a7b8d5c2,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Bufo cognatus,IDigBio: Yale Peabody Museum YPM HERA 014923.001,,,
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,8384,1,7,0,1,2.5, they claim that all anura (frogs) have a single sacrum and then describe the several and varying caudal vertebrae or somites that fuse plus they have pictures Owen calls them Bufo vulgaris but see https://amphibiaweb.org/species/127, nan assuming that Rockova is correct that all Anura have 3 fused caudal,,Owen R. 1853. Descriptive catalogue of the osteological series contained in the museum of the Royal College of Surgeons of England. London: Royal College of Surgeons.,"Ročková, Hana, and Zbyněk Roček. ""Development of the pelvis and posterior part of the vertebral column in the Anura."" Journal of Anatomy 206.1 (2005): 17-35.",,
