"old_node","new_node","cervical","cervical_var","cervical_CI95.1","cervical_CI95.2","thoracic","thoracic_var","thoracic_CI95.1","thoracic_CI95.2","lumbar","lumbar_var","lumbar_CI95.1","lumbar_CI95.2","sacral","sacral_var","sacral_CI95.1","sacral_CI95.2","caudal","caudal_var","caudal_CI95.1","caudal_CI95.2"
"full","388",3.79246615921008,0.991506746068236,1.84080729667909,5.74412502174106,32.6193666744713,135.568705224681,9.79830758443047,55.4404257645121,0.933613511709342,0.488127958996616,-0.435763122851582,2.30299014627027,2.27898926791023,1.60619624983603,-0.205032373173053,4.76301090899351,17.5080099454134,89.1347888638831,-0.996589615222724,36.0126095060495
"150","389",2.81369840093501,0.87676891523331,0.97843398817039,4.64896281369964,36.9827304963126,119.88060302239,15.5226903152967,58.4427706773284,0.606163677542401,0.431641461645748,-0.681545077983593,1.8938724330684,1.73448762529301,1.42032613414375,-0.60139012769978,4.07036537828579,15.0002912635258,78.8200508485078,-2.40071753882899,32.4013000658805
"34","390",1.44168527776658,0.811407555927585,-0.323846728981359,3.20721728451452,95.4939200578383,110.943745166465,74.8492720484511,116.138568067225,0.147617471653117,0.399463458781255,-1.09116371292068,1.38639865622692,0.422395282570296,1.31444367735024,-1.82472884192944,2.66951940707003,7.24893159894626,72.944174577696,-9.49091132318646,23.988774521079
"35","391",1.3444291895392,0.724769531966673,-0.324185395679078,3.01304377475748,100.118437365895,99.0977292132896,80.6070602605811,119.629814471209,0.11511311035859,0.35681075674444,-1.05566620407665,1.28589242479383,0.3293867198303,1.17409398257404,-1.79438338153577,2.45315682119637,6.75624547316995,65.1555619394432,-9.06467759555664,22.5771685418965
"36","392",1.22843397312564,0.648663356913717,-0.35014296574042,2.8070109119917,105.018791371435,88.6917328320789,86.5602388591786,123.477343883691,0.076345867181707,0.319342981519559,-1.03125875442545,1.18395048878887,0.218457434476798,1.05080540844768,-1.79071504619593,2.22762991514953,6.57996327491045,58.3137448045792,-8.38727033859581,21.5471968884167
"37","393",1.14934760621237,0.599295357496822,-0.367970107834293,2.66666532025903,112.068245068823,81.9416468775242,94.3260064658531,129.810483671792,0.0499140839332348,0.295038657932579,-1.01470815344197,1.11453632130844,0.142825055537869,0.970831473989076,-1.788378245639,2.07402835671474,5.55620289915221,53.8756446886629,-8.83020306745276,19.9426088657572
"13","394",1.12700127221636,0.61568421186811,-0.410923455562123,2.66492599999485,115.748567203537,84.1824947346285,97.7653674945711,133.731766912503,0.0424456228111283,0.303107042808701,-1.03663547500029,1.12152672062255,0.121454666852101,0.997380679563982,-1.83597671600989,2.07888604971409,5.39816713714312,55.3489751323522,-9.18362366057594,19.9799579348622
"151","395",2.2242232166196,0.81958706359924,0.44981467755008,3.99863175568913,29.1310667617647,112.062129150053,8.38262404085563,49.8795094826737,0.408859873313013,0.403490306204325,-0.836149508304063,1.65386925493009,1.51632564341692,1.32769411119733,-0.742096305107242,3.77474759194107,14.3372553198496,73.679498560326,-2.48675019814014,31.1612608378393
"94","396",1.46319830964099,0.801888874836224,-0.291947354277209,3.21834397355918,23.338363582294,109.642256017633,2.81516474007312,43.8615624245149,0.15342405700807,0.394777323874064,-1.0780695756976,1.38491768971374,1.28468123489373,1.29902384290841,-0.949223417260642,3.51858588704811,21.4568437543816,72.08846115698,4.8154786547074,38.0982088540558
"33","397",1.05471039387315,0.438296765259777,-0.242887715489668,2.35230850323597,19.9286256197405,59.9283113363151,4.75560348077336,35.1016477587077,0.0181215915814416,0.215777559062972,-0.892334926268979,0.928578109431862,1.03362495537042,0.710021009405283,-0.617924834896693,2.68517474563753,17.4934302320024,39.4021420288597,5.19028962408983,29.796570839915
"79","398",1.24555045414613,0.592663444000938,-0.263348444545892,2.75444935283816,21.7413660633546,81.034865426602,4.09757001423767,39.3851621124715,0.0800126014189734,0.291773705463194,-0.9787025948956,1.13872779773355,1.24360187108921,0.960088072969803,-0.676886176548885,3.16408991872731,25.0392664142068,53.2794468195478,10.7326832126882,39.3458496157254
"73","399",1.18632150687281,0.647761444512116,-0.391157610338496,2.76380062408411,19.6195254699895,88.5684143604739,1.17380996185062,38.0652409781284,0.0591971071893084,0.318898961686579,-1.04763723055739,1.166031444936,1.18022818679365,1.04934435099862,-0.827547014466772,3.18800338805406,26.2670318216282,58.2326643965949,11.3102071737974,41.223856469459
"48","400",1.06070947317331,0.346683456783556,-0.0933352259522104,2.21475417229883,14.8919431723524,47.402024792405,1.39751400908274,28.3863723356221,0.00807284218858683,0.170675478355245,-0.801659778896614,0.817805463273788,1.02457812178672,0.561611577908131,-0.444260547942491,2.49341679151593,30.9900328282806,31.1662596805738,20.0479899116725,41.9320757448886
"56","401",1.06583800331505,0.106538297824874,0.426089986574057,1.70558602005605,14.8798696031165,14.5669801544302,7.39919376725384,22.3605454389791,0.00147713139663564,0.0524497912681379,-0.447400489047599,0.45035475184087,1.00449719126342,0.172587241699363,0.190242226456777,1.81875215607007,32.505363002106,9.5776137885038,26.4396098642083,38.5711161400037
"60","402",1.06948827823149,0.0958511704696197,0.46267541047398,1.676301145989,14.9248314635371,13.1057293622713,7.82927159005982,22.0203913370144,0.00124093895974859,0.0471884194376951,-0.424527815309338,0.427009693228835,1.00377809303961,0.155274576961982,0.231442146150467,1.77611403992876,32.7585954702775,8.61685901386458,27.005116037129,38.5120749034259
